famKey,param,label,n_runs,kind,declared_lo,declared_hi,step,n_declared_variants,widest_lo,widest_hi,steps,modal_value,pin_at,median_value,iqr_frac,median_pos,edge_rate,lo_edge_share,hi_edge_share,n_power,med_pps,med_mi,med_absr,drift_rho,n_sanity,share_finalists_all_same,share_best_worst_differ,med_finalist_distinct,recommendation,reason,widen_lo,widen_hi,freeze_is_artifact
ENGU-Q,er_len,Efficiency Lookback (min),5,range,20.0,120.0,10.0,3,20.0,120.0,11,100.0,100.0,80.0,0.30000000000000004,0.5555555555555556,0.0,0.0,0.0,4,0.024,0.039999999999999994,0.241,0.10259783520851543,4,0.0,1.0,6.0,KEEP,"predictive power 0.02 over 4 runs, crowns interior (0% on an edge)",,,False
ENGU-Q,trail_frac,Trail Width (x risk),20,range,0.5,4.0,0.5,4,0.5,6.0,8,3.0,3.0,3.0,0.3214285714285714,0.7142857142857143,0.4,0.05,0.35,15,0.139,0.197,0.493,0.48357003023261225,18,0.2777777777777778,0.3333333333333333,2.0,KEEP,"predictive power 0.14 over 15 runs, crowns interior (40% on an edge)",,,False
ENGU-Q,vol_mult,Volume Spike (x avg),19,range,0.0,5.0,0.1,2,0.0,5.0,51,0.0,0.0,0.8,0.17,0.16,0.3157894736842105,0.3157894736842105,0.0,15,0.188,0.348,0.616,-0.45074183904390963,18,0.3333333333333333,0.6666666666666666,4.0,KEEP,"predictive power 0.19 over 15 runs, crowns interior (32% on an edge)",,,False
ENGU-Q,act_R,Trail Activation (R),18,range,0.0,3.0,0.5,2,0.0,4.0,7,1.5,1.5,1.5,0.33333333333333337,0.5,0.1111111111111111,0.0,0.1111111111111111,14,0.0,0.004,0.0765,0.3051917879672888,18,0.3888888888888889,0.5555555555555556,3.5,UNCLEAR,predictive power 0 but the crown wanders (33% of the range) -- no single value to pin,,,False
ENGU-Q,atr_len,ATR Length,18,range,5.0,50.0,1.0,2,5.0,180.0,46,8.0,8.0,40.5,0.6222222222222221,0.2,0.05555555555555555,0.05555555555555555,0.0,14,0.0,0.0125,0.039,0.4404182913489921,18,0.3888888888888889,0.4444444444444444,4.0,UNCLEAR,predictive power 0 but the crown wanders (62% of the range) -- no single value to pin,,,False
ENGU-Q,breakeven_R,"Breakeven (R, 0=off)",14,range,0.0,3.0,0.5,4,0.0,4.0,7,1.5,1.5,1.5,0.5416666666666666,0.5833333333333333,0.35714285714285715,0.07142857142857142,0.2857142857142857,13,0.0,0.07,0.105,-0.45881844803892435,18,0.3333333333333333,0.5555555555555556,3.0,UNCLEAR,predictive power 0 but the crown wanders (54% of the range) -- no single value to pin,,,False
ENGU-Q,buf_atr,Breakout Buffer (x ATR),18,range,0.0,1.0,0.05,1,0.0,1.0,21,0.1,0.1,0.525,0.55,0.525,0.05555555555555555,0.0,0.05555555555555555,14,0.0,0.014,0.0675,0.16935451121453554,18,0.3888888888888889,0.5555555555555556,4.0,UNCLEAR,predictive power 0 but the crown wanders (55% of the range) -- no single value to pin,,,False
ENGU-Q,cooldown_bars,"Re-entry cooldown (bars) — THE VARIABLE, 3-8",2,range,0.0,240.0,1.0,2,0.0,240.0,241,3.0,3.0,99.0,0.40625,0.40625,0.5,0.5,0.0,1,0.0,0.059,0.021,,2,0.0,1.0,7.5,UNCLEAR,only 2 crowned runs; needs 3 more,,,False
ENGU-Q,ema_len,Trend EMA Length,18,range,20.0,400.0,10.0,2,20.0,1600.0,39,180.0,180.0,270.0,0.5373684210526315,0.5526315789473684,0.0,0.0,0.0,14,0.0,0.014499999999999999,0.111,0.40186695950018086,18,0.3888888888888889,0.5555555555555556,4.0,UNCLEAR,predictive power 0 but the crown wanders (54% of the range) -- no single value to pin,,,False
ENGU-Q,er_th,Efficiency Floor (0=off),4,range,0.0,0.5,0.05,2,0.0,0.5,11,0.0,0.0,0.05,0.05,0.0,0.75,0.75,0.0,3,0.015,0.073,0.192,0.0,4,0.25,0.75,4.0,UNCLEAR,only 4 crowned runs; needs 1 more,,,False
ENGU-Q,freeze_overnight,Freeze stop updates overnight (18:00-09:30 ET),1,switch,0.0,1.0,,1,0.0,1.0,2,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,,,,,1,0.0,1.0,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
ENGU-Q,limit_atr,Shallow Limit Depth (x ATR),5,range,0.0,1.0,0.05,2,0.0,1.0,21,0.1,0.1,0.4,0.1750000000000001,0.4,0.0,0.0,0.0,4,0.0,0.006,0.043,-0.8999999999999998,6,0.3333333333333333,0.3333333333333333,7.0,UNCLEAR,predictive power 0 but the crown wanders (18% of the range) -- no single value to pin,,,False
ENGU-Q,min_brk,Breakout Decisiveness (x ATR),19,range,0.0,3.0,0.1,2,0.0,3.0,31,0.7,0.7,1.3,0.31666666666666676,0.4666666666666666,0.05263157894736842,0.05263157894736842,0.0,15,0.0,0.014,0.093,-0.1165070779999289,18,0.3333333333333333,0.5555555555555556,3.5,UNCLEAR,predictive power 0 but the crown wanders (32% of the range) -- no single value to pin,,,False
