rid,fam,strategy,instrument,lb_from,lb_to,years,mult,n_cands,n_curves,n_idle,n_unknown,n_weight,crown_net,crown_pf,crown_dd,crown_mar,pool_net,pool_pf,pool_dd,pool_mar,top3_net,top3_pf,top3_dd,top3_mar,rand_net,rand_pf,rand_dd,rand_mar,dd_thinning_gap,profit_corr,frozen_share,mean_param_dist,near_dupe_pairs,exact_dupe_pairs,distinct_configs,distinct_curves,identical_curve_pairs
169,TTIBS,TTIBS_1_0.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,3,0,2,3,-8606.0,0.9449,-67854.0,-0.1269,1403.3333,1.0104,-51862.0,0.0271,1403.3333,1.0104,-51862.0,0.0271,1403.3333,1.0156,-54431.3333,0.0648,,0.8476,0.8571,0.1905,0,0,3,3,0
170,TTIBS,TTIBS_1_0.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,3,0,2,3,27270.0,1.2317,-44944.0,0.6072,13361.3333,1.1074,-46794.6667,0.2857,13361.3333,1.1074,-46794.6667,0.2857,13361.3333,1.1112,-46794.6667,0.3095,,0.9105,0.8571,0.1429,0,0,3,3,0
174,TTIBS,TTIBS_1_0.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,3,0,2,3,27270.0,1.2317,-44944.0,0.6072,13361.3333,1.1074,-46794.6667,0.2857,13361.3333,1.1074,-46794.6667,0.2857,13361.3333,1.1112,-46794.6667,0.3095,,0.9105,0.8571,0.1429,0,0,3,3,0
180,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
181,ORB,ORB_3_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,20548.0,1.2093,-16236.0,1.2664,43038.0,1.5361,-9740.6667,4.4214,43038.0,1.5361,-9740.6667,4.4214,43038.0,1.5566,-16262.0,3.7369,,0.1591,0.2,0.4891,0,0,3,3,0
183,ENGU-Q,ENGUQ_1M_CTX_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,78842.0,1.4384,-65634.0,1.2021,77066.6667,1.4329,-67276.0,1.1463,77066.6667,1.4329,-67276.0,1.1463,77066.6667,1.4267,-67276.0,1.1489,,0.957,0.8462,0.2111,0,0,3,2,1
184,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
185,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
186,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
187,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,3,0,2,3,67492.0,1.9066,-8102.0,8.336,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9199,-8101.3333,8.4174,68145.3333,1.9184,-8101.3333,8.4174,,0.9984,0.7778,0.6667,0,0,3,3,0
