root,switch_sec,switch_et,utc_day,old,new,master_idx_1m_eth,master_jump,prev_bar_et,contract_offset,source
ES,1276214400,2010-06-10 20:00,2010-06-11,ESM0,ESU0,5679,-4.0,2010-06-10 19:59,-4.0,databento_raw
ES,1284076800,2010-09-09 20:00,2010-09-10,ESU0,ESZ0,93845,-5.0,2010-09-09 19:59,-5.0,databento_raw
ES,1291939200,2010-12-09 19:00,2010-12-10,ESZ0,ESH1,182169,-5.0,2010-12-09 18:59,-5.0,databento_raw
ES,1299801600,2011-03-10 19:00,2011-03-11,ESH1,ESM1,268368,-4.75,2011-03-10 18:59,-4.75,databento_raw
ES,1307664000,2011-06-09 20:00,2011-06-10,ESM1,ESU1,355709,-5.5,2011-06-09 19:59,-5.25,databento_raw
ES,1315526400,2011-09-08 20:00,2011-09-09,ESU1,ESZ1,444405,-5.75,2011-09-08 19:59,-5.75,databento_raw
ES,1323388800,2011-12-08 19:00,2011-12-09,ESZ1,ESH2,533606,-6.0,2011-12-08 18:59,-6.0,databento_raw
ES,1331251200,2012-03-08 19:00,2012-03-09,ESH2,ESM2,618139,-5.75,2012-03-08 18:59,-5.5,databento_raw
ES,1339113600,2012-06-07 20:00,2012-06-08,ESM2,ESU2,706334,-7.0,2012-06-07 19:59,-6.75,databento_raw
ES,1347580800,2012-09-13 20:00,2012-09-14,ESU2,ESZ2,801096,-7.0,2012-09-13 19:59,-6.75,databento_raw
ES,1355443200,2012-12-13 19:00,2012-12-14,ESZ2,ESH3,887572,-6.25,2012-12-13 18:59,-6.0,databento_raw
ES,1362700800,2013-03-07 19:00,2013-03-08,ESH3,ESM3,962512,-5.25,2013-03-07 18:59,-5.0,databento_raw
ES,1371168000,2013-06-13 20:00,2013-06-14,ESM3,ESU3,1055345,-6.0,2013-06-13 19:59,-5.75,databento_raw
ES,1379030400,2013-09-12 20:00,2013-09-13,ESU3,ESZ3,1140990,-6.5,2013-09-12 19:59,-6.5,databento_raw
ES,1386892800,2013-12-12 19:00,2013-12-13,ESZ3,ESH4,1227847,-6.0,2013-12-12 18:59,-6.0,databento_raw
ES,1394755200,2014-03-13 20:00,2014-03-14,ESH4,ESM4,1309319,-7.0,2014-03-13 19:59,-7.0,databento_raw
ES,1402869600,2014-06-15 18:00,2014-06-15,ESM4,ESU4,1394096,-16.25,2014-06-11 17:14,-7.25,databento_raw
ES,1410480000,2014-09-11 20:00,2014-09-12,ESU4,ESZ4,1479289,-7.75,2014-09-11 19:59,-7.75,databento_raw
ES,1418342400,2014-12-11 19:00,2014-12-12,ESZ4,ESH5,1562367,-6.5,2014-12-11 18:59,-6.5,databento_raw
ES,1426204800,2015-03-12 20:00,2015-03-13,ESH5,ESM5,1645941,-7.25,2015-03-12 19:59,-7.5,databento_raw
ES,1434067200,2015-06-11 20:00,2015-06-12,ESM5,ESU5,1733206,-8.0,2015-06-11 19:58,-7.75,databento_raw
ES,1441929600,2015-09-10 20:00,2015-09-11,ESU5,ESZ5,1821558,-9.5,2015-09-10 19:59,-9.75,databento_raw
ES,1449792000,2015-12-10 19:00,2015-12-11,ESZ5,ESH6,1909606,-8.0,2015-12-10 18:59,-8.25,databento_raw
ES,1457654400,2016-03-10 19:00,2016-03-11,ESH6,ESM6,1994749,-9.25,2016-03-10 18:59,-9.25,databento_raw
ES,1465516800,2016-06-09 20:00,2016-06-10,ESM6,ESU6,2081703,-9.0,2016-06-09 19:59,-9.25,databento_raw
