root,switch_sec,switch_et,utc_day,old,new,master_idx_1m_eth,master_jump,prev_bar_et,contract_offset,source
NQ,1276214400,2010-06-10 20:00,2010-06-11,NQM0,NQU0,5244,-1.5,2010-06-10 19:57,-1.5,databento_raw
NQ,1284076800,2010-09-09 20:00,2010-09-10,NQU0,NQZ0,83410,-3.5,2010-09-09 19:54,-2.5,databento_raw
NQ,1291939200,2010-12-09 19:00,2010-12-10,NQZ0,NQH1,161917,-1.0,2010-12-09 18:59,-1.25,databento_raw
NQ,1299801600,2011-03-10 19:00,2011-03-11,NQH1,NQM1,235547,-2.25,2011-03-10 18:59,-2.0,databento_raw
NQ,1307664000,2011-06-09 20:00,2011-06-10,NQM1,NQU1,313910,-3.25,2011-06-09 19:59,-3.25,databento_raw
NQ,1315526400,2011-09-08 20:00,2011-09-09,NQU1,NQZ1,395739,-4.75,2011-09-08 19:59,-4.75,databento_raw
NQ,1323388800,2011-12-08 19:00,2011-12-09,NQZ1,NQH2,480772,-3.75,2011-12-08 18:59,-3.5,databento_raw
NQ,1331251200,2012-03-08 19:00,2012-03-09,NQH2,NQM2,556669,-4.75,2012-03-08 18:59,-4.75,databento_raw
NQ,1339113600,2012-06-07 20:00,2012-06-08,NQM2,NQU2,638312,-5.75,2012-06-07 19:59,-5.75,databento_raw
NQ,1347580800,2012-09-13 20:00,2012-09-14,NQU2,NQZ2,725058,-6.5,2012-09-13 19:57,-6.5,databento_raw
NQ,1355443200,2012-12-13 19:00,2012-12-14,NQZ2,NQH3,805185,-5.75,2012-12-13 18:58,-5.25,databento_raw
NQ,1362700800,2013-03-07 19:00,2013-03-08,NQH3,NQM3,873390,-4.75,2013-03-07 18:57,-4.5,databento_raw
NQ,1371168000,2013-06-13 20:00,2013-06-14,NQM3,NQU3,957561,-5.75,2013-06-13 19:57,-5.25,databento_raw
NQ,1379030520,2013-09-12 20:02,2013-09-13,NQU3,NQZ3,1036433,-6.25,2013-09-12 19:57,-6.75,databento_raw
NQ,1386892800,2013-12-12 19:00,2013-12-13,NQZ3,NQH4,1116572,-5.75,2013-12-12 18:53,-4.75,databento_raw
NQ,1394755200,2014-03-13 20:00,2014-03-14,NQH4,NQM4,1191661,-6.5,2014-03-13 19:59,-6.25,databento_raw
NQ,1402869600,2014-06-15 18:00,2014-06-15,NQM4,NQU4,1270097,-32.75,2014-06-11 17:14,-6.5,databento_raw
