date,note
# source,"BLS published annual schedules bls.gov/schedule/<year>/home.htm, fetched 2026-09-09"
# verification,PARTIALLY VERIFIED: 175 dates transcribed from the BLS annual schedule pages; all weekdays: True; NOT independently cross-checked against a second source
2010-06-17,cpi
2010-07-16,cpi
2010-08-13,cpi
2010-09-17,cpi
2010-10-15,cpi
2010-11-17,cpi
2010-12-15,cpi
2011-01-14,cpi
2011-02-17,cpi
2011-03-17,cpi
2011-04-15,cpi
2011-05-13,cpi
2011-06-15,cpi
2011-07-15,cpi
2011-08-18,cpi
2011-09-15,cpi
2011-10-19,cpi
2011-11-16,cpi
2011-12-16,cpi
2012-01-19,cpi
2012-02-17,cpi
2012-03-16,cpi
2012-04-13,cpi
2012-05-15,cpi
2012-06-14,cpi
2012-07-17,cpi
2012-08-15,cpi
2012-09-14,cpi
2012-10-16,cpi
2012-11-15,cpi
2012-12-14,cpi
2013-01-16,cpi
2013-02-21,cpi
2013-03-15,cpi
2013-04-16,cpi
2013-05-16,cpi
2013-06-18,cpi
2013-07-16,cpi
2013-08-15,cpi
2013-09-17,cpi
2013-10-30,cpi
2013-11-20,cpi
2013-12-17,cpi
2014-01-16,cpi
2014-02-20,cpi
2014-03-18,cpi
2014-04-15,cpi
2014-05-15,cpi
2014-06-17,cpi
2014-07-22,cpi
2014-08-19,cpi
2014-09-17,cpi
2014-10-22,cpi
2014-11-20,cpi
2014-12-17,cpi
2015-01-16,cpi
2015-02-26,cpi
2015-03-24,cpi
2015-04-17,cpi
2015-05-22,cpi
2015-06-18,cpi
2015-07-17,cpi
2015-08-19,cpi
2015-09-16,cpi
2015-10-15,cpi
2015-11-17,cpi
2015-12-15,cpi
2016-01-20,cpi
2016-02-19,cpi
2016-03-16,cpi
2016-04-14,cpi
2016-05-17,cpi
2016-06-16,cpi
2016-07-15,cpi
2016-08-16,cpi
2016-09-16,cpi
2016-10-18,cpi
2016-11-17,cpi
2016-12-15,cpi
2017-01-18,cpi
2017-02-15,cpi
2017-03-15,cpi
2017-04-14,cpi
2017-05-12,cpi
2017-06-14,cpi
2017-07-14,cpi
2017-08-11,cpi
2017-09-14,cpi
2017-10-13,cpi
2017-11-15,cpi
2017-12-13,cpi
2018-01-12,cpi
2018-02-14,cpi
2018-03-13,cpi
2018-04-11,cpi
2018-05-10,cpi
2018-06-12,cpi
2018-07-12,cpi
2018-08-10,cpi
2018-09-13,cpi
2018-10-11,cpi
2018-11-14,cpi
2018-12-12,cpi
2019-01-11,cpi
2019-02-13,cpi
2019-03-12,cpi
2019-04-10,cpi
2019-05-10,cpi
2019-06-12,cpi
2019-07-11,cpi
2019-08-13,cpi
2019-09-12,cpi
2019-10-10,cpi
2019-11-13,cpi
2019-12-11,cpi
2020-01-14,cpi
2020-02-13,cpi
2020-03-11,cpi
2020-04-10,cpi
2020-05-12,cpi
2020-06-10,cpi
2020-07-14,cpi
2020-08-12,cpi
2020-09-11,cpi
2020-10-13,cpi
2020-11-12,cpi
2020-12-10,cpi
2021-01-13,cpi
2021-02-10,cpi
2021-03-10,cpi
2021-04-13,cpi
2021-05-12,cpi
2021-06-10,cpi
2021-07-13,cpi
2021-08-11,cpi
2021-09-14,cpi
2021-10-13,cpi
2021-11-10,cpi
2021-12-10,cpi
2022-01-12,cpi
2022-02-10,cpi
2022-03-10,cpi
2022-04-12,cpi
2022-05-11,cpi
2022-06-10,cpi
2022-07-13,cpi
2022-08-10,cpi
2022-09-13,cpi
2022-10-13,cpi
2022-11-10,cpi
2022-12-13,cpi
2023-01-12,cpi
2023-02-14,cpi
2023-03-14,cpi
2023-04-12,cpi
2023-05-10,cpi
2023-06-13,cpi
2023-07-12,cpi
2023-08-10,cpi
2023-09-13,cpi
2023-10-12,cpi
2023-11-14,cpi
2023-12-12,cpi
2024-01-11,cpi
2024-02-13,cpi
2024-03-12,cpi
2024-04-10,cpi
2024-05-15,cpi
2024-06-12,cpi
2024-07-11,cpi
2024-08-14,cpi
2024-09-11,cpi
2024-10-10,cpi
2024-11-13,cpi
2024-12-11,cpi
2025-01-15,cpi
2025-02-12,cpi
2025-03-12,cpi
2025-04-10,cpi
2025-05-13,cpi
2025-06-11,cpi
