date,note
# source,DERIVED: trading days in the 10 calendar days before a scheduled decision day
# verification,"VERIFIED: derived from the on-main FOMC file; no decision day is itself in the set (0 overlaps, must be 0)"
2010-06-14,fed_blackout
2010-06-15,fed_blackout
2010-06-16,fed_blackout
2010-06-17,fed_blackout
2010-06-18,fed_blackout
2010-06-21,fed_blackout
2010-06-22,fed_blackout
2010-08-02,fed_blackout
2010-08-03,fed_blackout
2010-08-04,fed_blackout
2010-08-05,fed_blackout
2010-08-06,fed_blackout
2010-08-09,fed_blackout
2010-09-13,fed_blackout
2010-09-14,fed_blackout
2010-09-15,fed_blackout
2010-09-16,fed_blackout
2010-09-17,fed_blackout
2010-09-20,fed_blackout
2010-10-25,fed_blackout
2010-10-26,fed_blackout
2010-10-27,fed_blackout
2010-10-28,fed_blackout
2010-10-29,fed_blackout
2010-11-01,fed_blackout
2010-11-02,fed_blackout
2010-12-06,fed_blackout
2010-12-07,fed_blackout
2010-12-08,fed_blackout
2010-12-09,fed_blackout
2010-12-10,fed_blackout
2010-12-13,fed_blackout
2011-01-17,fed_blackout
2011-01-18,fed_blackout
2011-01-19,fed_blackout
2011-01-20,fed_blackout
2011-01-21,fed_blackout
2011-01-24,fed_blackout
2011-01-25,fed_blackout
2011-03-07,fed_blackout
2011-03-08,fed_blackout
2011-03-09,fed_blackout
2011-03-10,fed_blackout
2011-03-11,fed_blackout
2011-03-14,fed_blackout
2011-04-18,fed_blackout
2011-04-19,fed_blackout
2011-04-20,fed_blackout
2011-04-21,fed_blackout
2011-04-25,fed_blackout
2011-04-26,fed_blackout
2011-06-13,fed_blackout
2011-06-14,fed_blackout
2011-06-15,fed_blackout
2011-06-16,fed_blackout
2011-06-17,fed_blackout
2011-06-20,fed_blackout
2011-06-21,fed_blackout
2011-08-01,fed_blackout
2011-08-02,fed_blackout
2011-08-03,fed_blackout
2011-08-04,fed_blackout
2011-08-05,fed_blackout
2011-08-08,fed_blackout
2011-09-12,fed_blackout
2011-09-13,fed_blackout
2011-09-14,fed_blackout
2011-09-15,fed_blackout
2011-09-16,fed_blackout
2011-09-19,fed_blackout
2011-09-20,fed_blackout
2011-10-24,fed_blackout
2011-10-25,fed_blackout
2011-10-26,fed_blackout
2011-10-27,fed_blackout
2011-10-28,fed_blackout
2011-10-31,fed_blackout
2011-11-01,fed_blackout
2011-12-05,fed_blackout
2011-12-06,fed_blackout
2011-12-07,fed_blackout
2011-12-08,fed_blackout
2011-12-09,fed_blackout
2011-12-12,fed_blackout
2012-01-16,fed_blackout
2012-01-17,fed_blackout
2012-01-18,fed_blackout
2012-01-19,fed_blackout
2012-01-20,fed_blackout
2012-01-23,fed_blackout
2012-01-24,fed_blackout
2012-03-05,fed_blackout
2012-03-06,fed_blackout
2012-03-07,fed_blackout
2012-03-08,fed_blackout
2012-03-09,fed_blackout
2012-03-12,fed_blackout
2012-04-16,fed_blackout
2012-04-17,fed_blackout
2012-04-18,fed_blackout
2012-04-19,fed_blackout
2012-04-20,fed_blackout
2012-04-23,fed_blackout
2012-04-24,fed_blackout
2012-06-11,fed_blackout
2012-06-12,fed_blackout
2012-06-13,fed_blackout
2012-06-14,fed_blackout
2012-06-15,fed_blackout
2012-06-18,fed_blackout
2012-06-19,fed_blackout
2012-07-23,fed_blackout
2012-07-24,fed_blackout
2012-07-25,fed_blackout
2012-07-26,fed_blackout
2012-07-27,fed_blackout
2012-07-30,fed_blackout
2012-07-31,fed_blackout
2012-09-03,fed_blackout
2012-09-04,fed_blackout
2012-09-05,fed_blackout
2012-09-06,fed_blackout
2012-09-07,fed_blackout
2012-09-10,fed_blackout
2012-09-11,fed_blackout
2012-09-12,fed_blackout
2012-10-15,fed_blackout
2012-10-16,fed_blackout
2012-10-17,fed_blackout
2012-10-18,fed_blackout
2012-10-19,fed_blackout
2012-10-22,fed_blackout
2012-10-23,fed_blackout
