date,note
2010-01-27,decision day
2010-03-16,decision day
2010-04-28,decision day
2010-06-23,decision day
2010-08-10,decision day
2010-09-21,decision day
2010-11-03,decision day
2010-12-14,decision day
2011-01-26,decision day
2011-03-15,decision day
2011-04-27,decision day
2011-06-22,decision day
2011-08-09,decision day
2011-09-21,decision day
2011-11-02,decision day
2011-12-13,decision day
2012-01-25,decision day
2012-03-13,decision day
2012-04-25,decision day
2012-06-20,decision day
2012-08-01,decision day
2012-09-13,decision day
2012-10-24,decision day
2012-12-12,decision day
2013-01-30,decision day
2013-03-20,decision day
2013-05-01,decision day
2013-06-19,decision day
2013-07-31,decision day
2013-09-18,decision day
2013-10-30,decision day
2013-12-18,decision day
2014-01-29,decision day
2014-03-19,decision day
2014-04-30,decision day
2014-06-18,decision day
2014-07-30,decision day
2014-09-17,decision day
2014-10-29,decision day
2014-12-17,decision day
2015-01-28,decision day
2015-03-18,decision day
2015-04-29,decision day
2015-06-17,decision day
2015-07-29,decision day
2015-09-17,decision day
2015-10-28,decision day
2015-12-16,decision day
2016-01-27,decision day
2016-03-16,decision day
2016-04-27,decision day
2016-06-15,decision day
2016-07-27,decision day
2016-09-21,decision day
2016-11-02,decision day
2016-12-14,decision day
2017-02-01,decision day
2017-03-15,decision day
2017-05-03,decision day
2017-06-14,decision day
2017-07-26,decision day
2017-09-20,decision day
2017-11-01,decision day
2017-12-13,decision day
2018-01-31,decision day
2018-03-21,decision day
2018-05-02,decision day
2018-06-13,decision day
2018-08-01,decision day
2018-09-26,decision day
2018-11-08,decision day
2018-12-19,decision day
2019-01-30,decision day
2019-03-20,decision day
2019-05-01,decision day
2019-06-19,decision day
2019-07-31,decision day
2019-09-18,decision day
2019-10-30,decision day
2019-12-11,decision day
2020-01-29,decision day
2020-03-03,emergency cut (intrameeting)
2020-03-15,emergency cut (Sunday; effect on 2020-03-16 session)
2020-04-29,decision day
2020-06-10,decision day
2020-07-29,decision day
2020-09-16,decision day
2020-11-05,decision day
2020-12-16,decision day
2021-01-27,decision day
2021-03-17,decision day
2021-04-28,decision day
2021-06-16,decision day
2021-07-28,decision day
2021-09-22,decision day
2021-11-03,decision day
2021-12-15,decision day
2022-01-26,decision day
2022-03-16,decision day
2022-05-04,decision day
2022-06-15,decision day
2022-07-27,decision day
2022-09-21,decision day
2022-11-02,decision day
2022-12-14,decision day
2023-02-01,decision day
2023-03-22,decision day
2023-05-03,decision day
2023-06-14,decision day
2023-07-26,decision day
2023-09-20,decision day
2023-11-01,decision day
2023-12-13,decision day
2024-01-31,decision day
2024-03-20,decision day
2024-05-01,decision day
2024-06-12,decision day
2024-07-31,decision day
2024-09-18,decision day
2024-11-07,decision day
2024-12-18,decision day
2025-01-29,decision day
2025-03-19,decision day
2025-05-07,decision day
2025-06-18,decision day
2025-07-30,decision day
2025-09-17,decision day
2025-10-29,decision day
2025-12-10,decision day
2026-01-28,decision day (published schedule - verify)
2026-03-18,decision day (published schedule - verify)
2026-04-29,decision day (published schedule - verify)
2026-06-17,decision day (published schedule - verify)
2026-07-29,decision day (published schedule - verify)
2026-09-16,decision day (published schedule - verify)
2026-10-28,decision day (published schedule - verify)
2026-12-09,decision day (published schedule - verify)
