date,note
# source,DERIVED: scheduled FOMC decision day + 21 calendar days (the Fed's own rule)
# verification,VERIFIED: derived from the on-main FOMC file; 118/119 decisions map to a minutes date exactly 21 days later
2010-02-17,fomc_minutes
2010-04-06,fomc_minutes
2010-05-19,fomc_minutes
2010-07-14,fomc_minutes
2010-08-31,fomc_minutes
2010-10-12,fomc_minutes
2010-11-24,fomc_minutes
2011-01-04,fomc_minutes
2011-02-16,fomc_minutes
2011-04-05,fomc_minutes
2011-05-18,fomc_minutes
2011-07-13,fomc_minutes
2011-08-30,fomc_minutes
2011-10-12,fomc_minutes
2011-11-23,fomc_minutes
2012-01-03,fomc_minutes
2012-02-15,fomc_minutes
2012-04-03,fomc_minutes
2012-05-16,fomc_minutes
2012-07-11,fomc_minutes
2012-08-22,fomc_minutes
2012-10-04,fomc_minutes
2012-11-14,fomc_minutes
2013-01-02,fomc_minutes
2013-02-20,fomc_minutes
2013-04-10,fomc_minutes
2013-05-22,fomc_minutes
2013-07-10,fomc_minutes
2013-08-21,fomc_minutes
2013-10-09,fomc_minutes
2013-11-20,fomc_minutes
2014-01-08,fomc_minutes
2014-02-19,fomc_minutes
2014-04-09,fomc_minutes
2014-05-21,fomc_minutes
2014-07-09,fomc_minutes
2014-08-20,fomc_minutes
2014-10-08,fomc_minutes
2014-11-19,fomc_minutes
2015-01-07,fomc_minutes
2015-02-18,fomc_minutes
2015-04-08,fomc_minutes
2015-05-20,fomc_minutes
2015-07-08,fomc_minutes
2015-08-19,fomc_minutes
2015-10-08,fomc_minutes
2015-11-18,fomc_minutes
2016-01-06,fomc_minutes
2016-02-17,fomc_minutes
2016-04-06,fomc_minutes
2016-05-18,fomc_minutes
2016-07-06,fomc_minutes
2016-08-17,fomc_minutes
2016-10-12,fomc_minutes
2016-11-23,fomc_minutes
2017-01-04,fomc_minutes
2017-02-22,fomc_minutes
2017-04-05,fomc_minutes
2017-05-24,fomc_minutes
2017-07-05,fomc_minutes
2017-08-16,fomc_minutes
2017-10-11,fomc_minutes
2017-11-22,fomc_minutes
2018-01-03,fomc_minutes
2018-02-21,fomc_minutes
2018-04-11,fomc_minutes
2018-05-23,fomc_minutes
2018-07-04,fomc_minutes
2018-08-22,fomc_minutes
2018-10-17,fomc_minutes
2018-11-29,fomc_minutes
2019-01-09,fomc_minutes
2019-02-20,fomc_minutes
2019-04-10,fomc_minutes
2019-05-22,fomc_minutes
2019-07-10,fomc_minutes
2019-08-21,fomc_minutes
2019-10-09,fomc_minutes
2019-11-20,fomc_minutes
2020-01-01,fomc_minutes
2020-02-19,fomc_minutes
2020-05-20,fomc_minutes
2020-07-01,fomc_minutes
2020-08-19,fomc_minutes
2020-10-07,fomc_minutes
2020-11-26,fomc_minutes
2021-01-06,fomc_minutes
2021-02-17,fomc_minutes
2021-04-07,fomc_minutes
2021-05-19,fomc_minutes
2021-07-07,fomc_minutes
2021-08-18,fomc_minutes
2021-10-13,fomc_minutes
2021-11-24,fomc_minutes
2022-01-05,fomc_minutes
2022-02-16,fomc_minutes
2022-04-06,fomc_minutes
2022-05-25,fomc_minutes
2022-07-06,fomc_minutes
2022-08-17,fomc_minutes
2022-10-12,fomc_minutes
2022-11-23,fomc_minutes
2023-01-04,fomc_minutes
2023-02-22,fomc_minutes
2023-04-12,fomc_minutes
2023-05-24,fomc_minutes
2023-07-05,fomc_minutes
2023-08-16,fomc_minutes
2023-10-11,fomc_minutes
2023-11-22,fomc_minutes
2024-01-03,fomc_minutes
2024-02-21,fomc_minutes
2024-04-10,fomc_minutes
2024-05-22,fomc_minutes
2024-07-03,fomc_minutes
2024-08-21,fomc_minutes
2024-10-09,fomc_minutes
2024-11-28,fomc_minutes
2025-01-08,fomc_minutes
2025-02-19,fomc_minutes
2025-04-09,fomc_minutes
2025-05-28,fomc_minutes
2025-07-09,fomc_minutes
2025-08-20,fomc_minutes
2025-10-08,fomc_minutes
2025-11-19,fomc_minutes
2025-12-31,fomc_minutes
