ticker,accepted_et,items
GOOGL,2010-01-21 16:04,"2.02,8.01,9.01"
AAPL,2010-01-25 16:27,"2.02,9.01"
MSFT,2010-01-28 16:08,"2.02,9.01"
AMZN,2010-01-28 16:18,"2.02,9.01"
NVDA,2010-02-17 16:50,"2.02,9.01"
GOOGL,2010-04-15 16:07,"2.02,8.01,9.01"
AAPL,2010-04-20 16:30,"2.02,9.01"
AMZN,2010-04-22 16:08,"2.02,9.01"
MSFT,2010-04-22 16:16,"2.02,9.01"
NVDA,2010-05-13 16:29,"2.02,9.01"
GOOGL,2010-07-15 16:02,"2.02,8.01,9.01"
AAPL,2010-07-20 16:33,"2.02,9.01"
MSFT,2010-07-22 16:19,"2.02,9.01"
AMZN,2010-07-22 16:30,"2.02,9.01"
TSLA,2010-08-04 16:15,"2.02,9.01"
NVDA,2010-08-12 16:24,"2.02,9.01"
GOOGL,2010-10-14 16:06,"2.02,8.01,9.01"
AAPL,2010-10-18 16:29,"2.02,9.01"
AMZN,2010-10-21 16:07,"2.02,9.01"
MSFT,2010-10-28 16:28,"2.02,9.01"
TSLA,2010-11-09 16:30,"2.02,9.01"
NVDA,2010-11-12 06:11,"2.02,9.01"
AAPL,2011-01-18 16:30,"2.02,9.01"
GOOGL,2011-01-20 16:01,"2.02,5.02,8.01,9.01"
MSFT,2011-01-27 15:57,"2.02,9.01"
AMZN,2011-01-27 16:11,"2.02,9.01"
TSLA,2011-02-15 16:27,"2.02,9.01"
NVDA,2011-02-16 16:22,"2.02,9.01"
GOOGL,2011-04-14 16:02,"2.02,8.01,9.01"
AAPL,2011-04-20 16:30,"2.02,9.01"
AMZN,2011-04-26 16:20,"2.02,9.01"
MSFT,2011-04-28 16:06,"2.02,9.01"
TSLA,2011-05-04 16:28,"2.02,9.01"
NVDA,2011-05-12 16:25,"2.02,9.01"
GOOGL,2011-07-14 16:07,"2.02,8.01,9.01"
AAPL,2011-07-19 16:29,"2.02,9.01"
MSFT,2011-07-21 16:06,"2.02,9.01"
AMZN,2011-07-26 16:14,"2.02,9.01"
TSLA,2011-08-03 16:40,"2.02,9.01"
NVDA,2011-08-11 16:26,"2.02,9.01"
GOOGL,2011-10-13 16:04,"2.02,8.01,9.01"
AAPL,2011-10-18 16:31,"2.02,9.01"
MSFT,2011-10-20 16:05,"2.02,9.01"
AMZN,2011-10-25 16:13,"2.02,9.01"
NVDA,2011-11-10 16:21,"2.02,9.01"
GOOGL,2012-01-19 16:03,"2.02,8.01,9.01"
MSFT,2012-01-19 16:05,"2.02,9.01"
AAPL,2012-01-24 16:30,"2.02,9.01"
AMZN,2012-01-31 16:08,"2.02,9.01"
TSLA,2012-02-15 16:20,"2.02,9.01"
NVDA,2012-02-15 16:40,"2.02,9.01"
GOOGL,2012-04-12 16:08,"2.02,8.01,9.01"
MSFT,2012-04-19 16:03,"2.02,9.01"
AAPL,2012-04-24 16:30,"2.02,9.01"
AMZN,2012-04-26 16:39,"2.02,9.01"
TSLA,2012-05-09 16:05,"2.02,9.01"
NVDA,2012-05-11 07:32,"2.02,9.01"
GOOGL,2012-07-19 16:03,"2.02,8.01,9.01"
MSFT,2012-07-19 16:06,"2.02,9.01"
AAPL,2012-07-24 16:31,"2.02,9.01"
