date,note
# source,DERIVED: first 2 trading days of each calendar month (from the NQ RTH tape)
# verification,VERIFIED BY CONSTRUCTION: taken from the traded tape's own session dates
2010-06-07,month_start
2010-06-08,month_start
2010-07-01,month_start
2010-07-02,month_start
2010-08-02,month_start
2010-08-03,month_start
2010-09-01,month_start
2010-09-02,month_start
2010-10-01,month_start
2010-10-04,month_start
2010-11-01,month_start
2010-11-02,month_start
2010-12-01,month_start
2010-12-02,month_start
2011-01-03,month_start
2011-01-04,month_start
2011-02-01,month_start
2011-02-02,month_start
2011-03-01,month_start
2011-03-02,month_start
2011-04-01,month_start
2011-04-04,month_start
2011-05-02,month_start
2011-05-03,month_start
2011-06-01,month_start
2011-06-02,month_start
2011-07-01,month_start
2011-07-04,month_start
2011-08-01,month_start
2011-08-02,month_start
2011-09-01,month_start
2011-09-02,month_start
2011-10-03,month_start
2011-10-04,month_start
2011-11-01,month_start
2011-11-02,month_start
2011-12-01,month_start
2011-12-02,month_start
2012-01-03,month_start
2012-01-04,month_start
2012-02-01,month_start
2012-02-02,month_start
2012-03-01,month_start
2012-03-02,month_start
2012-04-02,month_start
2012-04-03,month_start
2012-05-01,month_start
2012-05-02,month_start
2012-06-01,month_start
2012-06-04,month_start
2012-07-02,month_start
2012-07-03,month_start
2012-08-01,month_start
2012-08-02,month_start
2012-09-03,month_start
2012-09-04,month_start
2012-10-01,month_start
2012-10-02,month_start
2012-11-01,month_start
2012-11-02,month_start
2012-12-03,month_start
2012-12-04,month_start
2013-01-02,month_start
2013-01-03,month_start
2013-02-01,month_start
2013-02-04,month_start
2013-03-01,month_start
2013-03-04,month_start
2013-04-01,month_start
2013-04-02,month_start
2013-05-01,month_start
2013-05-02,month_start
2013-06-03,month_start
2013-06-04,month_start
2013-07-01,month_start
2013-07-02,month_start
2013-08-01,month_start
2013-08-02,month_start
2013-09-03,month_start
2013-09-04,month_start
2013-10-01,month_start
2013-10-02,month_start
2013-11-01,month_start
2013-11-04,month_start
2013-12-02,month_start
2013-12-03,month_start
2014-01-02,month_start
2014-01-03,month_start
2014-02-03,month_start
2014-02-04,month_start
2014-03-03,month_start
2014-03-04,month_start
2014-04-01,month_start
2014-04-02,month_start
2014-05-01,month_start
2014-05-02,month_start
2014-06-02,month_start
2014-06-03,month_start
2014-07-01,month_start
2014-07-02,month_start
2014-08-01,month_start
2014-08-04,month_start
2014-09-01,month_start
2014-09-02,month_start
2014-10-01,month_start
2014-10-02,month_start
2014-11-03,month_start
2014-11-04,month_start
2014-12-01,month_start
2014-12-02,month_start
2015-01-02,month_start
2015-01-05,month_start
2015-02-02,month_start
2015-02-03,month_start
2015-03-02,month_start
2015-03-03,month_start
2015-04-01,month_start
2015-04-02,month_start
2015-05-01,month_start
2015-05-04,month_start
2015-06-01,month_start
2015-06-02,month_start
2015-07-01,month_start
2015-07-02,month_start
2015-08-03,month_start
2015-08-04,month_start
2015-09-01,month_start
2015-09-02,month_start
2015-10-01,month_start
2015-10-02,month_start
2015-11-02,month_start
2015-11-03,month_start
2015-12-01,month_start
2015-12-02,month_start
2016-01-04,month_start
2016-01-05,month_start
2016-02-01,month_start
2016-02-02,month_start
2016-03-01,month_start
2016-03-02,month_start
2016-04-01,month_start
2016-04-04,month_start
2016-05-02,month_start
2016-05-03,month_start
2016-06-01,month_start
2016-06-02,month_start
2016-07-01,month_start
2016-07-04,month_start
2016-08-01,month_start
2016-08-02,month_start
2016-09-01,month_start
2016-09-02,month_start
2016-10-03,month_start
2016-10-04,month_start
2016-11-01,month_start
2016-11-02,month_start
2016-12-01,month_start
2016-12-02,month_start
2017-01-03,month_start
2017-01-04,month_start
2017-02-01,month_start
2017-02-02,month_start
2017-03-01,month_start
2017-03-02,month_start
2017-04-03,month_start
2017-04-04,month_start
2017-05-01,month_start
2017-05-02,month_start
2017-06-01,month_start
2017-06-02,month_start
2017-07-03,month_start
2017-07-04,month_start
2017-08-01,month_start
2017-08-02,month_start
2017-09-01,month_start
2017-09-04,month_start
2017-10-02,month_start
2017-10-03,month_start
2017-11-01,month_start
2017-11-02,month_start
2017-12-01,month_start
2017-12-04,month_start
2018-01-02,month_start
2018-01-03,month_start
2018-02-01,month_start
2018-02-02,month_start
2018-03-01,month_start
2018-03-02,month_start
2018-04-02,month_start
2018-04-03,month_start
2018-05-01,month_start
2018-05-02,month_start
2018-06-01,month_start
2018-06-04,month_start
2018-07-02,month_start
2018-07-03,month_start
2018-08-01,month_start
2018-08-02,month_start
2018-09-03,month_start
2018-09-04,month_start
2018-10-01,month_start
2018-10-02,month_start
2018-11-01,month_start
2018-11-02,month_start
2018-12-03,month_start
2018-12-04,month_start
2019-01-02,month_start
2019-01-03,month_start
2019-02-01,month_start
2019-02-04,month_start
2019-03-01,month_start
2019-03-04,month_start
2019-04-01,month_start
2019-04-02,month_start
2019-05-01,month_start
2019-05-02,month_start
2019-06-03,month_start
2019-06-04,month_start
2019-07-01,month_start
2019-07-02,month_start
2019-08-01,month_start
2019-08-02,month_start
2019-09-02,month_start
2019-09-03,month_start
2019-10-01,month_start
2019-10-02,month_start
2019-11-01,month_start
2019-11-04,month_start
2019-12-02,month_start
2019-12-03,month_start
2020-01-02,month_start
2020-01-03,month_start
2020-02-03,month_start
2020-02-04,month_start
2020-03-02,month_start
2020-03-03,month_start
2020-04-01,month_start
2020-04-02,month_start
2020-05-01,month_start
2020-05-04,month_start
2020-06-01,month_start
2020-06-02,month_start
2020-07-01,month_start
2020-07-02,month_start
2020-08-03,month_start
2020-08-04,month_start
2020-09-01,month_start
2020-09-02,month_start
2020-10-01,month_start
2020-10-02,month_start
2020-11-02,month_start
2020-11-03,month_start
2020-12-01,month_start
2020-12-02,month_start
2021-01-04,month_start
2021-01-05,month_start
2021-02-01,month_start
2021-02-02,month_start
2021-03-01,month_start
2021-03-02,month_start
2021-04-01,month_start
2021-04-05,month_start
2021-05-03,month_start
2021-05-04,month_start
2021-06-01,month_start
2021-06-02,month_start
2021-07-01,month_start
2021-07-02,month_start
2021-08-02,month_start
2021-08-03,month_start
2021-09-01,month_start
2021-09-02,month_start
2021-10-01,month_start
2021-10-04,month_start
2021-11-01,month_start
2021-11-02,month_start
2021-12-01,month_start
2021-12-02,month_start
2022-01-03,month_start
2022-01-04,month_start
2022-02-01,month_start
2022-02-02,month_start
2022-03-01,month_start
2022-03-02,month_start
2022-04-01,month_start
2022-04-04,month_start
2022-05-02,month_start
2022-05-03,month_start
2022-06-01,month_start
2022-06-02,month_start
2022-07-01,month_start
2022-07-04,month_start
2022-08-01,month_start
2022-08-02,month_start
2022-09-01,month_start
2022-09-02,month_start
2022-10-03,month_start
2022-10-04,month_start
2022-11-01,month_start
2022-11-02,month_start
2022-12-01,month_start
2022-12-02,month_start
2023-01-03,month_start
2023-01-04,month_start
2023-02-01,month_start
2023-02-02,month_start
2023-03-01,month_start
2023-03-02,month_start
2023-04-03,month_start
2023-04-04,month_start
2023-05-01,month_start
2023-05-02,month_start
2023-06-01,month_start
2023-06-02,month_start
2023-07-03,month_start
2023-07-04,month_start
2023-08-01,month_start
2023-08-02,month_start
2023-09-01,month_start
2023-09-04,month_start
2023-10-02,month_start
2023-10-03,month_start
2023-11-01,month_start
2023-11-02,month_start
2023-12-01,month_start
2023-12-04,month_start
2024-01-02,month_start
2024-01-03,month_start
2024-02-01,month_start
2024-02-02,month_start
2024-03-01,month_start
2024-03-04,month_start
2024-04-01,month_start
2024-04-02,month_start
2024-05-01,month_start
2024-05-02,month_start
2024-06-03,month_start
2024-06-04,month_start
2024-07-01,month_start
2024-07-02,month_start
2024-08-01,month_start
2024-08-02,month_start
2024-09-02,month_start
2024-09-03,month_start
2024-10-01,month_start
2024-10-02,month_start
2024-11-01,month_start
2024-11-04,month_start
2024-12-02,month_start
2024-12-03,month_start
2025-01-02,month_start
2025-01-03,month_start
2025-02-03,month_start
2025-02-04,month_start
2025-03-03,month_start
2025-03-04,month_start
2025-04-01,month_start
2025-04-02,month_start
2025-05-01,month_start
2025-05-02,month_start
2025-06-02,month_start
2025-06-03,month_start
