date,note
# source,"BLS published annual schedules bls.gov/schedule/<year>/home.htm, fetched 2026-09-09"
# verification,PARTIALLY VERIFIED: 174 dates transcribed from the BLS annual schedule pages; 170/174 are Fridays (the rest are the published exceptions); NOT independently cross-checked against a second source
2010-07-02,nfp
2010-08-06,nfp
2010-09-03,nfp
2010-10-08,nfp
2010-11-05,nfp
2010-12-03,nfp
2011-01-07,nfp
2011-02-04,nfp
2011-03-04,nfp
2011-04-01,nfp
2011-05-06,nfp
2011-06-03,nfp
2011-07-08,nfp
2011-08-05,nfp
2011-09-02,nfp
2011-10-07,nfp
2011-11-04,nfp
2011-12-02,nfp
2012-01-06,nfp
2012-02-03,nfp
2012-03-09,nfp
2012-04-06,nfp
2012-05-04,nfp
2012-06-01,nfp
2012-07-06,nfp
2012-08-03,nfp
2012-09-07,nfp
2012-10-05,nfp
2012-11-02,nfp
2012-12-07,nfp
2013-01-04,nfp
2013-02-01,nfp
2013-03-08,nfp
2013-04-05,nfp
2013-05-03,nfp
2013-06-07,nfp
2013-07-05,nfp
2013-08-02,nfp
2013-09-06,nfp
2013-10-22,nfp
2013-11-08,nfp
2013-12-06,nfp
2014-01-10,nfp
2014-02-07,nfp
2014-03-07,nfp
2014-04-04,nfp
2014-05-02,nfp
2014-06-06,nfp
2014-07-03,nfp
2014-08-01,nfp
2014-09-05,nfp
2014-10-03,nfp
2014-11-07,nfp
2014-12-05,nfp
2015-01-09,nfp
2015-02-06,nfp
2015-03-06,nfp
2015-04-03,nfp
2015-05-08,nfp
2015-06-05,nfp
2015-07-02,nfp
2015-08-07,nfp
2015-09-04,nfp
2015-10-02,nfp
2015-11-06,nfp
2015-12-04,nfp
2016-01-08,nfp
2016-02-05,nfp
2016-03-04,nfp
2016-04-01,nfp
2016-05-06,nfp
2016-06-03,nfp
2016-07-08,nfp
2016-08-05,nfp
2016-09-02,nfp
2016-10-07,nfp
2016-11-04,nfp
2016-12-02,nfp
2017-01-06,nfp
2017-02-03,nfp
2017-03-10,nfp
2017-04-07,nfp
2017-05-05,nfp
2017-06-02,nfp
2017-07-07,nfp
2017-08-04,nfp
2017-09-01,nfp
2017-10-06,nfp
2017-11-03,nfp
2017-12-08,nfp
2018-01-05,nfp
2018-02-02,nfp
2018-03-09,nfp
2018-04-06,nfp
2018-05-04,nfp
2018-06-01,nfp
2018-07-06,nfp
2018-08-03,nfp
2018-09-07,nfp
2018-10-05,nfp
2018-11-02,nfp
2018-12-07,nfp
2019-01-04,nfp
2019-02-01,nfp
2019-03-08,nfp
2019-04-05,nfp
2019-05-03,nfp
2019-06-07,nfp
2019-07-05,nfp
2019-08-02,nfp
2019-09-06,nfp
2019-10-04,nfp
2019-11-01,nfp
2019-12-06,nfp
2020-01-10,nfp
2020-02-07,nfp
2020-03-06,nfp
2020-04-03,nfp
2020-05-08,nfp
2020-06-05,nfp
2020-07-02,nfp
2020-08-07,nfp
2020-09-04,nfp
2020-10-02,nfp
2020-11-06,nfp
2020-12-04,nfp
2021-01-08,nfp
2021-02-05,nfp
2021-03-05,nfp
2021-04-02,nfp
2021-05-07,nfp
2021-06-04,nfp
2021-07-02,nfp
2021-08-06,nfp
2021-09-03,nfp
2021-10-08,nfp
2021-11-05,nfp
2021-12-03,nfp
2022-01-07,nfp
2022-02-04,nfp
2022-03-04,nfp
2022-04-01,nfp
2022-05-06,nfp
2022-06-03,nfp
2022-07-08,nfp
2022-08-05,nfp
2022-09-02,nfp
2022-10-07,nfp
2022-11-04,nfp
2022-12-02,nfp
2023-01-06,nfp
2023-02-03,nfp
2023-03-10,nfp
2023-04-07,nfp
2023-05-05,nfp
2023-06-02,nfp
2023-07-07,nfp
2023-08-04,nfp
2023-09-01,nfp
2023-10-06,nfp
2023-11-03,nfp
2023-12-08,nfp
2024-01-05,nfp
2024-02-02,nfp
2024-03-08,nfp
2024-04-05,nfp
2024-05-03,nfp
2024-06-07,nfp
2024-07-05,nfp
2024-08-02,nfp
2024-09-06,nfp
2024-10-04,nfp
2024-11-01,nfp
2024-12-06,nfp
2025-01-10,nfp
2025-02-07,nfp
2025-03-07,nfp
2025-04-04,nfp
2025-05-02,nfp
2025-06-06,nfp
