date,note
# source,DERIVED: last 2 trading days of each calendar quarter (from the NQ RTH tape)
# verification,VERIFIED BY CONSTRUCTION: taken from the traded tape's own session dates
2010-06-29,quarter_end
2010-06-30,quarter_end
2010-09-29,quarter_end
2010-09-30,quarter_end
2010-12-30,quarter_end
2010-12-31,quarter_end
2011-03-30,quarter_end
2011-03-31,quarter_end
2011-06-29,quarter_end
2011-06-30,quarter_end
2011-09-29,quarter_end
2011-09-30,quarter_end
2011-12-29,quarter_end
2011-12-30,quarter_end
2012-03-29,quarter_end
2012-03-30,quarter_end
2012-06-28,quarter_end
2012-06-29,quarter_end
2012-09-27,quarter_end
2012-09-28,quarter_end
2012-12-28,quarter_end
2012-12-31,quarter_end
2013-03-27,quarter_end
2013-03-28,quarter_end
2013-06-27,quarter_end
2013-06-28,quarter_end
2013-09-27,quarter_end
2013-09-30,quarter_end
2013-12-30,quarter_end
2013-12-31,quarter_end
2014-03-28,quarter_end
2014-03-31,quarter_end
2014-06-27,quarter_end
2014-06-30,quarter_end
2014-09-29,quarter_end
2014-09-30,quarter_end
2014-12-29,quarter_end
2014-12-30,quarter_end
2015-03-30,quarter_end
2015-03-31,quarter_end
2015-06-29,quarter_end
2015-06-30,quarter_end
2015-09-29,quarter_end
2015-09-30,quarter_end
2015-12-30,quarter_end
2015-12-31,quarter_end
2016-03-30,quarter_end
2016-03-31,quarter_end
2016-06-29,quarter_end
2016-06-30,quarter_end
2016-09-29,quarter_end
2016-09-30,quarter_end
2016-12-29,quarter_end
2016-12-30,quarter_end
2017-03-30,quarter_end
2017-03-31,quarter_end
2017-06-29,quarter_end
2017-06-30,quarter_end
2017-09-28,quarter_end
2017-09-29,quarter_end
2017-12-28,quarter_end
2017-12-29,quarter_end
2018-03-28,quarter_end
2018-03-29,quarter_end
2018-06-28,quarter_end
2018-06-29,quarter_end
2018-09-27,quarter_end
2018-09-28,quarter_end
2018-12-28,quarter_end
2018-12-31,quarter_end
2019-03-28,quarter_end
2019-03-29,quarter_end
2019-06-27,quarter_end
2019-06-28,quarter_end
2019-09-27,quarter_end
2019-09-30,quarter_end
2019-12-30,quarter_end
2019-12-31,quarter_end
2020-03-30,quarter_end
2020-03-31,quarter_end
2020-06-29,quarter_end
2020-06-30,quarter_end
2020-09-29,quarter_end
2020-09-30,quarter_end
2020-12-30,quarter_end
2020-12-31,quarter_end
2021-03-30,quarter_end
2021-03-31,quarter_end
2021-06-29,quarter_end
2021-06-30,quarter_end
2021-09-29,quarter_end
2021-09-30,quarter_end
2021-12-30,quarter_end
2021-12-31,quarter_end
2022-03-30,quarter_end
2022-03-31,quarter_end
2022-06-29,quarter_end
2022-06-30,quarter_end
2022-09-29,quarter_end
2022-09-30,quarter_end
2022-12-29,quarter_end
2022-12-30,quarter_end
2023-03-30,quarter_end
2023-03-31,quarter_end
2023-06-29,quarter_end
2023-06-30,quarter_end
2023-09-28,quarter_end
2023-09-29,quarter_end
2023-12-28,quarter_end
2023-12-29,quarter_end
2024-03-27,quarter_end
2024-03-28,quarter_end
2024-06-27,quarter_end
2024-06-28,quarter_end
2024-09-27,quarter_end
2024-09-30,quarter_end
2024-12-30,quarter_end
2024-12-31,quarter_end
2025-03-28,quarter_end
2025-03-31,quarter_end
2025-06-27,quarter_end
2025-06-30,quarter_end
