date,note
# source,DERIVED: first 2 trading days of each calendar quarter (from the NQ RTH tape)
# verification,VERIFIED BY CONSTRUCTION: taken from the traded tape's own session dates
2010-06-07,quarter_start
2010-06-08,quarter_start
2010-07-01,quarter_start
2010-07-02,quarter_start
2010-10-01,quarter_start
2010-10-04,quarter_start
2011-01-03,quarter_start
2011-01-04,quarter_start
2011-04-01,quarter_start
2011-04-04,quarter_start
2011-07-01,quarter_start
2011-07-04,quarter_start
2011-10-03,quarter_start
2011-10-04,quarter_start
2012-01-03,quarter_start
2012-01-04,quarter_start
2012-04-02,quarter_start
2012-04-03,quarter_start
2012-07-02,quarter_start
2012-07-03,quarter_start
2012-10-01,quarter_start
2012-10-02,quarter_start
2013-01-02,quarter_start
2013-01-03,quarter_start
2013-04-01,quarter_start
2013-04-02,quarter_start
2013-07-01,quarter_start
2013-07-02,quarter_start
2013-10-01,quarter_start
2013-10-02,quarter_start
2014-01-02,quarter_start
2014-01-03,quarter_start
2014-04-01,quarter_start
2014-04-02,quarter_start
2014-07-01,quarter_start
2014-07-02,quarter_start
2014-10-01,quarter_start
2014-10-02,quarter_start
2015-01-02,quarter_start
2015-01-05,quarter_start
2015-04-01,quarter_start
2015-04-02,quarter_start
2015-07-01,quarter_start
2015-07-02,quarter_start
2015-10-01,quarter_start
2015-10-02,quarter_start
2016-01-04,quarter_start
2016-01-05,quarter_start
2016-04-01,quarter_start
2016-04-04,quarter_start
2016-07-01,quarter_start
2016-07-04,quarter_start
2016-10-03,quarter_start
2016-10-04,quarter_start
2017-01-03,quarter_start
2017-01-04,quarter_start
2017-04-03,quarter_start
2017-04-04,quarter_start
2017-07-03,quarter_start
2017-07-04,quarter_start
2017-10-02,quarter_start
2017-10-03,quarter_start
2018-01-02,quarter_start
2018-01-03,quarter_start
2018-04-02,quarter_start
2018-04-03,quarter_start
2018-07-02,quarter_start
2018-07-03,quarter_start
2018-10-01,quarter_start
2018-10-02,quarter_start
2019-01-02,quarter_start
2019-01-03,quarter_start
2019-04-01,quarter_start
2019-04-02,quarter_start
2019-07-01,quarter_start
2019-07-02,quarter_start
2019-10-01,quarter_start
2019-10-02,quarter_start
2020-01-02,quarter_start
2020-01-03,quarter_start
2020-04-01,quarter_start
2020-04-02,quarter_start
2020-07-01,quarter_start
2020-07-02,quarter_start
2020-10-01,quarter_start
2020-10-02,quarter_start
2021-01-04,quarter_start
2021-01-05,quarter_start
2021-04-01,quarter_start
2021-04-05,quarter_start
2021-07-01,quarter_start
2021-07-02,quarter_start
2021-10-01,quarter_start
2021-10-04,quarter_start
2022-01-03,quarter_start
2022-01-04,quarter_start
2022-04-01,quarter_start
2022-04-04,quarter_start
2022-07-01,quarter_start
2022-07-04,quarter_start
2022-10-03,quarter_start
2022-10-04,quarter_start
2023-01-03,quarter_start
2023-01-04,quarter_start
2023-04-03,quarter_start
2023-04-04,quarter_start
2023-07-03,quarter_start
2023-07-04,quarter_start
2023-10-02,quarter_start
2023-10-03,quarter_start
2024-01-02,quarter_start
2024-01-03,quarter_start
2024-04-01,quarter_start
2024-04-02,quarter_start
2024-07-01,quarter_start
2024-07-02,quarter_start
2024-10-01,quarter_start
2024-10-02,quarter_start
2025-01-02,quarter_start
2025-01-03,quarter_start
2025-04-01,quarter_start
2025-04-02,quarter_start
