,Open,High,Low,Close,Volume
2026-08-31 04:00:00-04:00,4.04,4.0939,4.0,4.0939,0
2026-08-31 04:01:00-04:00,4.0692,4.0692,4.0692,4.0692,0
2026-08-31 04:02:00-04:00,4.0308,4.067,4.0308,4.067,0
2026-08-31 04:03:00-04:00,4.067,4.067,4.066,4.066,0
2026-08-31 04:13:00-04:00,4.06,4.06,4.06,4.06,0
2026-08-31 04:17:00-04:00,4.0,4.0628,4.0,4.0628,0
2026-08-31 04:18:00-04:00,4.0056,4.0056,4.0056,4.0056,0
2026-08-31 04:19:00-04:00,3.9977,3.9977,3.9977,3.9977,0
2026-08-31 04:20:00-04:00,3.99,3.99,3.99,3.99,0
2026-08-31 04:21:00-04:00,3.9964,3.9964,3.9964,3.9964,0
2026-08-31 04:29:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 04:32:00-04:00,3.9872,3.9872,3.9872,3.9872,0
2026-08-31 04:33:00-04:00,4.06,4.06,4.06,4.06,0
2026-08-31 04:34:00-04:00,4.06,4.06,4.06,4.06,0
2026-08-31 04:40:00-04:00,4.06,4.06,3.9872,3.9872,0
2026-08-31 04:44:00-04:00,4.06,4.06,4.06,4.06,0
2026-08-31 04:50:00-04:00,3.9872,3.9872,3.9872,3.9872,0
2026-08-31 05:01:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 05:06:00-04:00,4.0,4.0,4.0,4.0,0
2026-08-31 05:13:00-04:00,3.9872,3.9872,3.9872,3.9872,0
2026-08-31 05:15:00-04:00,3.9872,3.9872,3.9872,3.9872,0
2026-08-31 05:26:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 05:29:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 05:48:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 05:50:00-04:00,3.99,3.99,3.99,3.99,0
2026-08-31 05:52:00-04:00,4.0629,4.0629,4.0629,4.0629,0
2026-08-31 05:57:00-04:00,4.0344,4.0344,4.0344,4.0344,0
2026-08-31 05:59:00-04:00,4.0444,4.0444,4.0444,4.0444,0
2026-08-31 06:02:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 06:08:00-04:00,3.9871,3.9871,3.9871,3.9871,0
2026-08-31 06:10:00-04:00,3.9872,3.9872,3.9872,3.9872,0
2026-08-31 06:13:00-04:00,3.99,3.99,3.99,3.99,0
2026-08-31 06:19:00-04:00,3.9872,3.9872,3.9872,3.9872,0
2026-08-31 06:21:00-04:00,4.0697,4.0697,4.0697,4.0697,0
2026-08-31 06:24:00-04:00,3.98,3.98,3.98,3.98,0
2026-08-31 06:26:00-04:00,3.95,3.95,3.95,3.95,0
2026-08-31 06:27:00-04:00,3.95,3.95,3.95,3.95,0
2026-08-31 06:39:00-04:00,3.9779,3.9779,3.9779,3.9779,0
2026-08-31 06:52:00-04:00,3.9779,3.9779,3.9779,3.9779,0
2026-08-31 06:53:00-04:00,3.9779,3.9779,3.9779,3.9779,0
2026-08-31 06:54:00-04:00,3.9779,3.9779,3.9779,3.9779,0
2026-08-31 06:58:00-04:00,3.96,3.99,3.96,3.99,0
2026-08-31 06:59:00-04:00,3.96,3.96,3.96,3.96,0
2026-08-31 07:02:00-04:00,3.9236,3.9236,3.9236,3.9236,0
2026-08-31 07:03:00-04:00,3.92,3.92,3.92,3.92,0
2026-08-31 07:04:00-04:00,3.92,3.92,3.92,3.92,0
2026-08-31 07:11:00-04:00,3.8944,3.8944,3.8944,3.8944,0
2026-08-31 07:12:00-04:00,3.9,3.9,3.8999,3.8999,0
2026-08-31 07:16:00-04:00,3.8852,3.886,3.8852,3.886,0
2026-08-31 07:18:00-04:00,3.9015,3.9015,3.9015,3.9015,0
2026-08-31 07:20:00-04:00,3.9071,3.9071,3.9071,3.9071,0
2026-08-31 07:24:00-04:00,3.9,3.9,3.9,3.9,0
2026-08-31 07:27:00-04:00,3.9828,3.9828,3.9828,3.9828,0
2026-08-31 07:30:00-04:00,3.98,3.9885,3.98,3.9885,0
2026-08-31 07:31:00-04:00,3.98,3.98,3.98,3.98,0
2026-08-31 07:40:00-04:00,3.9,3.9,3.9,3.9,0
2026-08-31 07:56:00-04:00,4.0533,4.0533,4.0533,4.0533,0
2026-08-31 08:01:00-04:00,3.94,3.94,3.94,3.94,0
2026-08-31 08:05:00-04:00,3.97,3.97,3.97,3.97,0
2026-08-31 08:14:00-04:00,4.0525,4.0525,4.0525,4.0525,0
2026-08-31 08:30:00-04:00,4.01,4.01,4.01,4.01,0
2026-08-31 08:33:00-04:00,3.8659,3.8659,3.8659,3.8659,0
2026-08-31 08:50:00-04:00,3.97,3.97,3.97,3.97,0
2026-08-31 08:51:00-04:00,3.97,3.97,3.97,3.97,0
2026-08-31 09:00:00-04:00,3.87,3.87,3.87,3.87,0
2026-08-31 09:01:00-04:00,3.87,3.87,3.87,3.87,0
2026-08-31 09:02:00-04:00,3.87,3.87,3.87,3.87,0
2026-08-31 09:03:00-04:00,3.87,3.87,3.87,3.87,0
2026-08-31 09:11:00-04:00,3.85,3.85,3.85,3.85,0
2026-08-31 09:12:00-04:00,3.82,3.82,3.82,3.82,0
2026-08-31 09:14:00-04:00,3.88,3.88,3.88,3.88,0
2026-08-31 09:16:00-04:00,3.8,3.803,3.8,3.803,0
2026-08-31 09:17:00-04:00,3.99,3.99,3.99,3.99,0
2026-08-31 09:22:00-04:00,3.8291,3.84,3.8291,3.84,0
2026-08-31 09:23:00-04:00,3.84,3.84,3.84,3.84,0
2026-08-31 09:30:00-04:00,3.809999942779541,3.809999942779541,3.809999942779541,3.809999942779541,15223
2026-08-31 09:34:00-04:00,3.843400001525879,3.8499999046325684,3.7799999713897705,3.7988998889923096,9788
2026-08-31 09:35:00-04:00,3.819999933242798,3.819999933242798,3.819999933242798,3.819999933242798,1337
2026-08-31 09:37:00-04:00,3.819999933242798,3.8399999141693115,3.819999933242798,3.8399999141693115,308
2026-08-31 09:42:00-04:00,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,473
2026-08-31 09:46:00-04:00,3.819999933242798,3.8399999141693115,3.819999933242798,3.8399999141693115,1254
2026-08-31 09:48:00-04:00,3.880000114440918,3.880000114440918,3.880000114440918,3.880000114440918,427
2026-08-31 09:51:00-04:00,3.9149999618530273,3.9149999618530273,3.9149999618530273,3.9149999618530273,1033
2026-08-31 09:52:00-04:00,3.9000000953674316,3.9049999713897705,3.9000000953674316,3.9049999713897705,1353
2026-08-31 09:54:00-04:00,3.880000114440918,3.880000114440918,3.880000114440918,3.880000114440918,1071
2026-08-31 10:01:00-04:00,3.8801000118255615,3.8801000118255615,3.8801000118255615,3.8801000118255615,305
2026-08-31 10:02:00-04:00,3.9100000858306885,3.9100000858306885,3.9100000858306885,3.9100000858306885,3843
2026-08-31 10:04:00-04:00,3.88100004196167,3.88100004196167,3.859999895095825,3.859999895095825,53
2026-08-31 10:07:00-04:00,3.8613998889923096,3.8613998889923096,3.8613998889923096,3.8613998889923096,528
2026-08-31 10:13:00-04:00,3.860100030899048,3.860100030899048,3.860100030899048,3.860100030899048,200
2026-08-31 10:14:00-04:00,3.8603999614715576,3.8603999614715576,3.8603999614715576,3.8603999614715576,235
2026-08-31 10:25:00-04:00,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,591
2026-08-31 10:28:00-04:00,3.9100000858306885,3.9100000858306885,3.9100000858306885,3.9100000858306885,1387
2026-08-31 10:44:00-04:00,3.880000114440918,3.8835999965667725,3.859999895095825,3.8835999965667725,3427
2026-08-31 10:46:00-04:00,3.8350000381469727,3.8350000381469727,3.8350000381469727,3.8350000381469727,0
2026-08-31 10:48:00-04:00,3.84060001373291,3.84060001373291,3.84060001373291,3.84060001373291,1918
2026-08-31 11:01:00-04:00,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,1652
2026-08-31 11:14:00-04:00,3.9653000831604004,3.9653000831604004,3.9653000831604004,3.9653000831604004,474
2026-08-31 11:18:00-04:00,3.9800000190734863,3.9800000190734863,3.9800000190734863,3.9800000190734863,802
2026-08-31 11:20:00-04:00,3.9746999740600586,3.9746999740600586,3.850100040435791,3.850100040435791,1110
2026-08-31 11:23:00-04:00,3.9089999198913574,3.9089999198913574,3.9089999198913574,3.9089999198913574,0
2026-08-31 11:40:00-04:00,3.9100000858306885,3.9100000858306885,3.9100000858306885,3.9100000858306885,300
2026-08-31 11:41:00-04:00,3.934799909591675,3.984999895095825,3.934799909591675,3.984999895095825,1326
2026-08-31 11:53:00-04:00,3.9899001121520996,3.9899001121520996,3.9899001121520996,3.9899001121520996,550
2026-08-31 12:03:00-04:00,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,1801
2026-08-31 12:16:00-04:00,3.940000057220459,3.940000057220459,3.940000057220459,3.940000057220459,153
2026-08-31 12:22:00-04:00,3.940000057220459,3.940000057220459,3.940000057220459,3.940000057220459,387
2026-08-31 12:29:00-04:00,3.9700000286102295,3.9700000286102295,3.9100000858306885,3.9100000858306885,1756
2026-08-31 12:30:00-04:00,3.9100000858306885,3.9100000858306885,3.9100000858306885,3.9100000858306885,0
2026-08-31 12:31:00-04:00,3.9700000286102295,3.9700000286102295,3.9700000286102295,3.9700000286102295,369
2026-08-31 12:43:00-04:00,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,350
2026-08-31 12:47:00-04:00,3.9177000522613525,3.9177000522613525,3.9177000522613525,3.9177000522613525,243
2026-08-31 12:50:00-04:00,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,451
2026-08-31 12:55:00-04:00,3.9374001026153564,3.9374001026153564,3.9374001026153564,3.9374001026153564,200
2026-08-31 12:57:00-04:00,3.9516000747680664,3.9516000747680664,3.9516000747680664,3.9516000747680664,658
2026-08-31 13:20:00-04:00,3.9997000694274902,3.9997000694274902,3.9997000694274902,3.9997000694274902,635
2026-08-31 13:26:00-04:00,3.9899001121520996,3.9899001121520996,3.9899001121520996,3.9899001121520996,246
2026-08-31 13:29:00-04:00,3.990000009536743,3.990000009536743,3.990000009536743,3.990000009536743,12354
2026-08-31 13:30:00-04:00,3.9800000190734863,3.9800000190734863,3.9800000190734863,3.9800000190734863,0
2026-08-31 13:40:00-04:00,4.005000114440918,4.005000114440918,4.005000114440918,4.005000114440918,283
2026-08-31 13:41:00-04:00,4.049600124359131,4.054999828338623,4.049600124359131,4.054999828338623,250
2026-08-31 13:45:00-04:00,4.059999942779541,4.059999942779541,4.059999942779541,4.059999942779541,450
2026-08-31 13:47:00-04:00,4.079999923706055,4.079999923706055,4.03000020980835,4.03000020980835,1470
2026-08-31 13:49:00-04:00,4.119900226593018,4.119900226593018,4.119900226593018,4.119900226593018,324
2026-08-31 13:58:00-04:00,4.070000171661377,4.090000152587891,4.059999942779541,4.069399833679199,1550
2026-08-31 13:59:00-04:00,4.057400226593018,4.057400226593018,4.057400226593018,4.057400226593018,1240
2026-08-31 14:04:00-04:00,4.019999980926514,4.039999961853027,4.019999980926514,4.039999961853027,2373
2026-08-31 14:06:00-04:00,4.054999828338623,4.054999828338623,4.054999828338623,4.054999828338623,137
2026-08-31 14:07:00-04:00,4.039999961853027,4.039999961853027,4.039999961853027,4.039999961853027,217
2026-08-31 14:17:00-04:00,4.054999828338623,4.090000152587891,4.054999828338623,4.090000152587891,5191
2026-08-31 14:22:00-04:00,4.060100078582764,4.060100078582764,4.060100078582764,4.060100078582764,965
2026-08-31 14:29:00-04:00,4.059999942779541,4.079999923706055,4.059999942779541,4.079999923706055,2260
2026-08-31 14:33:00-04:00,4.085299968719482,4.090000152587891,4.050000190734863,4.050000190734863,8153
2026-08-31 15:02:00-04:00,4.079999923706055,4.079999923706055,4.079999923706055,4.079999923706055,1244
2026-08-31 15:08:00-04:00,4.059999942779541,4.059999942779541,4.059999942779541,4.059999942779541,898
2026-08-31 15:15:00-04:00,4.059999942779541,4.059999942779541,4.059999942779541,4.059999942779541,1376
2026-08-31 15:16:00-04:00,4.070000171661377,4.070000171661377,4.059999942779541,4.059999942779541,498
2026-08-31 15:25:00-04:00,4.040999889373779,4.040999889373779,4.039999961853027,4.039999961853027,1485
2026-08-31 15:35:00-04:00,4.039999961853027,4.039999961853027,4.039999961853027,4.039999961853027,294
2026-08-31 15:36:00-04:00,4.039999961853027,4.039999961853027,4.039999961853027,4.039999961853027,865
2026-08-31 15:46:00-04:00,4.039999961853027,4.039999961853027,4.039999961853027,4.039999961853027,1332
2026-08-31 15:55:00-04:00,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,417
2026-08-31 15:56:00-04:00,4.079999923706055,4.090000152587891,4.079999923706055,4.090000152587891,829
2026-08-31 15:58:00-04:00,4.110000133514404,4.110000133514404,4.099999904632568,4.099999904632568,1083
2026-08-31 15:59:00-04:00,4.079999923706055,4.079999923706055,4.079999923706055,4.079999923706055,400
2026-08-31 16:00:00-04:00,3.98,4.075,3.98,4.075,0
2026-08-31 16:01:00-04:00,4.12,4.12,4.12,4.12,0
2026-08-31 16:02:00-04:00,3.98,3.98,3.98,3.98,0
2026-08-31 16:04:00-04:00,4.075,4.075,3.98,3.98,0
2026-08-31 16:06:00-04:00,4.119,4.119,4.119,4.119,0
2026-08-31 16:10:00-04:00,4.075,4.075,4.075,4.075,0
2026-08-31 16:13:00-04:00,4.11,4.11,4.11,4.11,0
2026-08-31 16:26:00-04:00,4.01,4.01,4.01,4.01,0
2026-08-31 16:39:00-04:00,4.11,4.11,4.11,4.11,0
2026-08-31 16:40:00-04:00,3.98,3.98,3.98,3.98,0
