,Open,High,Low,Close,Volume
2026-07-17 04:00:00-04:00,2.02,2.03,2.01,2.01,0
2026-07-17 04:01:00-04:00,2.01,2.04,2.01,2.04,0
2026-07-17 04:02:00-04:00,2.02,2.03,2.02,2.03,0
2026-07-17 04:03:00-04:00,2.03,2.03,2.02,2.02,0
2026-07-17 04:04:00-04:00,2.02,2.03,2.01,2.02,0
2026-07-17 04:06:00-04:00,2.04,2.04,2.03,2.03,0
2026-07-17 04:07:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 04:10:00-04:00,2.025,2.025,2.025,2.025,0
2026-07-17 04:11:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 04:12:00-04:00,2.02,2.02,2.0196,2.0196,0
2026-07-17 04:13:00-04:00,2.0196,2.0196,2.0196,2.0196,0
2026-07-17 04:17:00-04:00,2.0105,2.0105,2.0105,2.0105,0
2026-07-17 04:21:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 04:29:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 04:31:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 04:41:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 04:43:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 04:45:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 04:48:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 04:50:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 05:00:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 05:01:00-04:00,2.03,2.03,2.02,2.02,0
2026-07-17 05:06:00-04:00,2.0101,2.0101,2.0101,2.0101,0
2026-07-17 05:08:00-04:00,2.0135,2.0135,2.0135,2.0135,0
2026-07-17 05:13:00-04:00,2.0115,2.0115,2.0115,2.0115,0
2026-07-17 05:19:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 05:21:00-04:00,2.0104,2.0104,2.0104,2.0104,0
2026-07-17 05:28:00-04:00,2.01,2.01,2.01,2.01,0
2026-07-17 05:36:00-04:00,2.0134,2.0134,2.0134,2.0134,0
2026-07-17 05:38:00-04:00,2.0204,2.0204,2.0204,2.0204,0
2026-07-17 05:40:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 05:43:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 05:45:00-04:00,2.0204,2.0204,2.0204,2.0204,0
2026-07-17 05:51:00-04:00,2.0211,2.0211,2.021,2.021,0
2026-07-17 05:52:00-04:00,2.025,2.03,2.0205,2.0205,0
2026-07-17 05:53:00-04:00,2.0205,2.0205,2.0205,2.0205,0
2026-07-17 05:57:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 06:02:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 06:04:00-04:00,2.0,2.0,2.0,2.0,0
2026-07-17 06:12:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 06:13:00-04:00,2.0024,2.0024,2.0024,2.0024,0
2026-07-17 06:14:00-04:00,2.0024,2.0024,2.0024,2.0024,0
2026-07-17 06:16:00-04:00,2.0024,2.0024,2.0024,2.0024,0
2026-07-17 06:17:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:20:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:21:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:22:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:29:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:30:00-04:00,2.03,2.03,2.01,2.01,0
2026-07-17 06:31:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:38:00-04:00,2.0024,2.0024,2.0024,2.0024,0
2026-07-17 06:42:00-04:00,2.02,2.02,2.02,2.02,0
2026-07-17 06:43:00-04:00,2.03,2.03,2.03,2.03,0
2026-07-17 06:44:00-04:00,2.03,2.03,2.03,2.03,0
