,Open,High,Low,Close,Volume
2026-08-31 04:00:00-04:00,1.01,1.02,1.01,1.02,0
2026-08-31 04:01:00-04:00,1.02,1.024,1.02,1.024,0
2026-08-31 04:03:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 04:05:00-04:00,0.9996,0.9996,0.9996,0.9996,0
2026-08-31 04:09:00-04:00,1.03,1.03,1.0,1.0,0
2026-08-31 04:11:00-04:00,1.01,1.01,1.0003,1.01,0
2026-08-31 04:17:00-04:00,1.0003,1.0003,1.0003,1.0003,0
2026-08-31 04:24:00-04:00,1.04,1.04,1.0,1.0,0
2026-08-31 04:26:00-04:00,1.0,1.0,1.0,1.0,0
2026-08-31 04:29:00-04:00,1.004,1.004,1.004,1.004,0
2026-08-31 04:30:00-04:00,1.0009,1.0009,1.0009,1.0009,0
2026-08-31 04:37:00-04:00,1.01,1.01,1.0,1.0,0
2026-08-31 04:42:00-04:00,1.004,1.004,1.004,1.004,0
2026-08-31 04:51:00-04:00,1.0016,1.0016,1.0016,1.0016,0
2026-08-31 04:52:00-04:00,1.0002,1.0002,1.0002,1.0002,0
2026-08-31 04:53:00-04:00,1.01,1.01,1.0,1.0,0
2026-08-31 04:59:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 05:01:00-04:00,1.04,1.04,1.04,1.04,0
2026-08-31 05:02:00-04:00,1.0032,1.0032,1.0032,1.0032,0
2026-08-31 05:03:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 05:12:00-04:00,1.04,1.04,1.04,1.04,0
2026-08-31 05:13:00-04:00,1.04,1.04,1.04,1.04,0
2026-08-31 05:14:00-04:00,1.0102,1.0102,1.0102,1.0102,0
2026-08-31 05:17:00-04:00,1.0124,1.0124,1.0124,1.0124,0
2026-08-31 05:19:00-04:00,1.0397,1.0397,1.0397,1.0397,0
2026-08-31 05:20:00-04:00,1.04,1.04,1.0124,1.0124,0
2026-08-31 05:31:00-04:00,1.0102,1.0102,1.0102,1.0102,0
2026-08-31 05:32:00-04:00,1.0124,1.0124,1.0124,1.0124,0
2026-08-31 05:49:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 05:52:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 05:53:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 06:21:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 06:41:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 06:45:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 06:53:00-04:00,1.02,1.02,1.01,1.01,0
2026-08-31 07:01:00-04:00,0.9995,0.9995,0.9995,0.9995,0
2026-08-31 07:07:00-04:00,0.98,0.98,0.98,0.98,0
2026-08-31 07:09:00-04:00,0.9995,0.9995,0.9995,0.9995,0
2026-08-31 07:12:00-04:00,1.0148,1.0148,1.0148,1.0148,0
2026-08-31 07:18:00-04:00,1.0284,1.0284,1.0284,1.0284,0
2026-08-31 07:19:00-04:00,1.0284,1.0284,1.0284,1.0284,0
2026-08-31 07:29:00-04:00,1.0299,1.0299,1.01,1.01,0
2026-08-31 07:31:00-04:00,0.995,0.995,0.995,0.995,0
2026-08-31 07:33:00-04:00,0.995,0.995,0.995,0.995,0
2026-08-31 07:35:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 07:36:00-04:00,1.0199,1.0199,1.0103,1.0103,0
2026-08-31 07:37:00-04:00,1.02,1.02,1.01,1.01,0
2026-08-31 07:38:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 07:39:00-04:00,1.0184,1.0184,1.0184,1.0184,0
2026-08-31 07:40:00-04:00,1.0184,1.0184,1.0184,1.0184,0
2026-08-31 07:41:00-04:00,1.0199,1.0199,1.0199,1.0199,0
2026-08-31 07:43:00-04:00,1.0016,1.0016,1.0016,1.0016,0
2026-08-31 07:44:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 07:46:00-04:00,1.0101,1.0101,1.0101,1.0101,0
2026-08-31 07:47:00-04:00,1.01,1.01,1.01,1.01,0
2026-08-31 07:49:00-04:00,1.01,1.02,1.01,1.02,0
2026-08-31 07:52:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 07:53:00-04:00,1.02,1.02,1.02,1.02,0
2026-08-31 07:54:00-04:00,1.0032,1.0032,1.0032,1.0032,0
2026-08-31 07:55:00-04:00,1.0014,1.0014,1.0014,1.0014,0
2026-08-31 08:06:00-04:00,1.0,1.0,1.0,1.0,0
2026-08-31 08:10:00-04:00,1.0011,1.0011,1.0011,1.0011,0
2026-08-31 08:12:00-04:00,1.0,1.0008,1.0,1.0,0
