,Open,High,Low,Close,Volume
2026-06-29 04:00:00-04:00,1.2,1.21,1.2,1.2,0
2026-06-29 04:05:00-04:00,1.2,1.2,1.2,1.2,0
2026-06-29 04:10:00-04:00,1.2,1.2,1.2,1.2,0
2026-06-29 04:15:00-04:00,1.19,1.19,1.16,1.17,0
2026-06-29 04:20:00-04:00,1.2239,1.4,1.22,1.37,0
2026-06-29 04:30:00-04:00,1.28,1.28,1.28,1.28,0
2026-06-29 04:35:00-04:00,1.2648,1.2648,1.26,1.26,0
2026-06-29 05:05:00-04:00,1.2333,1.2333,1.2333,1.2333,0
2026-06-29 05:15:00-04:00,1.23,1.23,1.23,1.23,0
2026-06-29 06:15:00-04:00,1.16,1.18,1.16,1.18,0
2026-06-29 06:20:00-04:00,1.16,1.16,1.16,1.16,0
2026-06-29 06:25:00-04:00,1.16,1.16,1.16,1.16,0
2026-06-29 06:40:00-04:00,1.16,1.18,1.16,1.18,0
2026-06-29 06:45:00-04:00,1.18,1.18,1.18,1.18,0
2026-06-29 06:50:00-04:00,1.16,1.16,1.1,1.11,0
2026-06-29 07:05:00-04:00,1.1801,1.1801,1.1801,1.1801,0
2026-06-29 07:10:00-04:00,1.21,1.21,1.21,1.21,0
2026-06-29 07:15:00-04:00,1.2092,1.2099,1.2092,1.2098,0
2026-06-29 07:30:00-04:00,1.2001,1.2001,1.2001,1.2001,0
2026-06-29 08:10:00-04:00,1.2,1.2,1.2,1.2,0
2026-06-29 08:15:00-04:00,1.21,1.21,1.2,1.2,0
2026-06-29 08:25:00-04:00,1.2,1.21,1.2,1.21,0
2026-06-29 08:30:00-04:00,1.208,1.208,1.208,1.208,0
2026-06-29 08:35:00-04:00,1.22,1.22,1.2194,1.2199,0
2026-06-29 08:40:00-04:00,1.2199,1.2199,1.2174,1.2174,0
2026-06-29 08:45:00-04:00,1.2299,1.2299,1.228,1.228,0
2026-06-29 08:50:00-04:00,1.23,1.23,1.2287,1.2287,0
2026-06-29 08:55:00-04:00,1.23,1.242,1.23,1.242,0
2026-06-29 09:00:00-04:00,1.242,1.25,1.24,1.25,0
2026-06-29 09:05:00-04:00,1.248,1.2583,1.248,1.25,0
2026-06-29 09:10:00-04:00,1.26,1.26,1.254,1.26,0
2026-06-29 09:15:00-04:00,1.26,1.27,1.26,1.26,0
2026-06-29 09:20:00-04:00,1.27,1.27,1.26,1.26,0
2026-06-29 09:25:00-04:00,1.29,1.29,1.2802,1.282,0
