,Open,High,Low,Close,Volume
2026-07-22 04:00:00-04:00,1.79,1.8,1.7887,1.7887,0
2026-07-22 04:02:00-04:00,1.78,1.78,1.78,1.78,0
2026-07-22 04:05:00-04:00,1.75,1.75,1.75,1.75,0
2026-07-22 04:06:00-04:00,1.75,1.75,1.75,1.75,0
2026-07-22 04:07:00-04:00,1.7503,1.7503,1.7503,1.7503,0
2026-07-22 04:08:00-04:00,1.732,1.732,1.732,1.732,0
2026-07-22 04:09:00-04:00,1.7348,1.7348,1.7348,1.7348,0
2026-07-22 04:10:00-04:00,1.7303,1.7303,1.7303,1.7303,0
2026-07-22 04:11:00-04:00,1.7348,1.7348,1.7348,1.7348,0
2026-07-22 04:16:00-04:00,1.78,1.78,1.78,1.78,0
2026-07-22 04:18:00-04:00,1.74,1.74,1.74,1.74,0
2026-07-22 04:19:00-04:00,1.74,1.74,1.74,1.74,0
2026-07-22 04:21:00-04:00,1.78,1.78,1.78,1.78,0
2026-07-22 04:22:00-04:00,1.78,1.78,1.78,1.78,0
2026-07-22 04:23:00-04:00,1.78,1.78,1.78,1.78,0
2026-07-22 04:25:00-04:00,1.7768,1.7768,1.7768,1.7768,0
2026-07-22 04:28:00-04:00,1.7432,1.7432,1.7432,1.7432,0
2026-07-22 04:30:00-04:00,1.7432,1.7432,1.7432,1.7432,0
2026-07-22 04:31:00-04:00,1.7432,1.7432,1.7432,1.7432,0
2026-07-22 04:33:00-04:00,1.7503,1.7503,1.7503,1.7503,0
2026-07-22 04:36:00-04:00,1.7524,1.7524,1.7524,1.7524,0
2026-07-22 04:41:00-04:00,1.7784,1.7784,1.7784,1.7784,0
2026-07-22 04:48:00-04:00,1.7784,1.7784,1.7784,1.7784,0
2026-07-22 04:50:00-04:00,1.7704,1.7704,1.7704,1.7704,0
2026-07-22 04:59:00-04:00,1.7704,1.7704,1.7704,1.7704,0
2026-07-22 05:04:00-04:00,1.7784,1.7784,1.7784,1.7784,0
2026-07-22 05:07:00-04:00,1.75,1.7524,1.75,1.7524,0
2026-07-22 05:08:00-04:00,1.75,1.75,1.75,1.75,0
2026-07-22 05:11:00-04:00,1.7524,1.7524,1.7524,1.7524,0
2026-07-22 05:12:00-04:00,1.7503,1.7503,1.7503,1.7503,0
2026-07-22 05:13:00-04:00,1.7524,1.7524,1.7524,1.7524,0
2026-07-22 05:25:00-04:00,1.7484,1.7484,1.7484,1.7484,0
2026-07-22 05:26:00-04:00,1.7484,1.7484,1.7484,1.7484,0
2026-07-22 05:27:00-04:00,1.7484,1.7484,1.7484,1.7484,0
2026-07-22 05:31:00-04:00,1.7403,1.7403,1.7403,1.7403,0
2026-07-22 05:33:00-04:00,1.7497,1.7497,1.7497,1.7497,0
2026-07-22 05:35:00-04:00,1.7497,1.7497,1.7497,1.7497,0
