,Open,High,Low,Close,Volume
2026-07-07 04:00:00-04:00,2.19,2.19,2.19,2.19,0
2026-07-07 04:15:00-04:00,2.12,2.12,2.12,2.12,0
2026-07-07 04:30:00-04:00,2.12,2.12,2.11,2.12,0
2026-07-07 04:35:00-04:00,2.0924,2.0924,2.0924,2.0924,0
2026-07-07 04:45:00-04:00,2.1176,2.1176,2.1176,2.1176,0
2026-07-07 05:05:00-04:00,2.11,2.11,2.11,2.11,0
2026-07-07 05:20:00-04:00,2.1104,2.1104,2.1104,2.1104,0
2026-07-07 05:25:00-04:00,2.1168,2.26,2.11,2.26,0
2026-07-07 05:40:00-04:00,2.26,2.26,2.26,2.26,0
2026-07-07 06:20:00-04:00,2.2489,2.2489,2.2489,2.2489,0
2026-07-07 06:30:00-04:00,2.2133,2.2133,2.2133,2.2133,0
2026-07-07 06:50:00-04:00,2.1227,2.1227,2.1227,2.1227,0
2026-07-07 07:15:00-04:00,2.1319,2.1319,2.1319,2.1319,0
2026-07-07 07:20:00-04:00,2.13,2.13,2.13,2.13,0
2026-07-07 07:25:00-04:00,2.1403,2.1403,2.1403,2.1403,0
2026-07-07 07:30:00-04:00,2.14,2.14,2.14,2.14,0
2026-07-07 07:40:00-04:00,2.14,2.14,2.14,2.14,0
2026-07-07 07:55:00-04:00,2.1495,2.1495,2.1495,2.1495,0
2026-07-07 08:05:00-04:00,2.15,2.15,2.15,2.15,0
2026-07-07 08:15:00-04:00,2.2497,2.2497,2.19,2.2497,0
2026-07-07 08:55:00-04:00,2.19,2.19,2.19,2.19,0
2026-07-07 09:10:00-04:00,2.1844,2.1844,2.1844,2.1844,0
2026-07-07 09:25:00-04:00,2.14,2.17,2.14,2.17,0
2026-07-07 09:30:00-04:00,2.140000104904175,2.158799886703491,2.119999885559082,2.125,11121
2026-07-07 09:35:00-04:00,2.130000114440918,2.130000114440918,2.049999952316284,2.0999999046325684,3906
2026-07-07 09:40:00-04:00,2.1486001014709473,2.1486001014709473,2.1486001014709473,2.1486001014709473,760
2026-07-07 09:55:00-04:00,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,856
2026-07-07 10:00:00-04:00,2.1108999252319336,2.1108999252319336,2.1108999252319336,2.1108999252319336,1451
2026-07-07 10:10:00-04:00,2.109999895095825,2.109999895095825,2.109999895095825,2.109999895095825,380
2026-07-07 10:15:00-04:00,2.0199999809265137,2.049999952316284,2.0199999809265137,2.049999952316284,750
2026-07-07 10:30:00-04:00,2.0376999378204346,2.0999999046325684,2.0376999378204346,2.0999999046325684,4155
2026-07-07 10:40:00-04:00,2.0299999713897705,2.0299999713897705,2.0201001167297363,2.0201001167297363,1165
2026-07-07 10:45:00-04:00,2.059999942779541,2.065000057220459,2.059999942779541,2.065000057220459,887
2026-07-07 10:50:00-04:00,2.073899984359741,2.073899984359741,2.073899984359741,2.073899984359741,2804
2026-07-07 11:00:00-04:00,2.0601999759674072,2.0601999759674072,2.030100107192993,2.0601999759674072,3337
