,Open,High,Low,Close,Volume
2026-08-13 08:45:00-04:00,2.0,2.0,2.0,2.0,0
2026-08-13 09:30:00-04:00,2.0399999618530273,2.1600000858306885,2.0399999618530273,2.1600000858306885,976
2026-08-13 10:15:00-04:00,2.0299999713897705,2.0299999713897705,2.0299999713897705,2.0299999713897705,2418
2026-08-13 15:55:00-04:00,2.109999895095825,2.109999895095825,2.0799999237060547,2.0799999237060547,783
2026-08-13 16:00:00-04:00,2.1,2.1,2.08,2.1,0
2026-08-13 16:10:00-04:00,2.1,2.1,2.1,2.1,0
2026-08-14 07:00:00-04:00,2.08,2.08,2.08,2.08,0
2026-08-14 09:30:00-04:00,2.065000057220459,2.065000057220459,2.065000057220459,2.065000057220459,808
2026-08-14 09:35:00-04:00,2.0299999713897705,2.0299999713897705,2.009999990463257,2.009999990463257,17124
2026-08-14 12:10:00-04:00,2.0299999713897705,2.0399999618530273,2.0299999713897705,2.0399999618530273,11256
2026-08-14 12:15:00-04:00,2.119999885559082,2.2149999141693115,2.119999885559082,2.2149999141693115,4127
2026-08-14 12:20:00-04:00,2.2100000381469727,2.2200000286102295,2.2100000381469727,2.2200000286102295,399
2026-08-14 12:25:00-04:00,2.25,2.299999952316284,2.25,2.25,6326
2026-08-14 12:35:00-04:00,2.4100000858306885,2.4100000858306885,2.4000000953674316,2.4000000953674316,1860
2026-08-14 12:40:00-04:00,2.3350000381469727,2.3350000381469727,2.3350000381469727,2.3350000381469727,2469
2026-08-14 12:50:00-04:00,2.265000104904175,2.2699999809265137,2.265000104904175,2.2699999809265137,582
2026-08-14 12:55:00-04:00,2.3450000286102295,2.3450000286102295,2.3450000286102295,2.3450000286102295,323
2026-08-14 13:30:00-04:00,2.244999885559082,2.244999885559082,2.244999885559082,2.244999885559082,533
2026-08-14 13:50:00-04:00,2.3096001148223877,2.3096001148223877,2.2699999809265137,2.2699999809265137,4333
2026-08-14 14:25:00-04:00,2.25,2.25,2.25,2.25,1305
2026-08-14 14:30:00-04:00,2.299999952316284,2.299999952316284,2.2899999618530273,2.2899999618530273,4596
2026-08-14 15:55:00-04:00,2.2000999450683594,2.234999895095825,2.200000047683716,2.2000999450683594,1115
2026-08-14 16:00:00-04:00,2.2001,2.2001,2.2,2.2,0
2026-08-14 16:10:00-04:00,2.2,2.2,2.2,2.2,0
2026-08-14 16:25:00-04:00,2.2599,2.89,2.2599,2.6,0
2026-08-14 16:30:00-04:00,2.6,2.62,2.23,2.2799,0
2026-08-14 16:35:00-04:00,2.27,2.37,2.2,2.21,0
2026-08-14 16:40:00-04:00,2.24,2.29,2.2,2.2848,0
2026-08-14 16:45:00-04:00,2.28,2.31,2.24,2.3076,0
2026-08-14 16:50:00-04:00,2.31,2.42,2.28,2.3607,0
2026-08-14 16:55:00-04:00,2.35,2.49,2.35,2.49,0
2026-08-14 17:00:00-04:00,2.45,2.62,2.4,2.52,0
2026-08-14 17:05:00-04:00,2.52,2.59,2.27,2.29,0
2026-08-14 17:10:00-04:00,2.28,2.35,2.2602,2.33,0
2026-08-14 17:15:00-04:00,2.33,2.49,2.31,2.43,0
2026-08-14 17:20:00-04:00,2.42,2.45,2.23,2.23,0
2026-08-14 17:25:00-04:00,2.25,2.3,2.23,2.2997,0
2026-08-14 17:30:00-04:00,2.29,2.49,2.25,2.48,0
2026-08-14 17:35:00-04:00,2.47,2.51,2.41,2.51,0
2026-08-14 17:40:00-04:00,2.47,2.47,2.35,2.35,0
2026-08-14 17:45:00-04:00,2.36,2.36,2.35,2.35,0
2026-08-14 17:50:00-04:00,2.4,2.43,2.33,2.33,0
2026-08-14 17:55:00-04:00,2.41,2.41,2.28,2.36,0
2026-08-14 18:00:00-04:00,2.4,2.5,2.35,2.48,0
2026-08-14 18:05:00-04:00,2.43,2.43,2.363,2.363,0
2026-08-14 18:10:00-04:00,2.33,2.4,2.32,2.4,0
2026-08-14 18:15:00-04:00,2.39,2.49,2.35,2.4797,0
2026-08-14 18:20:00-04:00,2.48,2.48,2.46,2.46,0
2026-08-14 18:25:00-04:00,2.4,2.48,2.4,2.48,0
2026-08-14 18:30:00-04:00,2.38,2.48,2.3795,2.48,0
2026-08-14 18:35:00-04:00,2.47,2.48,2.37,2.37,0
2026-08-14 18:40:00-04:00,2.48,2.48,2.46,2.48,0
2026-08-14 18:45:00-04:00,2.4727,2.48,2.3907,2.3907,0
2026-08-14 18:50:00-04:00,2.39,2.4,2.39,2.4,0
2026-08-14 18:55:00-04:00,2.41,2.48,2.41,2.46,0
2026-08-14 19:00:00-04:00,2.41,2.47,2.4,2.45,0
2026-08-14 19:05:00-04:00,2.45,2.45,2.4,2.4,0
2026-08-14 19:10:00-04:00,2.4,2.41,2.4,2.41,0
2026-08-14 19:15:00-04:00,2.47,2.4784,2.44,2.4784,0
2026-08-14 19:20:00-04:00,2.48,2.53,2.47,2.53,0
2026-08-14 19:25:00-04:00,2.52,2.58,2.51,2.556,0
2026-08-14 19:30:00-04:00,2.5101,2.58,2.5001,2.54,0
2026-08-14 19:35:00-04:00,2.58,2.7,2.56,2.62,0
2026-08-14 19:40:00-04:00,2.63,2.63,2.55,2.59,0
2026-08-14 19:45:00-04:00,2.5899,2.6,2.4601,2.58,0
2026-08-14 19:50:00-04:00,2.5898,2.76,2.5708,2.64,0
2026-08-14 19:55:00-04:00,2.63,2.72,2.565,2.69,0
2026-08-17 04:00:00-04:00,2.9,4.4397,2.69,4.4175,0
2026-08-17 04:05:00-04:00,4.32,7.25,3.9849,6.81,0
2026-08-17 04:10:00-04:00,6.7713,7.1,5.56,6.79,0
2026-08-17 04:15:00-04:00,6.81,7.8,6.43,6.8151,0
2026-08-17 04:20:00-04:00,6.7849,7.93,6.75,7.264,0
2026-08-17 04:25:00-04:00,7.24,7.8,6.775,7.15,0
2026-08-17 04:30:00-04:00,7.17,7.8,6.9358,7.17,0
2026-08-17 04:35:00-04:00,7.16,7.16,6.57,6.8235,0
2026-08-17 04:40:00-04:00,6.8041,7.43,6.664,6.9712,0
2026-08-17 04:45:00-04:00,6.98,7.1623,6.6,6.7449,0
2026-08-17 04:50:00-04:00,6.7449,6.95,6.3,6.67,0
2026-08-17 04:55:00-04:00,6.68,7.0163,6.4621,6.51,0
2026-08-17 05:00:00-04:00,6.54,6.92,6.2791,6.56,0
2026-08-17 05:05:00-04:00,6.5576,7.0,6.55,6.6565,0
2026-08-17 05:10:00-04:00,6.6681,6.98,6.6238,6.7112,0
2026-08-17 05:15:00-04:00,6.71,6.88,6.5219,6.6737,0
2026-08-17 05:20:00-04:00,6.69,6.9,6.45,6.881,0
2026-08-17 05:25:00-04:00,6.889,6.94,6.1285,6.2341,0
2026-08-17 05:30:00-04:00,6.2333,6.2333,5.76,5.94,0
2026-08-17 05:35:00-04:00,5.9222,5.9434,5.65,5.9,0
2026-08-17 05:40:00-04:00,5.88,6.0,5.2,5.3775,0
2026-08-17 05:45:00-04:00,5.32,5.58,5.2237,5.28,0
2026-08-17 05:50:00-04:00,5.25,5.3607,5.0664,5.23,0
2026-08-17 05:55:00-04:00,5.22,5.5839,5.22,5.5181,0
2026-08-17 06:00:00-04:00,5.5059,5.5853,5.23,5.3,0
2026-08-17 06:05:00-04:00,5.2978,5.52,5.2719,5.4,0
2026-08-17 06:10:00-04:00,5.3819,5.4,5.2019,5.28,0
2026-08-17 06:15:00-04:00,5.27,5.54,5.11,5.199,0
2026-08-17 06:20:00-04:00,5.1981,5.42,5.1981,5.36,0
2026-08-17 06:25:00-04:00,5.34,5.36,5.12,5.121,0
2026-08-17 06:30:00-04:00,5.121,5.1763,4.88,4.97,0
2026-08-17 06:35:00-04:00,4.95,5.24,4.9449,5.0038,0
2026-08-17 06:40:00-04:00,5.03,5.11,4.77,4.77,0
2026-08-17 06:45:00-04:00,4.8,4.9,4.68,4.7014,0
2026-08-17 06:50:00-04:00,4.7,4.85,4.6205,4.7951,0
2026-08-17 06:55:00-04:00,4.8,5.13,4.76,4.81,0
2026-08-17 07:00:00-04:00,4.8,5.9,4.68,5.36,0
2026-08-17 07:05:00-04:00,5.34,5.75,5.3,5.55,0
2026-08-17 07:10:00-04:00,5.5509,6.3,5.42,6.17,0
2026-08-17 07:15:00-04:00,6.18,6.85,6.06,6.4662,0
2026-08-17 07:20:00-04:00,6.48,6.65,6.16,6.6099,0
2026-08-17 07:25:00-04:00,6.62,6.7899,5.81,5.94,0
2026-08-17 07:30:00-04:00,5.9369,6.08,5.74,5.9822,0
2026-08-17 07:35:00-04:00,5.98,6.27,5.86,5.97,0
2026-08-17 07:40:00-04:00,5.97,6.0,5.78,5.83,0
2026-08-17 07:45:00-04:00,5.8197,5.89,5.6,5.77,0
2026-08-17 07:50:00-04:00,5.7523,6.68,5.75,6.062,0
2026-08-17 07:55:00-04:00,6.0611,6.33,6.0,6.1802,0
2026-08-17 08:00:00-04:00,6.22,6.3138,5.91,6.17,0
2026-08-17 08:05:00-04:00,6.1349,6.23,6.02,6.0305,0
2026-08-17 08:10:00-04:00,6.03,7.99,6.03,7.36,0
2026-08-17 08:15:00-04:00,7.39,8.41,7.25,7.451,0
2026-08-17 08:20:00-04:00,7.4503,7.59,6.95,7.1397,0
2026-08-17 08:25:00-04:00,7.15,7.36,7.06,7.16,0
2026-08-17 08:30:00-04:00,7.16,7.5397,7.0001,7.45,0
2026-08-17 08:35:00-04:00,7.45,7.86,7.3,7.76,0
2026-08-17 08:40:00-04:00,7.72,8.12,7.47,7.61,0
2026-08-17 08:45:00-04:00,7.66,7.9,7.36,7.84,0
2026-08-17 08:50:00-04:00,7.83,8.45,7.53,8.05,0
2026-08-17 08:55:00-04:00,8.07,8.71,7.94,8.25,0
2026-08-17 09:00:00-04:00,8.27,8.27,7.98,8.1,0
2026-08-17 09:05:00-04:00,8.11,8.35,7.52,7.64,0
2026-08-17 09:10:00-04:00,7.6408,7.73,7.44,7.4966,0
2026-08-17 09:15:00-04:00,7.499,7.77,7.46,7.6106,0
2026-08-17 09:20:00-04:00,7.58,8.09,7.57,7.96,0
2026-08-17 09:25:00-04:00,7.96,8.1399,7.76,7.9393,0
2026-08-17 09:30:00-04:00,7.980000019073486,8.920000076293945,7.679999828338623,7.849999904632568,52659569
2026-08-17 09:35:00-04:00,7.8541998863220215,8.359999656677246,7.639999866485596,8.268799781799316,1575333
2026-08-17 09:40:00-04:00,8.265299797058105,8.59000015258789,7.100100040435791,7.480000019073486,2213268
2026-08-17 09:45:00-04:00,7.489999771118164,7.64300012588501,6.840000152587891,7.110000133514404,1119330
2026-08-17 09:50:00-04:00,7.105000019073486,7.48769998550415,6.900100231170654,7.079999923706055,851620
2026-08-17 09:55:00-04:00,7.106599807739258,7.570000171661377,7.059999942779541,7.210000038146973,791627
2026-08-17 10:00:00-04:00,7.224999904632568,7.78000020980835,7.199999809265137,7.760000228881836,1173300
2026-08-17 10:05:00-04:00,7.744999885559082,7.752999782562256,6.849999904632568,7.175000190734863,993579
2026-08-17 10:10:00-04:00,7.179999828338623,7.309999942779541,6.610000133514404,6.774600028991699,761115
2026-08-17 10:15:00-04:00,6.770999908447266,6.820000171661377,6.46999979019165,6.650000095367432,583422
2026-08-17 10:20:00-04:00,6.610000133514404,6.949999809265137,6.599999904632568,6.769999980926514,666340
2026-08-17 10:25:00-04:00,6.750100135803223,7.5,6.750100135803223,7.380000114440918,1396736
2026-08-17 10:30:00-04:00,7.385000228881836,7.75,7.039999961853027,7.40500020980835,1855250
2026-08-17 10:35:00-04:00,7.4197998046875,7.489699840545654,7.199999809265137,7.21999979019165,589419
2026-08-17 10:40:00-04:00,7.21999979019165,7.349999904632568,6.800099849700928,7.104000091552734,592109
2026-08-17 10:45:00-04:00,7.099999904632568,7.480000019073486,7.039999961853027,7.449999809265137,781264
2026-08-17 10:50:00-04:00,7.440000057220459,7.599999904632568,7.300000190734863,7.364999771118164,853288
2026-08-17 10:55:00-04:00,7.375,9.65999984741211,7.300000190734863,9.65999984741211,2616786
2026-08-17 11:00:00-04:00,9.658699989318848,9.65999984741211,8.420000076293945,8.619999885559082,2450749
2026-08-17 11:05:00-04:00,8.580100059509277,8.800000190734863,7.570099830627441,8.292699813842773,1757466
2026-08-17 11:10:00-04:00,8.300000190734863,8.5,7.940000057220459,8.459799766540527,918526
2026-08-17 11:15:00-04:00,8.460000038146973,8.75,8.050000190734863,8.1899995803833,1130085
2026-08-17 11:20:00-04:00,8.210000038146973,8.286999702453613,7.630000114440918,7.980000019073486,611210
2026-08-17 11:25:00-04:00,7.980000019073486,7.989999771118164,7.71999979019165,7.965000152587891,402190
2026-08-17 11:30:00-04:00,7.940000057220459,8.369999885559082,7.940000057220459,8.170100212097168,987782
2026-08-17 11:35:00-04:00,8.150099754333496,8.619999885559082,8.100000381469727,8.489999771118164,1059130
2026-08-17 11:40:00-04:00,8.49370002746582,8.520000457763672,8.149999618530273,8.390000343322754,550765
2026-08-17 11:45:00-04:00,8.38479995727539,8.649999618530273,8.170000076293945,8.59000015258789,966027
2026-08-17 11:50:00-04:00,8.582599639892578,8.829999923706055,8.199999809265137,8.289999961853027,992951
2026-08-17 11:55:00-04:00,8.34000015258789,8.430000305175781,7.300099849700928,7.9899001121521,1121467
2026-08-17 12:00:00-04:00,7.953800201416016,8.0,7.53000020980835,7.552599906921387,448944
2026-08-17 12:05:00-04:00,7.559999942779541,7.809999942779541,7.550000190734863,7.590000152587891,321885
2026-08-17 12:10:00-04:00,7.570000171661377,7.570000171661377,7.210000038146973,7.389999866485596,375748
2026-08-17 12:15:00-04:00,7.389999866485596,7.8927001953125,7.349999904632568,7.700099945068359,382392
2026-08-17 12:20:00-04:00,7.699999809265137,7.840000152587891,7.519999980926514,7.619999885559082,303119
2026-08-17 12:25:00-04:00,7.600100040435791,8.4399995803833,7.600100040435791,8.300000190734863,796853
2026-08-17 12:30:00-04:00,8.300000190734863,8.329999923706055,7.889999866485596,7.93209981918335,666670
2026-08-17 12:35:00-04:00,7.965000152587891,8.04990005493164,7.400100231170654,7.769999980926514,425015
2026-08-17 12:40:00-04:00,7.769999980926514,7.96999979019165,7.570099830627441,7.96999979019165,248196
2026-08-17 12:45:00-04:00,7.9710001945495605,8.199999809265137,7.769999980926514,7.90500020980835,380248
