,Open,High,Low,Close,Volume
2026-09-04 00:09:00-04:00,7757.0,7757.5,7757.0,7757.5,0
2026-09-04 00:10:00-04:00,7757.5,7757.75,7757.25,7757.25,87
2026-09-04 00:11:00-04:00,7757.25,7757.75,7757.25,7757.25,58
2026-09-04 00:12:00-04:00,7757.25,7758.0,7757.25,7758.0,63
2026-09-04 00:13:00-04:00,7758.25,7758.5,7758.0,7758.5,100
2026-09-04 00:14:00-04:00,7758.5,7758.75,7758.5,7758.75,69
2026-09-04 00:15:00-04:00,7758.75,7758.75,7758.25,7758.5,70
2026-09-04 00:16:00-04:00,7758.5,7758.5,7758.25,7758.25,32
2026-09-04 00:17:00-04:00,7758.25,7758.25,7757.75,7758.0,73
2026-09-04 00:18:00-04:00,7757.75,7758.0,7757.75,7758.0,15
2026-09-04 00:19:00-04:00,7758.0,7758.0,7757.5,7757.75,29
2026-09-04 00:20:00-04:00,7758.0,7758.25,7757.75,7758.25,8
2026-09-04 00:21:00-04:00,7758.25,7759.0,7758.25,7758.75,41
2026-09-04 00:22:00-04:00,7759.0,7759.25,7758.75,7759.25,135
2026-09-04 00:23:00-04:00,7759.0,7759.25,7759.0,7759.0,55
2026-09-04 00:24:00-04:00,7759.25,7759.75,7759.25,7759.75,201
2026-09-04 00:25:00-04:00,7759.5,7759.5,7759.0,7759.5,102
2026-09-04 00:26:00-04:00,7759.5,7759.75,7759.25,7759.5,44
2026-09-04 00:27:00-04:00,7759.75,7760.75,7759.5,7760.25,320
2026-09-04 00:28:00-04:00,7760.5,7761.25,7760.5,7761.0,280
2026-09-04 00:29:00-04:00,7761.0,7761.25,7760.75,7760.75,122
2026-09-04 00:30:00-04:00,7760.75,7761.5,7760.75,7761.5,187
2026-09-04 00:31:00-04:00,7761.25,7761.75,7761.0,7761.25,182
2026-09-04 00:32:00-04:00,7761.25,7761.5,7760.5,7760.75,149
2026-09-04 00:33:00-04:00,7760.75,7761.25,7760.75,7761.0,66
2026-09-04 00:34:00-04:00,7761.0,7761.75,7761.0,7761.75,101
2026-09-04 00:35:00-04:00,7761.25,7761.5,7761.0,7761.0,26
2026-09-04 00:36:00-04:00,7761.25,7761.5,7761.0,7761.25,58
2026-09-04 00:37:00-04:00,7761.25,7761.5,7761.0,7761.0,37
