,Open,High,Low,Close,Volume
2026-09-18 00:09:00-04:00,29762.75,29764.25,29762.25,29762.75,0
2026-09-18 00:10:00-04:00,29763.0,29767.0,29763.0,29765.25,236
2026-09-18 00:11:00-04:00,29765.25,29767.5,29763.75,29766.5,244
2026-09-18 00:12:00-04:00,29766.5,29769.0,29766.0,29766.75,381
2026-09-18 00:13:00-04:00,29767.0,29768.25,29766.75,29767.25,151
2026-09-18 00:14:00-04:00,29767.25,29768.25,29762.5,29768.0,546
2026-09-18 00:15:00-04:00,29767.5,29773.5,29767.25,29767.5,1000
2026-09-18 00:16:00-04:00,29767.0,29771.0,29763.25,29771.0,678
2026-09-18 00:17:00-04:00,29771.0,29771.25,29767.0,29769.25,338
2026-09-18 00:18:00-04:00,29768.5,29769.0,29760.75,29762.5,712
2026-09-18 00:19:00-04:00,29763.0,29768.5,29763.0,29766.5,392
2026-09-18 00:20:00-04:00,29766.75,29767.5,29760.0,29761.0,379
2026-09-18 00:21:00-04:00,29761.0,29764.75,29759.5,29763.5,412
2026-09-18 00:22:00-04:00,29763.75,29765.0,29761.75,29764.25,282
2026-09-18 00:23:00-04:00,29764.25,29764.25,29759.0,29762.25,366
2026-09-18 00:24:00-04:00,29761.75,29763.75,29759.25,29760.0,416
2026-09-18 00:25:00-04:00,29760.0,29761.25,29754.75,29760.5,853
2026-09-18 00:26:00-04:00,29760.0,29766.5,29760.0,29765.5,631
2026-09-18 00:27:00-04:00,29765.75,29771.5,29762.25,29771.0,795
2026-09-18 00:28:00-04:00,29771.25,29771.75,29768.25,29768.75,441
2026-09-18 00:29:00-04:00,29769.0,29772.75,29769.0,29772.5,339
2026-09-18 00:30:00-04:00,29772.5,29777.75,29772.25,29773.5,1563
2026-09-18 00:31:00-04:00,29773.75,29779.75,29773.0,29777.75,681
2026-09-18 00:32:00-04:00,29777.5,29779.75,29777.25,29778.0,437
2026-09-18 00:33:00-04:00,29778.25,29779.75,29777.5,29778.5,333
2026-09-18 00:34:00-04:00,29778.5,29779.0,29770.75,29772.75,649
2026-09-18 00:35:00-04:00,29772.25,29774.5,29772.0,29774.25,273
2026-09-18 00:36:00-04:00,29772.75,29772.75,29769.0,29769.75,390
2026-09-18 00:37:00-04:00,29770.5,29773.0,29768.0,29768.25,490
2026-09-18 00:38:00-04:00,29768.5,29770.0,29766.0,29768.25,305
2026-09-18 00:39:00-04:00,29768.75,29770.0,29767.25,29769.5,190
2026-09-18 00:40:00-04:00,29769.5,29770.75,29765.75,29769.25,230
2026-09-18 00:41:00-04:00,29769.5,29773.75,29768.5,29773.5,333
2026-09-18 00:42:00-04:00,29773.5,29785.0,29772.5,29784.5,1584
2026-09-18 00:43:00-04:00,29784.25,29800.5,29782.0,29797.0,3011
2026-09-18 00:44:00-04:00,29797.0,29797.0,29791.0,29795.5,1221
2026-09-18 00:45:00-04:00,29795.5,29796.75,29792.25,29792.5,658
2026-09-18 00:46:00-04:00,29792.75,29793.75,29789.25,29793.75,549
2026-09-18 00:47:00-04:00,29793.75,29793.75,29786.5,29787.75,598
2026-09-18 00:48:00-04:00,29788.0,29791.5,29788.0,29790.0,268
2026-09-18 00:49:00-04:00,29789.75,29792.25,29789.5,29791.5,364
2026-09-18 00:50:00-04:00,29791.0,29802.25,29790.75,29795.75,1358
2026-09-18 00:51:00-04:00,29795.75,29801.0,29795.75,29799.75,396
2026-09-18 00:52:00-04:00,29799.75,29810.0,29798.75,29809.0,1555
2026-09-18 00:53:00-04:00,29809.5,29810.25,29806.0,29808.25,758
2026-09-18 00:54:00-04:00,29808.75,29809.0,29804.0,29805.0,610
2026-09-18 00:55:00-04:00,29804.5,29809.0,29802.5,29806.0,683
2026-09-18 00:56:00-04:00,29806.25,29814.5,29805.5,29812.25,1042
2026-09-18 00:57:00-04:00,29812.25,29813.0,29810.0,29810.25,432
2026-09-18 00:58:00-04:00,29810.25,29810.75,29806.75,29808.25,457
2026-09-18 00:59:00-04:00,29808.25,29811.25,29807.0,29810.5,328
2026-09-18 01:00:00-04:00,29810.5,29810.75,29805.5,29809.0,536
2026-09-18 01:01:00-04:00,29809.25,29809.75,29803.75,29806.75,452
2026-09-18 01:02:00-04:00,29806.75,29809.75,29806.0,29806.0,289
2026-09-18 01:03:00-04:00,29806.5,29812.25,29806.0,29809.5,379
2026-09-18 01:04:00-04:00,29810.0,29811.5,29808.25,29811.25,279
2026-09-18 01:05:00-04:00,29811.75,29812.25,29806.25,29806.25,370
2026-09-18 01:06:00-04:00,29806.25,29808.0,29803.25,29805.25,622
2026-09-18 01:07:00-04:00,29804.75,29811.25,29804.75,29809.25,426
2026-09-18 01:08:00-04:00,29808.75,29809.25,29805.25,29806.25,189
2026-09-18 01:09:00-04:00,29806.0,29807.5,29802.75,29805.5,330
2026-09-18 01:10:00-04:00,29805.5,29810.0,29805.5,29809.75,318
2026-09-18 01:11:00-04:00,29809.75,29815.75,29808.25,29813.25,931
2026-09-18 01:12:00-04:00,29813.5,29814.25,29807.75,29809.75,566
2026-09-18 01:13:00-04:00,29810.0,29812.5,29806.25,29807.0,353
2026-09-18 01:14:00-04:00,29807.25,29811.0,29806.75,29810.25,282
2026-09-18 01:15:00-04:00,29810.75,29813.0,29810.0,29811.5,327
2026-09-18 01:16:00-04:00,29810.75,29815.25,29810.5,29813.25,430
2026-09-18 01:17:00-04:00,29813.5,29815.25,29811.5,29814.5,318
