,Open,High,Low,Close,Volume
2026-08-14 04:00:00-04:00,3.56,3.56,3.56,3.56,0
2026-08-14 05:00:00-04:00,3.92,3.92,3.9027,3.9027,0
2026-08-14 05:05:00-04:00,3.862,3.862,3.8,3.8,0
2026-08-14 05:15:00-04:00,3.6,3.6,3.6,3.6,0
2026-08-14 05:30:00-04:00,3.9043,3.9043,3.9043,3.9043,0
2026-08-14 05:35:00-04:00,3.8999,3.8999,3.8999,3.8999,0
2026-08-14 05:40:00-04:00,3.8868,3.8868,3.8868,3.8868,0
2026-08-14 05:50:00-04:00,3.9109,3.9109,3.9109,3.9109,0
2026-08-14 06:00:00-04:00,3.8958,3.8958,3.8958,3.8958,0
2026-08-14 06:15:00-04:00,3.8369,3.8579,3.8369,3.8579,0
2026-08-14 06:20:00-04:00,3.8,3.8,3.8,3.8,0
2026-08-14 06:25:00-04:00,3.72,3.72,3.72,3.72,0
2026-08-14 07:00:00-04:00,3.7341,3.91,3.7341,3.8159,0
2026-08-14 07:05:00-04:00,3.805,3.81,3.805,3.81,0
2026-08-14 07:10:00-04:00,3.9,3.9197,3.9,3.9197,0
2026-08-14 07:15:00-04:00,3.9,4.41,3.89,4.41,0
2026-08-14 07:20:00-04:00,4.4,4.56,3.53,3.59,0
2026-08-14 07:25:00-04:00,3.5511,3.75,2.95,3.1497,0
2026-08-14 07:30:00-04:00,3.1323,3.31,3.1,3.15,0
2026-08-14 07:35:00-04:00,3.101,3.24,3.0101,3.03,0
2026-08-14 07:40:00-04:00,3.03,3.2,3.03,3.0595,0
2026-08-14 07:45:00-04:00,3.1065,3.18,3.06,3.06,0
2026-08-14 07:50:00-04:00,3.17,3.18,3.1,3.1001,0
2026-08-14 07:55:00-04:00,3.18,3.18,3.1,3.1,0
2026-08-14 08:00:00-04:00,3.06,3.06,2.83,2.9,0
2026-08-14 08:05:00-04:00,2.88,2.9,2.88,2.9,0
2026-08-14 08:10:00-04:00,2.9414,2.9414,2.94,2.94,0
2026-08-14 08:15:00-04:00,2.94,2.98,2.9,2.9,0
2026-08-14 08:20:00-04:00,3.025,3.025,3.0194,3.0194,0
2026-08-14 08:25:00-04:00,3.1,3.1,3.02,3.02,0
2026-08-14 08:30:00-04:00,2.93,2.93,2.9,2.93,0
2026-08-14 08:35:00-04:00,2.9495,2.97,2.93,2.97,0
2026-08-14 08:40:00-04:00,2.97,2.97,2.96,2.96,0
2026-08-14 08:45:00-04:00,2.9599,2.96,2.9596,2.9596,0
2026-08-14 08:50:00-04:00,2.9597,2.96,2.9597,2.96,0
2026-08-14 08:55:00-04:00,2.93,2.96,2.93,2.96,0
2026-08-14 09:00:00-04:00,3.11,3.18,3.11,3.18,0
2026-08-14 09:05:00-04:00,3.2,3.2,3.2,3.2,0
2026-08-14 09:10:00-04:00,3.2,3.2,3.2,3.2,0
2026-08-14 09:15:00-04:00,3.32,3.46,3.2,3.2,0
2026-08-14 09:20:00-04:00,3.2,3.2,3.13,3.13,0
2026-08-14 09:25:00-04:00,3.1,3.11,3.08,3.11,0
2026-08-14 09:30:00-04:00,3.0999999046325684,3.3266000747680664,3.0999999046325684,3.144700050354004,243636
2026-08-14 09:35:00-04:00,3.0899999141693115,3.130000114440918,2.880000114440918,2.880000114440918,6874
2026-08-14 09:40:00-04:00,2.869999885559082,2.924999952316284,2.869999885559082,2.924999952316284,1499
2026-08-14 09:45:00-04:00,3.0,3.0,3.0,3.0,1288
2026-08-14 09:50:00-04:00,3.055000066757202,3.055000066757202,3.055000066757202,3.055000066757202,4524
2026-08-14 10:00:00-04:00,3.0,3.065000057220459,3.0,3.065000057220459,670
2026-08-14 10:05:00-04:00,3.0,3.0,2.9100000858306885,2.9100000858306885,1977
2026-08-14 10:10:00-04:00,3.0299999713897705,3.0999999046325684,2.990000009536743,3.0999999046325684,3843
2026-08-14 10:15:00-04:00,3.140000104904175,3.184999942779541,3.140000104904175,3.184999942779541,1631
2026-08-14 10:20:00-04:00,2.990000009536743,3.0350000858306885,2.990000009536743,3.0350000858306885,3415
2026-08-14 10:25:00-04:00,3.0850000381469727,3.0850000381469727,3.0850000381469727,3.0850000381469727,1422
2026-08-14 10:40:00-04:00,3.075000047683716,3.075000047683716,2.940000057220459,3.055000066757202,3954
2026-08-14 10:45:00-04:00,3.0250000953674316,3.0450000762939453,2.9900999069213867,2.9900999069213867,963
2026-08-14 10:50:00-04:00,2.9900999069213867,3.0,2.9900999069213867,3.0,984
2026-08-14 10:55:00-04:00,3.039900064468384,3.039900064468384,3.015000104904175,3.015000104904175,1777
2026-08-14 11:00:00-04:00,2.990000009536743,2.990000009536743,2.990000009536743,2.990000009536743,672
2026-08-14 11:15:00-04:00,2.9900999069213867,2.9900999069213867,2.9900999069213867,2.9900999069213867,188
2026-08-14 11:25:00-04:00,3.0499000549316406,3.0499000549316406,3.0499000549316406,3.0499000549316406,811
2026-08-14 11:30:00-04:00,3.009999990463257,3.009999990463257,2.9100000858306885,2.9100000858306885,3845
2026-08-14 11:45:00-04:00,2.9999001026153564,2.9999001026153564,2.9999001026153564,2.9999001026153564,706
2026-08-14 11:55:00-04:00,2.990000009536743,2.990000009536743,2.990000009536743,2.990000009536743,472
2026-08-14 12:05:00-04:00,2.9549999237060547,2.9549999237060547,2.9549999237060547,2.9549999237060547,889
2026-08-14 12:10:00-04:00,2.9100000858306885,2.9100000858306885,2.9000000953674316,2.9000000953674316,2893
2026-08-14 12:15:00-04:00,2.9000000953674316,2.9100000858306885,2.9000000953674316,2.909899950027466,948
2026-08-14 12:30:00-04:00,2.950000047683716,2.950000047683716,2.938999891281128,2.938999891281128,759
2026-08-14 12:40:00-04:00,2.8949999809265137,2.8949999809265137,2.8949999809265137,2.8949999809265137,413
2026-08-14 12:45:00-04:00,2.950000047683716,2.950000047683716,2.949899911880493,2.949899911880493,1157
2026-08-14 13:00:00-04:00,2.88070011138916,2.88070011138916,2.7100000381469727,2.7100000381469727,8405
2026-08-14 13:05:00-04:00,2.650099992752075,2.8550000190734863,2.650099992752075,2.8550000190734863,3851
2026-08-14 13:10:00-04:00,2.780100107192993,2.780100107192993,2.780100107192993,2.780100107192993,2943
2026-08-14 13:30:00-04:00,2.809999942779541,2.8101000785827637,2.809999942779541,2.8101000785827637,564
2026-08-14 13:50:00-04:00,2.811199903488159,2.811199903488159,2.811199903488159,2.811199903488159,1802
2026-08-14 13:55:00-04:00,2.809999942779541,2.809999942779541,2.809999942779541,2.809999942779541,184
2026-08-14 14:00:00-04:00,2.740000009536743,2.7850000858306885,2.7200000286102295,2.7200000286102295,5182
2026-08-14 14:05:00-04:00,2.6500000953674316,2.6500000953674316,2.6500000953674316,2.6500000953674316,1017
2026-08-14 14:10:00-04:00,2.690000057220459,2.690000057220459,2.650099992752075,2.650099992752075,2848
2026-08-14 14:15:00-04:00,2.6600000858306885,2.6600000858306885,2.575000047683716,2.575000047683716,5713
2026-08-14 14:20:00-04:00,2.640000104904175,2.640000104904175,2.5299999713897705,2.5499000549316406,6468
2026-08-14 14:25:00-04:00,2.591599941253662,2.6500000953674316,2.5213000774383545,2.5999999046325684,3623
2026-08-14 14:30:00-04:00,2.5999999046325684,2.7399001121520996,2.530100107192993,2.7397000789642334,2397
2026-08-14 14:35:00-04:00,2.6500000953674316,2.6500000953674316,2.5899999141693115,2.5899999141693115,3990
2026-08-14 14:40:00-04:00,2.625,2.625,2.5299999713897705,2.5299999713897705,6824
2026-08-14 14:45:00-04:00,2.5899999141693115,2.5899999141693115,2.5299999713897705,2.5827999114990234,911
2026-08-14 14:50:00-04:00,2.553100109100342,2.575000047683716,2.5399999618530273,2.549999952316284,4408
2026-08-14 14:55:00-04:00,2.5450000762939453,2.5999999046325684,2.5450000762939453,2.549999952316284,3544
2026-08-14 15:00:00-04:00,2.5701000690460205,2.5701000690460205,2.5399999618530273,2.5399999618530273,1116
2026-08-14 15:10:00-04:00,2.530100107192993,2.5318000316619873,2.4649999141693115,2.4649999141693115,4932
2026-08-14 15:15:00-04:00,2.4649999141693115,2.4649999141693115,2.2799999713897705,2.3299999237060547,4683
2026-08-14 15:20:00-04:00,2.359999895095825,2.3798999786376953,2.25,2.25,4364
2026-08-14 15:25:00-04:00,2.240000009536743,2.299999952316284,2.234999895095825,2.234999895095825,15459
2026-08-14 15:30:00-04:00,2.233299970626831,2.2499001026153564,2.119999885559082,2.119999885559082,4344
2026-08-14 15:35:00-04:00,2.190000057220459,2.200000047683716,2.1600000858306885,2.1600000858306885,1013
2026-08-14 15:40:00-04:00,2.180000066757202,2.180000066757202,2.119999885559082,2.1500000953674316,5538
2026-08-14 15:45:00-04:00,2.1700000762939453,2.2999000549316406,2.1700000762939453,2.2850000858306885,6847
2026-08-14 15:50:00-04:00,2.2899999618530273,2.2899999618530273,2.1700000762939453,2.1700000762939453,4751
2026-08-14 15:55:00-04:00,2.182499885559082,2.2899999618530273,2.1700000762939453,2.240000009536743,11307
2026-08-14 16:00:00-04:00,2.27,2.27,2.26,2.27,0
2026-08-14 16:05:00-04:00,2.27,2.27,2.2689,2.2694,0
2026-08-14 16:10:00-04:00,2.27,2.27,2.27,2.27,0
2026-08-14 16:15:00-04:00,2.2696,2.2696,2.2696,2.2696,0
2026-08-14 16:30:00-04:00,2.27,2.27,2.27,2.27,0
2026-08-14 16:35:00-04:00,2.27,2.27,2.27,2.27,0
2026-08-14 16:40:00-04:00,2.27,2.27,2.27,2.27,0
2026-08-14 16:45:00-04:00,2.15,2.21,2.15,2.21,0
2026-08-14 17:05:00-04:00,2.2507,2.2507,2.2507,2.2507,0
2026-08-14 17:10:00-04:00,2.2512,2.2512,2.2502,2.2502,0
2026-08-14 17:15:00-04:00,2.35,2.3598,2.34,2.34,0
2026-08-14 17:30:00-04:00,2.34,2.34,2.34,2.34,0
2026-08-14 17:40:00-04:00,2.3496,2.35,2.3496,2.35,0
2026-08-14 17:45:00-04:00,2.3487,2.3487,2.3487,2.3487,0
2026-08-14 17:55:00-04:00,2.34,2.349,2.34,2.349,0
2026-08-14 18:00:00-04:00,2.34,2.34,2.34,2.34,0
2026-08-14 18:10:00-04:00,2.2804,2.2804,2.28,2.28,0
2026-08-14 18:15:00-04:00,2.281,2.2814,2.281,2.2814,0
2026-08-14 18:45:00-04:00,2.3,2.3294,2.3,2.3294,0
2026-08-14 19:00:00-04:00,2.33,2.33,2.33,2.33,0
2026-08-14 19:05:00-04:00,2.3303,2.35,2.3303,2.35,0
2026-08-14 19:10:00-04:00,2.35,2.35,2.35,2.35,0
2026-08-14 19:25:00-04:00,2.33,2.33,2.28,2.28,0
2026-08-14 19:45:00-04:00,2.33,2.33,2.28,2.29,0
2026-08-14 19:50:00-04:00,2.28,2.28,2.2781,2.2781,0
2026-08-14 19:55:00-04:00,2.26,2.28,2.26,2.2799,0
2026-08-17 04:05:00-04:00,2.7,2.7,2.7,2.7,0
2026-08-17 04:10:00-04:00,2.62,2.62,2.62,2.62,0
2026-08-17 04:15:00-04:00,2.8946,2.8946,2.62,2.62,0
2026-08-17 04:30:00-04:00,2.8699,2.8699,2.8699,2.8699,0
2026-08-17 04:35:00-04:00,2.3361,3.5934,2.27,2.911,0
2026-08-17 04:40:00-04:00,2.97,3.68,2.84,3.14,0
2026-08-17 04:45:00-04:00,3.1492,3.1769,2.56,2.8103,0
2026-08-17 04:50:00-04:00,2.8103,2.9979,2.585,2.8001,0
2026-08-17 04:55:00-04:00,2.821,4.62,2.73,4.1447,0
2026-08-17 05:00:00-04:00,4.1471,4.57,3.4512,4.0634,0
2026-08-17 05:05:00-04:00,4.1,4.2499,3.73,3.87,0
2026-08-17 05:10:00-04:00,3.87,3.95,3.14,3.3694,0
2026-08-17 05:15:00-04:00,3.35,3.37,2.8608,2.946,0
2026-08-17 05:20:00-04:00,2.946,3.4,2.9001,3.2397,0
2026-08-17 05:25:00-04:00,3.2508,3.59,3.21,3.526,0
2026-08-17 05:30:00-04:00,3.5211,3.95,3.43,3.71,0
2026-08-17 05:35:00-04:00,3.706,3.76,3.2101,3.276,0
2026-08-17 05:40:00-04:00,3.27,3.3957,3.1221,3.2914,0
2026-08-17 05:45:00-04:00,3.3,3.3,2.91,2.97,0
2026-08-17 05:50:00-04:00,2.984,3.17,2.97,3.096,0
2026-08-17 05:55:00-04:00,3.0897,3.1182,2.97,2.996,0
2026-08-17 06:00:00-04:00,2.996,3.02,2.7224,2.84,0
2026-08-17 06:05:00-04:00,2.83,3.02,2.7603,3.02,0
2026-08-17 06:10:00-04:00,3.02,3.02,2.86,2.8808,0
