,open,high,low,close,volume
2026-09-04 07:30:00-04:00,4.2017,4.2397,4.2,4.22,0
2026-09-04 07:31:00-04:00,4.22,4.23,4.2,4.2283,0
2026-09-04 07:32:00-04:00,4.23,4.24,4.22,4.23,0
2026-09-04 07:33:00-04:00,4.22,4.2201,4.1577,4.16,0
2026-09-04 07:34:00-04:00,4.1615,4.24,4.15,4.24,0
2026-09-04 07:35:00-04:00,4.24,4.24,4.16,4.16,0
2026-09-04 07:36:00-04:00,4.1784,4.24,4.16,4.2007,0
2026-09-04 07:37:00-04:00,4.24,4.3,4.23,4.3,0
2026-09-04 07:38:00-04:00,4.27,4.2904,4.2,4.2,0
2026-09-04 07:39:00-04:00,4.22,4.24,4.21,4.23,0
2026-09-04 07:40:00-04:00,4.24,4.24,4.18,4.18,0
2026-09-04 07:41:00-04:00,4.1945,4.2297,4.18,4.19,0
2026-09-04 07:42:00-04:00,4.1784,4.2097,4.17,4.18,0
2026-09-04 07:43:00-04:00,4.23,4.23,4.18,4.2,0
2026-09-04 07:44:00-04:00,4.21,4.21,4.18,4.19,0
2026-09-04 07:45:00-04:00,4.1892,4.19,4.17,4.18,0
2026-09-04 07:46:00-04:00,4.18,4.19,4.1705,4.19,0
2026-09-04 07:47:00-04:00,4.2,4.24,4.2,4.24,0
2026-09-04 07:48:00-04:00,4.2259,4.25,4.2009,4.247,0
2026-09-04 07:49:00-04:00,4.2477,4.3,4.22,4.2845,0
2026-09-04 07:50:00-04:00,4.2845,4.32,4.25,4.28,0
2026-09-04 07:51:00-04:00,4.28,4.28,4.26,4.27,0
2026-09-04 07:52:00-04:00,4.26,4.28,4.25,4.26,0
2026-09-04 07:53:00-04:00,4.26,4.28,4.25,4.27,0
2026-09-04 07:54:00-04:00,4.26,4.26,4.25,4.2518,0
2026-09-04 07:55:00-04:00,4.26,4.28,4.25,4.2689,0
2026-09-04 07:56:00-04:00,4.2698,4.32,4.2696,4.2969,0
2026-09-04 07:57:00-04:00,4.28,4.3,4.2707,4.2707,0
2026-09-04 07:58:00-04:00,4.28,4.3088,4.27,4.3,0
2026-09-04 07:59:00-04:00,4.3018,4.32,4.3,4.32,0
2026-09-04 08:00:00-04:00,4.3189,4.47,4.3097,4.46,0
2026-09-04 08:01:00-04:00,4.4589,4.7,4.45,4.6169,0
2026-09-04 08:02:00-04:00,4.6199,4.79,4.51,4.73,0
2026-09-04 08:03:00-04:00,4.72,4.77,4.61,4.68,0
2026-09-04 08:04:00-04:00,4.71,4.8,4.62,4.6297,0
2026-09-04 08:05:00-04:00,4.6298,4.72,4.6,4.63,0
2026-09-04 08:06:00-04:00,4.61,4.68,4.55,4.56,0
2026-09-04 08:07:00-04:00,4.57,4.74,4.558,4.7,0
2026-09-04 08:08:00-04:00,4.6999,6.15,4.6501,5.5098,0
2026-09-04 08:09:00-04:00,5.51,5.66,5.22,5.3377,0
2026-09-04 08:10:00-04:00,5.3377,5.45,5.3,5.36,0
2026-09-04 08:11:00-04:00,5.346,5.51,5.21,5.2903,0
2026-09-04 08:12:00-04:00,5.3116,5.5,5.25,5.3466,0
2026-09-04 08:13:00-04:00,5.3477,5.44,5.28,5.4,0
2026-09-04 08:14:00-04:00,5.4,5.4,5.1201,5.2377,0
2026-09-04 08:15:00-04:00,5.2103,5.3,5.12,5.23,0
2026-09-04 08:16:00-04:00,5.2476,5.25,5.03,5.1344,0
2026-09-04 08:17:00-04:00,5.1371,5.2899,4.97,5.16,0
2026-09-04 08:18:00-04:00,5.16,5.26,5.05,5.24,0
2026-09-04 08:19:00-04:00,5.17,5.29,5.04,5.09,0
2026-09-04 08:20:00-04:00,5.1,5.22,5.02,5.1698,0
2026-09-04 08:21:00-04:00,5.14,5.4,5.09,5.32,0
2026-09-04 08:22:00-04:00,5.3239,5.54,5.27,5.3697,0
2026-09-04 08:23:00-04:00,5.3303,5.4,5.27,5.37,0
2026-09-04 08:24:00-04:00,5.39,5.48,5.33,5.3362,0
2026-09-04 08:25:00-04:00,5.33,5.45,5.3101,5.36,0
2026-09-04 08:26:00-04:00,5.4,5.46,5.28,5.43,0
2026-09-04 08:27:00-04:00,5.41,5.44,5.27,5.3168,0
2026-09-04 08:28:00-04:00,5.3199,5.38,5.21,5.31,0
2026-09-04 08:29:00-04:00,5.31,5.39,5.21,5.2911,0
2026-09-04 08:30:00-04:00,5.31,5.45,5.17,5.2697,0
2026-09-04 08:31:00-04:00,5.2502,5.32,5.0301,5.0995,0
2026-09-04 08:32:00-04:00,5.0973,5.14,5.05,5.09,0
2026-09-04 08:33:00-04:00,5.0854,5.09,4.55,4.59,0
2026-09-04 08:34:00-04:00,4.5971,4.68,4.09,4.2996,0
2026-09-04 08:35:00-04:00,4.3,4.3499,4.2401,4.301,0
2026-09-04 08:36:00-04:00,4.32,4.44,4.26,4.35,0
2026-09-04 08:37:00-04:00,4.33,4.35,4.21,4.26,0
2026-09-04 08:38:00-04:00,4.25,4.35,4.1923,4.35,0
2026-09-04 08:39:00-04:00,4.3382,4.35,4.26,4.3,0
2026-09-04 08:40:00-04:00,4.2996,4.33,4.28,4.28,0
2026-09-04 08:41:00-04:00,4.3,4.39,4.28,4.3648,0
2026-09-04 08:42:00-04:00,4.38,4.39,4.3267,4.3725,0
2026-09-04 08:43:00-04:00,4.3871,4.45,4.3731,4.4305,0
2026-09-04 08:44:00-04:00,4.43,4.47,4.39,4.45,0
2026-09-04 08:45:00-04:00,4.4497,4.47,4.37,4.39,0
2026-09-04 08:46:00-04:00,4.3888,4.43,4.32,4.3912,0
2026-09-04 08:47:00-04:00,4.39,4.4,4.34,4.37,0
2026-09-04 08:48:00-04:00,4.3681,4.39,4.35,4.3799,0
2026-09-04 08:49:00-04:00,4.38,4.4,4.29,4.3111,0
2026-09-04 08:50:00-04:00,4.326,4.4,4.31,4.4,0
2026-09-04 08:51:00-04:00,4.3912,4.43,4.39,4.43,0
2026-09-04 08:52:00-04:00,4.4,4.43,4.35,4.3682,0
2026-09-04 08:53:00-04:00,4.36,4.39,4.33,4.39,0
2026-09-04 08:54:00-04:00,4.3723,4.39,4.29,4.36,0
2026-09-04 08:55:00-04:00,4.35,4.38,4.3,4.3398,0
2026-09-04 08:56:00-04:00,4.34,4.34,4.3,4.3082,0
2026-09-04 08:57:00-04:00,4.31,4.31,4.27,4.282,0
2026-09-04 08:58:00-04:00,4.29,4.342,4.28,4.342,0
2026-09-04 08:59:00-04:00,4.3403,4.35,4.34,4.342,0
2026-09-04 09:00:00-04:00,4.35,4.36,4.33,4.3317,0
2026-09-04 09:01:00-04:00,4.33,4.34,4.29,4.3099,0
2026-09-04 09:02:00-04:00,4.3095,4.32,4.2904,4.3097,0
