,open,high,low,close,volume
2026-07-22 07:23:00-04:00,1.88,1.88,1.88,1.88,0
2026-07-22 07:26:00-04:00,1.88,1.88,1.88,1.88,0
2026-07-22 08:02:00-04:00,1.863,2.32,1.8607,1.9911,0
2026-07-22 08:03:00-04:00,1.9342,2.79,1.74,2.6685,0
2026-07-22 08:04:00-04:00,2.6491,3.65,2.5,3.0191,0
2026-07-22 08:05:00-04:00,3.0122,6.98,2.99,4.66,0
2026-07-22 08:06:00-04:00,4.71,5.5,3.83,4.151,0
2026-07-22 08:07:00-04:00,4.1597,4.66,4.15,4.54,0
2026-07-22 08:08:00-04:00,4.4991,5.29,4.49,4.9097,0
2026-07-22 08:09:00-04:00,4.8904,5.11,4.44,5.0777,0
2026-07-22 08:10:00-04:00,5.11,5.94,4.85,5.1097,0
2026-07-22 08:11:00-04:00,5.11,5.43,4.78,5.3048,0
2026-07-22 08:12:00-04:00,5.34,5.45,5.05,5.17,0
2026-07-22 08:13:00-04:00,5.1682,5.36,4.96,5.3,0
2026-07-22 08:14:00-04:00,5.3002,7.45,5.19,6.78,0
2026-07-22 08:15:00-04:00,6.7,6.85,5.83,5.9792,0
2026-07-22 08:16:00-04:00,5.9797,6.23,5.89,6.2069,0
2026-07-22 08:17:00-04:00,6.194,6.2999,5.44,5.56,0
2026-07-22 08:18:00-04:00,5.53,5.8,5.43,5.67,0
2026-07-22 08:19:00-04:00,5.6671,5.94,5.55,5.56,0
2026-07-22 08:20:00-04:00,5.56,5.9,5.55,5.75,0
2026-07-22 08:21:00-04:00,5.7791,5.79,5.13,5.3,0
2026-07-22 08:22:00-04:00,5.3092,5.72,5.3,5.67,0
2026-07-22 08:23:00-04:00,5.64,6.18,5.62,5.9486,0
2026-07-22 08:24:00-04:00,5.94,6.18,5.7,6.07,0
2026-07-22 08:25:00-04:00,6.07,6.49,5.93,5.95,0
2026-07-22 08:26:00-04:00,5.93,6.4497,5.84,6.0969,0
2026-07-22 08:27:00-04:00,6.1,7.72,6.01,7.1101,0
2026-07-22 08:28:00-04:00,7.13,7.25,6.76,6.9,0
2026-07-22 08:29:00-04:00,6.9,7.12,6.72,6.92,0
2026-07-22 08:30:00-04:00,6.9109,7.03,6.34,6.48,0
2026-07-22 08:31:00-04:00,6.4795,6.65,6.37,6.62,0
2026-07-22 08:32:00-04:00,6.62,6.67,6.0098,6.2589,0
2026-07-22 08:33:00-04:00,6.26,6.32,6.11,6.25,0
2026-07-22 08:34:00-04:00,6.2497,6.73,6.2497,6.4,0
2026-07-22 08:35:00-04:00,6.37,6.48,6.15,6.2392,0
2026-07-22 08:36:00-04:00,6.24,6.68,6.18,6.5564,0
2026-07-22 08:37:00-04:00,6.5798,6.78,6.32,6.36,0
2026-07-22 08:38:00-04:00,6.3697,6.65,6.3,6.54,0
2026-07-22 08:39:00-04:00,6.5798,7.16,6.51,7.1381,0
2026-07-22 08:40:00-04:00,7.13,7.24,6.5,6.56,0
2026-07-22 08:41:00-04:00,6.5505,6.7,6.4,6.5109,0
2026-07-22 08:42:00-04:00,6.54,6.64,6.32,6.33,0
2026-07-22 08:43:00-04:00,6.3203,6.55,6.32,6.4984,0
2026-07-22 08:44:00-04:00,6.5,6.91,6.4,6.76,0
2026-07-22 08:45:00-04:00,6.7492,6.83,6.43,6.61,0
2026-07-22 08:46:00-04:00,6.62,6.75,6.5,6.59,0
2026-07-22 08:47:00-04:00,6.5815,6.83,6.55,6.6304,0
2026-07-22 08:48:00-04:00,6.66,6.9,6.55,6.6099,0
2026-07-22 08:49:00-04:00,6.6085,6.66,6.5,6.56,0
2026-07-22 08:50:00-04:00,6.5598,6.61,6.25,6.5018,0
2026-07-22 08:51:00-04:00,6.5355,6.56,6.2,6.26,0
2026-07-22 08:52:00-04:00,6.2598,6.28,5.9,6.27,0
2026-07-22 08:53:00-04:00,6.2538,6.37,6.23,6.3059,0
2026-07-22 08:54:00-04:00,6.3385,6.48,6.28,6.2801,0
2026-07-22 08:55:00-04:00,6.28,6.37,6.18,6.2801,0
2026-07-22 08:56:00-04:00,6.28,6.42,6.24,6.36,0
