,open,high,low,close,volume
2026-08-12 07:55:00-04:00,1.78,1.85,1.77,1.84,0
2026-08-12 07:56:00-04:00,1.85,1.85,1.83,1.84,0
2026-08-12 07:57:00-04:00,1.84,1.8799,1.83,1.839,0
2026-08-12 07:58:00-04:00,1.8302,1.84,1.77,1.7785,0
2026-08-12 07:59:00-04:00,1.7797,1.86,1.77,1.809,0
2026-08-12 08:00:00-04:00,1.81,1.92,1.8,1.8997,0
2026-08-12 08:01:00-04:00,1.8997,2.0,1.89,1.998,0
2026-08-12 08:02:00-04:00,1.999,2.03,1.94,1.9401,0
2026-08-12 08:03:00-04:00,1.94,2.1003,1.93,2.091,0
2026-08-12 08:04:00-04:00,2.0902,2.1,2.04,2.0598,0
2026-08-12 08:05:00-04:00,2.06,2.06,1.9303,1.9811,0
2026-08-12 08:06:00-04:00,1.9899,2.06,1.95,2.03,0
2026-08-12 08:07:00-04:00,2.03,2.04,1.96,1.99,0
2026-08-12 08:08:00-04:00,1.9901,2.02,1.98,1.9897,0
2026-08-12 08:09:00-04:00,1.9815,2.06,1.95,1.9598,0
2026-08-12 08:10:00-04:00,1.96,2.01,1.95,1.979,0
2026-08-12 08:11:00-04:00,1.9799,2.11,1.97,2.0895,0
2026-08-12 08:12:00-04:00,2.0898,2.23,2.02,2.21,0
2026-08-12 08:13:00-04:00,2.2,2.21,2.11,2.16,0
2026-08-12 08:14:00-04:00,2.1515,2.19,2.12,2.18,0
2026-08-12 08:15:00-04:00,2.18,2.21,2.1,2.14,0
2026-08-12 08:16:00-04:00,2.14,2.1499,1.95,1.96,0
2026-08-12 08:17:00-04:00,1.97,2.01,1.96,1.9703,0
2026-08-12 08:18:00-04:00,1.97,1.98,1.9,1.9399,0
2026-08-12 08:19:00-04:00,1.94,1.94,1.84,1.8902,0
2026-08-12 08:20:00-04:00,1.8903,1.99,1.87,1.9597,0
2026-08-12 08:21:00-04:00,1.9597,2.03,1.95,2.0101,0
2026-08-12 08:22:00-04:00,2.0101,2.02,1.95,1.9699,0
2026-08-12 08:23:00-04:00,1.97,2.0199,1.9611,1.989,0
2026-08-12 08:24:00-04:00,1.9811,2.0,1.96,1.9603,0
2026-08-12 08:25:00-04:00,1.9699,2.03,1.96,1.989,0
2026-08-12 08:26:00-04:00,1.9898,2.01,1.97,1.99,0
2026-08-12 08:27:00-04:00,1.9889,1.99,1.98,1.981,0
2026-08-12 08:28:00-04:00,1.99,1.99,1.95,1.9501,0
