,open,high,low,close,volume
2026-08-18 07:20:00-04:00,2.7,2.7,2.7,2.7,0
2026-08-18 07:25:00-04:00,2.7,2.7,2.69,2.7,0
2026-08-18 07:30:00-04:00,2.69,2.6909,2.69,2.69,0
2026-08-18 07:35:00-04:00,2.7,2.7299,2.7,2.7299,0
2026-08-18 07:45:00-04:00,2.7,2.7,2.65,2.65,0
2026-08-18 07:50:00-04:00,2.65,2.73,2.65,2.73,0
2026-08-18 07:55:00-04:00,2.65,2.66,2.61,2.61,0
2026-08-18 08:00:00-04:00,2.62,2.6287,2.62,2.6287,0
2026-08-18 08:05:00-04:00,2.72,2.7285,2.72,2.7285,0
2026-08-18 08:10:00-04:00,2.62,2.8141,2.62,2.8141,0
2026-08-18 08:15:00-04:00,2.68,2.75,2.68,2.75,0
2026-08-18 08:20:00-04:00,2.7681,2.7681,2.66,2.66,0
2026-08-18 08:25:00-04:00,2.76,2.76,2.76,2.76,0
2026-08-18 08:50:00-04:00,3.15,3.3,2.86,3.24,0
2026-08-18 08:55:00-04:00,3.29,3.8,3.05,3.2677,0
2026-08-18 09:00:00-04:00,3.3,5.76,3.3,5.26,0
2026-08-18 09:05:00-04:00,5.29,5.94,4.7001,5.84,0
2026-08-18 09:10:00-04:00,5.84,6.19,5.4203,5.775,0
2026-08-18 09:15:00-04:00,5.775,7.03,5.57,6.81,0
2026-08-18 09:20:00-04:00,6.7862,6.9,6.12,6.29,0
2026-08-18 09:25:00-04:00,6.29,6.4,6.02,6.2475,0
2026-08-18 09:30:00-04:00,6.199999809265137,6.849999904632568,6.170000076293945,6.849999904632568,22114916
2026-08-18 09:35:00-04:00,7.03000020980835,7.369999885559082,6.329999923706055,6.329999923706055,660700
2026-08-18 09:45:00-04:00,5.769999980926514,6.039999961853027,5.070000171661377,5.070000171661377,3406115
2026-08-18 09:50:00-04:00,5.070000171661377,5.070000171661377,5.070000171661377,5.070000171661377,17245
2026-08-18 09:55:00-04:00,4.829999923706055,5.5,4.809999942779541,5.319900035858154,1923236
2026-08-18 10:00:00-04:00,5.305099964141846,5.789999961853027,5.160099983215332,5.690199851989746,1836227
2026-08-18 10:05:00-04:00,5.704999923706055,5.769999980926514,5.309999942779541,5.340099811553955,1339093
2026-08-18 10:10:00-04:00,5.329999923706055,5.349999904632568,4.980000019073486,5.090000152587891,957707
2026-08-18 10:15:00-04:00,5.090000152587891,5.190000057220459,4.550099849700928,4.619999885559082,729070
2026-08-18 10:20:00-04:00,4.580100059509277,4.659900188446045,4.550000190734863,4.550000190734863,101207
2026-08-18 10:25:00-04:00,4.550000190734863,4.759900093078613,4.050000190734863,4.050000190734863,744584
2026-08-18 10:30:00-04:00,4.010000228881836,4.479899883270264,3.950000047683716,4.360000133514404,994938
2026-08-18 10:35:00-04:00,4.369999885559082,4.5,4.230000019073486,4.423699855804443,525321
2026-08-18 10:40:00-04:00,4.429900169372559,4.440000057220459,4.110000133514404,4.159999847412109,312498
2026-08-18 10:45:00-04:00,4.159999847412109,4.28000020980835,4.070000171661377,4.210000038146973,314029
2026-08-18 10:50:00-04:00,4.21999979019165,4.590000152587891,4.199999809265137,4.571000099182129,345035
2026-08-18 10:55:00-04:00,4.579999923706055,4.800000190734863,4.520100116729736,4.699999809265137,871518
2026-08-18 11:00:00-04:00,4.679999828338623,4.800000190734863,4.550000190734863,4.625,310520
2026-08-18 11:05:00-04:00,4.619999885559082,4.940000057220459,4.559999942779541,4.869999885559082,624486
2026-08-18 11:10:00-04:00,4.869999885559082,5.210000038146973,4.75,5.169899940490723,958072
2026-08-18 11:15:00-04:00,5.159800052642822,5.199999809265137,4.769999980926514,4.840000152587891,828112
2026-08-18 11:20:00-04:00,4.84660005569458,4.900000095367432,4.710000038146973,4.784999847412109,308237
2026-08-18 11:25:00-04:00,4.784999847412109,4.899700164794922,4.630000114440918,4.759900093078613,264117
2026-08-18 11:30:00-04:00,4.741399765014648,4.756700038909912,4.550000190734863,4.558000087738037,156750
