,open,high,low,close,volume
2026-09-04 08:13:00-04:00,3.86,3.87,3.85,3.851,0
2026-09-04 08:14:00-04:00,3.8595,3.86,3.85,3.8505,0
2026-09-04 08:15:00-04:00,3.86,3.86,3.85,3.85,0
2026-09-04 08:16:00-04:00,3.86,3.87,3.85,3.8605,0
2026-09-04 08:17:00-04:00,3.8688,3.9,3.86,3.8898,0
2026-09-04 08:18:00-04:00,3.8892,3.9,3.86,3.89,0
2026-09-04 08:19:00-04:00,3.8981,3.9,3.89,3.89,0
2026-09-04 08:20:00-04:00,3.8915,3.9,3.89,3.8979,0
2026-09-04 08:21:00-04:00,3.8995,3.93,3.89,3.9298,0
2026-09-04 08:22:00-04:00,3.92,3.94,3.92,3.94,0
2026-09-04 08:23:00-04:00,3.94,3.95,3.93,3.94,0
2026-09-04 08:24:00-04:00,3.94,3.95,3.93,3.95,0
2026-09-04 08:25:00-04:00,3.9498,3.98,3.9495,3.9605,0
2026-09-04 08:26:00-04:00,3.9615,3.98,3.96,3.9695,0
2026-09-04 08:27:00-04:00,3.9508,3.9699,3.9,3.9005,0
2026-09-04 08:28:00-04:00,3.91,3.91,3.84,3.9,0
2026-09-04 08:29:00-04:00,3.88,3.92,3.8603,3.88,0
2026-09-04 08:30:00-04:00,3.89,3.9,3.88,3.9,0
2026-09-04 08:31:00-04:00,3.8996,3.93,3.89,3.93,0
2026-09-04 08:32:00-04:00,3.9432,3.95,3.92,3.9492,0
2026-09-04 08:33:00-04:00,3.93,3.95,3.92,3.9402,0
2026-09-04 08:34:00-04:00,3.95,3.95,3.94,3.9405,0
2026-09-04 08:35:00-04:00,3.9482,3.95,3.92,3.94,0
2026-09-04 08:36:00-04:00,3.94,3.94,3.92,3.9207,0
2026-09-04 08:37:00-04:00,3.9295,3.93,3.9,3.92,0
2026-09-04 08:38:00-04:00,3.9008,3.91,3.9,3.9005,0
2026-09-04 08:39:00-04:00,3.9001,3.92,3.9,3.9085,0
2026-09-04 08:40:00-04:00,3.9095,3.91,3.9,3.9085,0
2026-09-04 08:41:00-04:00,3.9001,3.91,3.9,3.9,0
2026-09-04 08:42:00-04:00,3.9,3.91,3.9,3.9005,0
2026-09-04 08:43:00-04:00,3.91,3.91,3.88,3.88,0
2026-09-04 08:44:00-04:00,3.8944,3.9,3.82,3.84,0
2026-09-04 08:45:00-04:00,3.86,3.9,3.84,3.8595,0
2026-09-04 08:46:00-04:00,3.86,3.9,3.852,3.8769,0
2026-09-04 08:47:00-04:00,3.8705,3.88,3.87,3.8715,0
2026-09-04 08:48:00-04:00,3.8797,3.9,3.8701,3.8905,0
2026-09-04 08:49:00-04:00,3.9,3.92,3.89,3.91,0
2026-09-04 08:50:00-04:00,3.9197,3.92,3.91,3.92,0
2026-09-04 08:51:00-04:00,3.92,3.92,3.91,3.92,0
2026-09-04 08:52:00-04:00,3.916,3.95,3.91,3.9495,0
2026-09-04 08:53:00-04:00,3.9401,3.95,3.94,3.9498,0
2026-09-04 08:54:00-04:00,3.9402,3.95,3.94,3.948,0
2026-09-04 08:55:00-04:00,3.9405,3.9405,3.91,3.92,0
2026-09-04 08:56:00-04:00,3.9103,3.98,3.9103,3.98,0
2026-09-04 08:57:00-04:00,3.98,4.08,3.962,4.0799,0
2026-09-04 08:58:00-04:00,4.078,4.35,4.07,4.28,0
2026-09-04 08:59:00-04:00,4.2898,4.38,4.22,4.28,0
2026-09-04 09:00:00-04:00,4.2705,4.3,4.1205,4.1405,0
2026-09-04 09:01:00-04:00,4.1405,4.2991,4.14,4.299,0
2026-09-04 09:02:00-04:00,4.2901,4.3999,4.17,4.24,0
2026-09-04 09:03:00-04:00,4.24,4.28,4.2,4.2363,0
2026-09-04 09:04:00-04:00,4.2383,4.27,4.19,4.26,0
2026-09-04 09:05:00-04:00,4.26,4.26,4.18,4.18,0
2026-09-04 09:06:00-04:00,4.1869,4.19,4.01,4.0685,0
2026-09-04 09:07:00-04:00,4.0605,4.11,4.04,4.0415,0
2026-09-04 09:08:00-04:00,4.0405,4.13,4.01,4.1105,0
2026-09-04 09:09:00-04:00,4.11,4.12,4.09,4.11,0
2026-09-04 09:10:00-04:00,4.1098,4.17,4.1,4.1478,0
2026-09-04 09:11:00-04:00,4.1401,4.16,4.13,4.1399,0
2026-09-04 09:12:00-04:00,4.1317,4.16,4.13,4.158,0
2026-09-04 09:13:00-04:00,4.15,4.16,4.13,4.13,0
2026-09-04 09:14:00-04:00,4.13,4.14,4.1,4.1,0
2026-09-04 09:15:00-04:00,4.1098,4.1098,4.0,4.07,0
