,open,high,low,close,volume
2026-08-13 08:00:00-04:00,0.9749,1.25,0.9745,1.02,0
2026-08-13 08:05:00-04:00,1.01,1.27,0.9682,1.1001,0
2026-08-13 08:10:00-04:00,1.11,1.22,0.91,0.9253,0
2026-08-13 08:15:00-04:00,0.91,1.22,0.91,1.1899,0
2026-08-13 08:20:00-04:00,1.181,1.2,1.04,1.12,0
2026-08-13 08:25:00-04:00,1.1,1.12,1.04,1.07,0
2026-08-13 08:30:00-04:00,1.07,1.2,0.9753,1.2,0
2026-08-13 08:35:00-04:00,1.2,16.42,1.16,3.1884,0
2026-08-13 08:40:00-04:00,3.17,7.5197,3.11,6.4897,0
2026-08-13 08:45:00-04:00,6.4003,6.8109,5.63,6.05,0
2026-08-13 08:50:00-04:00,6.06,6.4,4.2603,4.9162,0
2026-08-13 08:55:00-04:00,4.9185,6.85,4.8,5.89,0
2026-08-13 09:00:00-04:00,5.94,6.31,5.22,5.46,0
2026-08-13 09:05:00-04:00,5.45,6.91,5.45,6.5999,0
2026-08-13 09:10:00-04:00,6.594,6.7,5.61,6.14,0
2026-08-13 09:15:00-04:00,6.16,6.18,5.41,5.92,0
2026-08-13 09:20:00-04:00,5.95,6.24,5.4,6.07,0
2026-08-13 09:25:00-04:00,6.0,6.07,5.34,5.74,0
2026-08-13 09:30:00-04:00,5.510000228881836,6.449999809265137,5.110000133514404,5.574999809265137,38035682
2026-08-13 09:35:00-04:00,5.550099849700928,7.230000019073486,5.539999961853027,7.230000019073486,2284069
2026-08-13 09:40:00-04:00,6.0,6.010000228881836,4.800000190734863,4.800000190734863,494096
2026-08-13 10:00:00-04:00,3.859999895095825,4.46999979019165,3.2701001167297363,4.090000152587891,2533362
2026-08-13 10:05:00-04:00,4.059999942779541,4.08650016784668,3.5810000896453857,3.809999942779541,1542678
2026-08-13 10:10:00-04:00,3.816400051116944,5.079999923706055,3.799999952316284,4.960100173950195,2452654
2026-08-13 10:15:00-04:00,4.96999979019165,5.179999828338623,4.360000133514404,4.720099925994873,2555802
2026-08-13 10:20:00-04:00,4.744999885559082,4.78000020980835,4.320099830627441,4.450099945068359,1204067
2026-08-13 10:25:00-04:00,4.450099945068359,4.929999828338623,4.349999904632568,4.684999942779541,1406146
2026-08-13 10:30:00-04:00,4.719900131225586,5.090000152587891,4.019999980926514,4.502900123596191,1706079
2026-08-13 10:35:00-04:00,4.514999866485596,4.789999961853027,4.460000038146973,4.579999923706055,805845
2026-08-13 10:40:00-04:00,4.589900016784668,4.619900226593018,4.28000020980835,4.409900188446045,604266
2026-08-13 10:45:00-04:00,4.400000095367432,4.619999885559082,4.140100002288818,4.230000019073486,634501
2026-08-13 10:50:00-04:00,4.220099925994873,4.260000228881836,3.930000066757202,4.21999979019165,660653
