,open,high,low,close,volume
2026-07-30 08:45:00-04:00,3.3501,3.36,3.3501,3.3505,0
2026-07-30 08:46:00-04:00,3.36,3.3693,3.35,3.3507,0
2026-07-30 08:47:00-04:00,3.36,3.37,3.34,3.3429,0
2026-07-30 08:48:00-04:00,3.3405,3.36,3.3403,3.352,0
2026-07-30 08:49:00-04:00,3.36,3.36,3.35,3.3586,0
2026-07-30 08:50:00-04:00,3.36,3.36,3.35,3.35,0
2026-07-30 08:51:00-04:00,3.3585,3.3669,3.35,3.36,0
2026-07-30 08:52:00-04:00,3.36,3.3899,3.36,3.3899,0
2026-07-30 08:53:00-04:00,3.3805,3.39,3.38,3.385,0
2026-07-30 08:54:00-04:00,3.3885,3.39,3.37,3.3795,0
2026-07-30 08:55:00-04:00,3.38,3.39,3.37,3.3705,0
2026-07-30 08:56:00-04:00,3.37,3.37,3.3502,3.3516,0
2026-07-30 08:57:00-04:00,3.3505,3.37,3.3501,3.37,0
2026-07-30 08:58:00-04:00,3.3695,3.3697,3.34,3.34,0
2026-07-30 08:59:00-04:00,3.3495,3.35,3.34,3.35,0
2026-07-30 09:00:00-04:00,3.3402,3.35,3.34,3.3498,0
2026-07-30 09:01:00-04:00,3.3429,3.35,3.34,3.3485,0
2026-07-30 09:02:00-04:00,3.35,3.36,3.34,3.3495,0
2026-07-30 09:03:00-04:00,3.34,3.35,3.32,3.3205,0
2026-07-30 09:04:00-04:00,3.3205,3.33,3.32,3.3297,0
2026-07-30 09:05:00-04:00,3.3205,3.3301,3.32,3.3301,0
2026-07-30 09:06:00-04:00,3.3305,3.34,3.3305,3.3336,0
2026-07-30 09:07:00-04:00,3.3336,3.34,3.33,3.3371,0
2026-07-30 09:08:00-04:00,3.3305,3.35,3.3305,3.3405,0
2026-07-30 09:09:00-04:00,3.3405,3.35,3.3205,3.322,0
2026-07-30 09:10:00-04:00,3.3271,3.33,3.32,3.33,0
2026-07-30 09:11:00-04:00,3.32,3.33,3.3,3.3005,0
2026-07-30 09:12:00-04:00,3.3005,3.31,3.29,3.2916,0
2026-07-30 09:13:00-04:00,3.2905,3.3,3.29,3.298,0
2026-07-30 09:14:00-04:00,3.2905,3.3,3.29,3.3,0
2026-07-30 09:15:00-04:00,3.29,3.29,3.28,3.28,0
2026-07-30 09:16:00-04:00,3.2805,3.2905,3.28,3.28,0
2026-07-30 09:17:00-04:00,3.3,3.3,3.29,3.2903,0
2026-07-30 09:18:00-04:00,3.2971,3.2998,3.2705,3.2705,0
2026-07-30 09:19:00-04:00,3.2705,3.28,3.25,3.27,0
2026-07-30 09:20:00-04:00,3.2695,3.27,3.2,3.25,0
2026-07-30 09:21:00-04:00,3.2485,3.26,3.24,3.2556,0
2026-07-30 09:22:00-04:00,3.25,3.26,3.24,3.2406,0
2026-07-30 09:23:00-04:00,3.243,3.26,3.2406,3.2505,0
2026-07-30 09:24:00-04:00,3.2595,3.26,3.25,3.2505,0
2026-07-30 09:25:00-04:00,3.29,3.32,3.26,3.2605,0
2026-07-30 09:26:00-04:00,3.27,3.27,3.26,3.2605,0
2026-07-30 09:27:00-04:00,3.2605,3.37,3.2605,3.2995,0
2026-07-30 09:28:00-04:00,3.37,3.4,3.3603,3.38,0
2026-07-30 09:29:00-04:00,3.38,3.44,3.36,3.4205,0
2026-07-30 09:30:00-04:00,3.424999952316284,3.7799999713897705,3.424999952316284,3.555000066757202,5978897
