
== NQ 1m  bars=1,585,002  sessions=4,126  (2s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)      46887  31.8   0.82    -598,357   598,586  -1.00 |    -521,981   0.82 |     -76,377   0.85  0/17
zero-cross exit                     39013  32.2   0.85    -692,929   694,174  -1.00 |    -536,622   0.87 |    -156,306   0.79  0/17
flip exit (opposite fire)           26248  28.4   0.89    -448,713   451,434  -0.99 |    -340,498   0.91 |    -108,214   0.84  2/15
fade 2 bars                         45665  34.5   0.84    -630,850   630,794  -1.00 |    -546,744   0.83 |     -84,106   0.86  0/17
min 6-bar squeeze                   22846  31.9   0.83    -303,481   303,918  -1.00 |    -242,725   0.83 |     -60,756   0.78  0/17
tight squeeze kc 2.0                52304  32.0   0.82    -673,027   677,919  -0.99 |    -601,519   0.82 |     -71,508   0.88  1/16
wide stop 3 ATR                     46838  32.0   0.82    -617,536   617,765  -1.00 |    -538,994   0.81 |     -78,542   0.85  0/17
long only                           24364  33.0   0.82    -291,866   295,333  -0.99 |    -257,866   0.82 |     -34,000   0.87  1/16
short only                          22526  30.5   0.82    -306,960   313,249  -0.98 |    -264,583   0.82 |     -42,377   0.83  1/16

== NQ 2m  bars=792,471  sessions=4,126  (1s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)      23492  34.2   0.91    -198,350   222,094  -0.89 |    -187,538   0.90 |     -10,811   0.97  2/15
zero-cross exit                     19665  34.3   0.94    -188,194   199,807  -0.94 |    -166,196   0.94 |     -21,998   0.96  3/14
flip exit (opposite fire)           13743  31.0   0.96    -127,695   153,870  -0.83 |    -128,562   0.95 |         867   1.00  4/13
fade 2 bars                         22938  36.9   0.92    -209,472   223,292  -0.94 |    -199,676   0.91 |      -9,796   0.97  2/15
min 6-bar squeeze                   11663  34.0   0.92     -92,656   114,225  -0.81 |     -93,420   0.90 |         764   1.00  1/16
tight squeeze kc 2.0                25514  34.6   0.93    -177,258   210,770  -0.84 |    -138,374   0.93 |     -38,883   0.90  2/15
wide stop 3 ATR                     23472  34.4   0.91    -197,863   222,300  -0.89 |    -189,320   0.90 |      -8,543   0.98  2/15
long only                           12410  35.1   0.87    -143,623   146,133  -0.98 |    -132,219   0.86 |     -11,404   0.93  1/16
short only                          11086  33.2   0.95     -55,069    91,839  -0.60 |     -55,662   0.94 |         593   1.00  2/15

== NQ 5m  bars=317,044  sessions=4,126  (0s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)       9053  37.3   1.02      21,240    95,521   0.22 |         756   1.00 |      20,484   1.11  6/11
zero-cross exit                      7730  36.9   1.00      -1,718    68,595  -0.03 |     -10,912   0.99 |       9,194   1.03  3/14
