TTM SQUEEZE ROUND 2 (mechanism variants) - window 2010-06-07..2026-06-30, LB from 2025-07-01

== NQ 15m  bars=105,665  sessions=4,126
variant                            trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
control: Carter kc2.0                2974  42.8   1.04      30,836    56,486   0.55 |      54,263   1.08 |     -23,427   0.83  6/11
fade the fire (inverse)              2456  43.7   0.97     -12,393    54,859  -0.23 |     -24,698   0.93 |      12,305   1.21  5/12
fade the fire, tight kc2.0           2956  45.8   0.96     -20,951    53,893  -0.39 |     -35,707   0.92 |      14,756   1.18  6/11
slope direction                      2474  39.0   1.08      58,679    42,370   1.38 |      49,348   1.08 |       9,331   1.09  7/10
confirm 2 bars strengthening         1555  40.9   1.06      27,149    36,233   0.75 |      23,295   1.07 |       3,854   1.05  8/9 
range-break stop entry               1878  39.5   1.05      27,989    29,584   0.95 |      34,638   1.08 |      -6,649   0.93 11/6 
range-break + ride exit              1792  44.1   1.03      24,642    44,727   0.55 |      44,526   1.07 |     -19,885   0.84 10/7 
range-break + 1x range target        1830  51.2   0.98     -15,805    53,626  -0.29 |     -10,706   0.98 |      -5,099   0.96  8/9 
range-break + 2x range target        1804  45.6   1.01       6,862    49,346   0.14 |      31,397   1.05 |     -24,535   0.80  9/8 
trend gate (200 EMA side)            1575  39.7   1.00      -1,414    41,782  -0.03 |      13,168   1.04 |     -14,582   0.80  7/10
trend gate + kc2.0                   2056  44.3   1.08      45,674    45,687   1.00 |      70,143   1.15 |     -24,469   0.76  9/8 
morning fires only                   1437  40.4   1.05      21,452    22,288   0.96 |      12,011   1.03 |       9,441   1.12  8/9 
daily-squeeze MTF gate                227  37.0   1.21      11,453     9,229   1.24 |      13,134   1.37 |      -1,681   0.91  8/8 
ride exit (stop/EOD only)            2306  43.8   1.03      28,622    52,635   0.54 |      36,149   1.04 |      -7,527   0.95 10/7 
long squeeze only (min 12)            487  37.0   1.06       8,222    12,970   0.63 |      17,292   1.16 |      -9,071   0.67  8/9 
long squeeze 12 + ride                487  44.8   1.17      31,976    20,700   1.54 |      32,452   1.22 |        -476   0.99 10/7 

== NQ 30m  bars=52,860  sessions=4,126
variant                            trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
control: Carter kc2.0                1338  48.9   1.21      87,062    21,084   4.13 |      72,725   1.21 |      14,337   1.22 11/6 
fade the fire (inverse)              1020  45.4   0.86     -34,003    40,978  -0.83 |     -20,199   0.90 |     -13,804   0.65  4/13
fade the fire, tight kc2.0           1336  43.9   1.08      18,915    14,564   1.30 |      14,053   1.07 |       4,862   1.13  8/9 
slope direction                      1027  45.4   1.19      67,589    44,259   1.53 |      81,814   1.27 |     -14,225   0.76  8/9 
confirm 2 bars strengthening          620  46.1   1.00         457    33,302   0.01 |       7,971   1.04 |      -7,514   0.73  5/12
range-break stop entry                762  47.0   1.14      36,720    47,124   0.78 |      56,712   1.27 |     -19,992   0.63 10/7 
range-break + ride exit               756  50.3   1.04      13,393    55,537   0.24 |      43,951   1.16 |     -30,559   0.54  7/10
range-break + 1x range target         758  53.4   1.00      -1,154    47,582  -0.02 |      26,440   1.10 |     -27,594   0.57  8/9 
range-break + 2x range target         756  51.6   1.06      19,748    49,852   0.40 |      48,656   1.18 |     -28,909   0.56  9/8 
trend gate (200 EMA side)             630  48.7   1.30      60,747    23,724   2.56 |      63,013   1.37 |      -2,266   0.93 13/4 
trend gate + kc2.0                    920  50.2   1.34      92,004    24,847   3.70 |      90,528   1.41 |       1,476   1.03 13/4 
morning fires only                    600  47.7   1.21      43,700    27,834   1.57 |      55,406   1.32 |     -11,706   0.70 10/7 
daily-squeeze MTF gate                 88  46.6   1.07       2,110    11,140   0.19 |       5,933   1.29 |      -3,822   0.67  7/9 
ride exit (stop/EOD only)            1011  50.3   1.07      31,461    51,489   0.61 |      29,913   1.08 |       1,547   1.03  9/8 
long squeeze only (min 12)            190  41.1   0.98      -1,014    24,283  -0.04 |       7,269   1.14 |      -8,284   0.34  8/9 
long squeeze 12 + ride                190  51.1   1.14       9,993    19,776   0.51 |       7,401   1.12 |       2,591   1.31  9/8 

== NQ 60m  bars=28,468  sessions=4,126
variant                            trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
control: Carter kc2.0                 459  51.9   1.18      32,978    26,828   1.23 |      29,671   1.20 |       3,307   1.10 12/5 
fade the fire (inverse)               315  44.8   1.11       9,095    10,383   0.88 |       9,745   1.14 |        -650   0.95  8/9 
fade the fire, tight kc2.0            458  42.1   0.85     -18,053    25,753  -0.70 |     -22,560   0.79 |       4,507   1.30  6/11
slope direction                       313  46.0   1.27      34,308    29,238   1.17 |      17,365   1.16 |      16,943   1.84  8/9 
confirm 2 bars strengthening          237  46.8   0.95      -4,741    23,424  -0.20 |       2,596   1.03 |      -7,338   0.70 10/7 
range-break stop entry                252  48.8   1.30      29,479    18,731   1.57 |      11,975   1.15 |      17,505   1.99 11/6 
range-break + ride exit               252  53.2   1.43      41,150    12,214   3.37 |      20,825   1.26 |      20,325   2.32 11/6 
range-break + 1x range target         252  56.0   1.33      30,858    13,241   2.33 |      13,019   1.16 |      17,840   2.20 10/7 
range-break + 2x range target         252  53.6   1.45      43,305    12,309   3.52 |      23,555   1.29 |      19,750   2.28 11/6 
