TTM SQUEEZE ROUND 3 (daily swing, roll-seam guarded) - window 2010-06-07..2026-06-30, LB from 2025-07-01

== NQ DAILY  sessions=4,126
variant                        trades   WR%   hold     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published daily (fade, 2 ATR)      84  42.9    4.8   0.45     -99,150   101,622  -0.98 |     -58,871   0.57 |     -40,279   0.05  5/11
zero-cross exit                    76  31.6   12.1   0.43    -167,755   185,878  -0.90 |     -81,834   0.60 |     -85,921   0.00  5/11
ride (stop only)                   64  32.8   18.8   1.15      37,361   100,324   0.37 |     111,422   1.65 |     -74,061   0.09  6/10
ride, wide 3 ATR stop              52  46.2   31.9   1.74     154,961    92,518   1.67 |     211,744   2.55 |     -56,784   0.21  8/8 
min 6-day squeeze                  29  41.4    5.3   0.59     -20,956    35,620  -0.59 |       3,261   1.12 |     -24,217   0.00  6/9 
min 6-day + ride                   28  28.6   14.5   0.30     -98,818    97,628  -1.01 |     -40,121   0.51 |     -58,697   0.00  3/12
tight squeeze kc 2.0              133  39.8    4.7   0.44    -161,130   168,510  -0.96 |    -107,637   0.52 |     -53,493   0.19  5/12
kc 2.0 + ride                      91  34.1   22.2   0.85     -55,845   124,721  -0.45 |     -62,376   0.81 |       6,532   1.16  8/9 
long only                          48  50.0    6.0   0.51     -51,526    77,449  -0.67 |     -25,768   0.67 |     -25,758   0.07 10/6 
long only + ride                   40  37.5   19.9   1.03       5,723    70,154   0.08 |      56,112   1.44 |     -50,390   0.00  8/8 
short only                         36  33.3    3.2   0.35     -47,624    49,712  -0.96 |     -33,103   0.44 |     -14,521   0.00  5/9 
faster length 14                  186  35.5    3.7   0.54    -139,797   142,427  -0.98 |     -98,381   0.60 |     -41,417   0.21  3/14

== ES DAILY  sessions=4,126
variant                        trades   WR%   hold     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published daily (fade, 2 ATR)      92  44.6    5.1   0.90     -10,464    30,499  -0.34 |         674   1.01 |     -11,138   0.37  8/9 
zero-cross exit                    83  47.0   12.1   0.79     -30,306    39,264  -0.77 |     -10,404   0.91 |     -19,903   0.25  8/9 
ride (stop only)                   61  34.4   22.5   1.11      15,663    36,595   0.43 |      32,897   1.26 |     -17,234   0.08  7/10
ride, wide 3 ATR stop              54  44.4   28.7   1.34      45,487    38,055   1.20 |      53,236   1.46 |      -7,749   0.62  9/8 
min 6-day squeeze                  23  43.5    6.9   1.30       6,181     6,381   0.97 |      12,562   1.87 |      -6,381   0.00  5/6 
min 6-day + ride                   21  33.3   19.5   1.12       3,991    10,348   0.39 |      11,745   1.44 |      -7,753   0.00  4/7 
tight squeeze kc 2.0              156  44.9    4.7   0.73     -52,630    68,620  -0.77 |     -51,168   0.70 |      -1,462   0.94  6/11
kc 2.0 + ride                      92  34.8   26.1   1.26      56,816    31,611   1.80 |      30,070   1.15 |      26,746   1.98  9/7 
long only                          60  55.0    5.8   1.06       3,899    31,501   0.12 |      11,055   1.22 |      -7,157   0.48 11/6 
long only + ride                   40  47.5   26.7   1.27      27,262    36,963   0.74 |      44,495   1.54 |     -17,234   0.08  9/8 
short only                         32  25.0    3.9   0.65     -14,362    23,109  -0.62 |     -10,381   0.72 |      -3,981   0.00  3/11
faster length 14                  193  34.7    3.9   0.57    -102,417   105,011  -0.98 |     -79,649   0.61 |     -22,768   0.33  4/13
