TTM SQUEEZE ROUND 4 (higher-TF verification of shorter-TF entries) - window 2010-06-07..2026-06-30, LB from 2025-07-01

== NQ base 5m  bars=317,044
entry      HTF gate         trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
carter     none               9053  37.2   1.01      16,730    97,828   0.17 |      -3,681   1.00 |      20,411   1.10  6/11
carter     60m sign           4709  37.1   0.98     -13,461    72,682  -0.19 |     -23,746   0.96 |      10,285   1.10  4/13
carter     60m rising         2470  37.6   0.96     -12,746    37,356  -0.34 |     -11,218   0.96 |      -1,528   0.97  6/11
carter     120m sign          4751  37.4   1.01       4,919    70,301   0.07 |     -31,283   0.94 |      36,202   1.43  5/12
carter     daily sign         4693  37.7   0.95     -32,402    65,722  -0.49 |     -46,243   0.92 |      13,841   1.15  6/11
carter     60m squeeze on     1133  41.7   1.50      69,037    11,077   6.23 |      69,358   1.61 |        -321   0.99 11/6 
carter     60m fired<=3        432  39.4   0.95      -3,384    16,545  -0.20 |      -5,507   0.89 |       2,123   1.20  9/8 
carter     60m+120m stack     3621  37.0   0.95     -22,855    57,347  -0.40 |     -47,261   0.89 |      24,406   1.35  4/13
break      none               5059  35.6   1.05      87,239    63,729   1.37 |      65,521   1.05 |      21,718   1.10  7/10
break      60m sign           2987  35.8   1.03      31,219    78,997   0.40 |      -9,113   0.99 |      40,332   1.32  7/10
break      60m rising         1622  36.1   1.03      14,734    52,285   0.28 |      -8,320   0.98 |      23,055   1.33  4/13
break      120m sign          2985  36.8   1.07      60,883    67,149   0.91 |      13,091   1.02 |      47,792   1.41  7/10
break      daily sign         2967  36.9   0.98     -22,392    69,490  -0.32 |     -28,845   0.97 |       6,452   1.05  6/11
break      60m squeeze on      737  38.4   1.62     122,176    32,078   3.81 |     118,999   1.74 |       3,177   1.09 12/5 
break      60m fired<=3        298  36.6   1.33      29,773    22,956   1.30 |       9,050   1.11 |      20,722   4.03 13/4 
break      60m+120m stack     2300  35.7   0.98     -12,581    76,588  -0.16 |     -50,768   0.92 |      38,187   1.42  6/11

== NQ base 15m  bars=105,665
