config,bar,registered_master,resampled,n,net,pf,win_pct,maxdd,mar_annualised,ev_r,r_per_yr,pos_years,n_years,dollars_per_trade,two_x_cost,net_ex10,ev_r_ex10,r_per_yr_ex10,era_2010_2017,tier2,tier1,d_evr_pct,d_ryr_pct,lb_end,lb_n,lb_net,lb_pf,lb_ev_r,lb_r_per_yr,note
C1 #305 best,1m,True,False,9142,283398.51,1.2638,31.22,17572.79,1.099,0.1814,112.98,10,16,31.0,21.32,205450.11,0.1317,81.9,-2189.62,NEAR-MISS,"no (EV R 17% of the 1.070/92.6 cross-family bar, R/YR 122%)",-45.02,47.3,2026-06-30,668,19361.89,1.0721,0.0469,22.73,
C1 #305 best,2m,True,False,5792,322187.48,1.3724,34.31,15187.58,1.445,0.2447,96.52,14,16,55.63,21.32,247524.08,0.1883,74.16,15472.14,NEAR-MISS,"no (EV R 23% of the 1.070/92.6 cross-family bar, R/YR 104%)",-25.86,25.85,2026-07-16,442,17752.66,1.0754,0.0471,14.61,
C1 #305 best,3m,False,True,4537,334388.04,1.4361,36.37,17720.15,1.285,0.2775,85.76,14,16,73.7,21.32,259459.64,0.2158,66.55,15020.76,NEAR-MISS,"no (EV R 26% of the 1.070/92.6 cross-family bar, R/YR 93%)",-15.91,11.82,2026-06-30,343,22067.61,1.112,0.0728,18.1,
C1 #305 best,5m,True,False,3407,346198.74,1.5403,38.86,11615.15,2.03,0.3303,76.66,14,16,101.61,21.32,276380.34,0.2645,61.2,20668.91,INCUMBENT (base bar size),"no (EV R 31% of the 1.070/92.6 cross-family bar, R/YR 83%)",0.0,0.0,2026-08-12,289,24553.11,1.1241,0.076,14.66,
C1 #305 best,10m,False,True,2368,253257.58,1.4883,41.85,14272.81,1.209,0.2839,45.8,13,16,106.95,21.32,190564.18,0.2145,34.46,21307.18,DEAD,"no (EV R 27% of the 1.070/92.6 cross-family bar, R/YR 49%)",-13.96,-40.29,2026-08-12,187,54882.95,1.4372,0.2361,29.48,
C1 #305 best,15m,True,False,1902,214069.77,1.4861,43.9,12303.12,1.185,0.2727,35.33,14,16,112.55,21.32,161806.37,0.2072,26.7,20476.49,DEAD,"no (EV R 25% of the 1.070/92.6 cross-family bar, R/YR 38%)",-17.37,-53.94,2026-06-30,144,30901.88,1.3273,0.1796,18.74,
C2 #305 plateau,1m,True,False,3103,291797.02,1.5898,37.13,10721.88,1.854,0.3708,78.39,13,16,94.04,21.32,215583.62,0.2749,57.91,22776.08,NEAR-MISS,"no (EV R 35% of the 1.070/92.6 cross-family bar, R/YR 85%)",12.38,2.2,2026-06-30,346,16211.64,1.1129,0.0714,17.91,
C2 #305 plateau,2m,True,False,2105,273215.7,1.6885,40.0,9903.58,1.879,0.4131,59.24,13,16,129.79,21.32,200362.3,0.3044,43.44,22561.36,NEAR-MISS,"no (EV R 39% of the 1.070/92.6 cross-family bar, R/YR 64%)",25.19,-22.77,2026-07-16,218,18016.12,1.1509,0.0955,14.62,
C2 #305 plateau,3m,False,True,1707,227438.38,1.6278,40.19,13244.9,1.17,0.3755,43.66,14,16,133.24,21.32,162349.98,0.2696,31.17,20261.66,NEAR-MISS,"no (EV R 35% of the 1.070/92.6 cross-family bar, R/YR 47%)",13.79,-43.07,2026-06-30,161,21368.74,1.2272,0.1425,16.63,
C2 #305 plateau,5m,True,False,1257,191330.38,1.6335,43.12,12502.72,1.042,0.3603,30.85,14,16,152.21,21.32,133426.98,0.2533,21.52,20933.64,INCUMBENT (base bar size),"no (EV R 34% of the 1.070/92.6 cross-family bar, R/YR 33%)",0.0,0.0,2026-08-12,113,8670.42,1.1007,0.0615,4.64,
C2 #305 plateau,10m,False,True,656,67577.04,1.35,42.07,13386.12,0.344,0.2027,9.06,10,16,103.01,21.32,16858.64,0.0514,2.26,11155.22,DEAD,"no (EV R 19% of the 1.070/92.6 cross-family bar, R/YR 10%)",-38.57,-88.19,2026-08-12,59,-3353.94,0.938,-0.0399,-1.57,
C2 #305 plateau,15m,True,False,0,,,,,,,,,,,,,,,,NOT MEASURABLE (0 trades),NOT MEASURABLE,,,,,,,,,"window='afternoon_block' blocks the last 26 BARS of a session and this bar size gives only 26 bars/session, so no entry bar exists. Structural, not a performance failure."
C3 #243 card,1m,True,False,9390,271361.96,1.2628,29.73,15407.82,1.2,0.1846,118.1,11,16,28.9,21.32,190793.56,0.13,83.03,-5275.15,NEAR-MISS,"no (EV R 17% of the 1.070/92.6 cross-family bar, R/YR 128%)",-44.05,53.97,2026-06-30,796,31715.46,1.1161,0.0751,43.34,
C3 #243 card,2m,True,False,6329,316570.69,1.3536,32.83,11568.6,1.864,0.2375,102.38,13,16,50.02,21.32,236797.29,0.1779,76.58,12104.65,NEAR-MISS,"no (EV R 22% of the 1.070/92.6 cross-family bar, R/YR 111%)",-28.04,33.48,2026-07-16,546,45607.13,1.1924,0.1219,46.77,
C3 #243 card,3m,False,True,5149,325270.72,1.3896,33.91,12322.66,1.798,0.2575,90.3,12,16,63.17,21.32,246977.32,0.1959,68.57,13775.95,NEAR-MISS,"no (EV R 24% of the 1.070/92.6 cross-family bar, R/YR 98%)",-21.98,17.73,2026-06-30,428,54813.17,1.2672,0.1705,52.87,
C3 #243 card,5m,True,False,4054,320130.25,1.4201,36.41,18424.69,1.184,0.2671,73.77,14,16,78.97,21.32,246091.85,0.2059,56.71,19303.17,INCUMBENT (base bar size),"no (EV R 25% of the 1.070/92.6 cross-family bar, R/YR 80%)",0.0,0.0,2026-08-12,349,40647.86,1.1915,0.1196,27.87,
C3 #243 card,10m,False,True,3050,305805.1,1.4714,39.67,12210.73,1.706,0.2844,59.09,13,16,100.26,21.32,231926.7,0.2164,44.81,16775.67,DEAD,"no (EV R 27% of the 1.070/92.6 cross-family bar, R/YR 64%)",-13.82,-22.96,2026-08-12,256,9531.59,1.0484,0.0299,5.11,
C3 #243 card,15m,True,False,2536,306986.55,1.5331,41.17,10523.86,1.987,0.3136,54.18,13,16,121.05,21.32,236658.15,0.2427,41.77,24033.14,DEAD,"no (EV R 29% of the 1.070/92.6 cross-family bar, R/YR 59%)",-4.96,-29.36,2026-06-30,216,25484.22,1.1569,0.0922,14.44,
