concept,cell,n,net,pf,dd,mar,note
RSI2,thr5/long,54,1549.3600000000006,1.0209626337562587,45091.979999999996,0.03435999040184087,floor n>=150
RSI2,thr5/both,69,17184.460000000003,1.1975039134242518,46677.64,0.36815186029113733,floor n>=150
RSI2,thr10/long,109,47708.06000000001,1.4022180135574311,33285.659999999996,1.4332916937804454,floor n>=150
RSI2,thr10/both,138,51708.92000000001,1.30608821041503,43516.979999999996,1.1882469785357352,floor n>=150
DBL7,7d/long,132,119767.87999999999,1.7029480438423847,31610.660000000003,3.7888446492417422,floor n>=150
DBL7,7d/both,158,43865.720000000016,1.1454440149037801,50626.97999999999,0.8664494702231899,floor n>=150
DONCH,20/10,97,99515.98000000004,1.3624166475411816,31487.640000000014,3.1604775715169504,floor n>=150
DONCH,55/20,46,76339.63999999998,1.4582774641204392,62968.30000000002,1.2123503413622405,floor n>=150
PB20,ema20/long,168,150654.12,1.8794836238381245,32855.66,4.585332329345993,floor n>=150
PB20,ema20/both,205,154144.69999999998,1.5388683382798598,55922.640000000014,2.7563916868016234,floor n>=150
GAPGO,gap0.3%,1505,-51003.29999999993,0.9542983729965236,75628.46000000008,-0.6743929467822017,floor n>=300
GAPGO,gap0.5%,758,-27990.279999999966,0.9566804554229943,78484.18000000005,-0.3566359487988528,floor n>=300
R1030,noon/thr0.0,3818,-205634.8799999999,0.8611388842508413,208941.04000000635,-0.9841765887639577,floor n>=300
R1030,noon/thr0.3,1067,-110254.21999999997,0.7752316330296267,118203.76000000126,-0.9327471478064555,floor n>=300
R1030,close/thr0.0,3818,-293644.8799999999,0.8720207209670708,302341.8400000091,-0.9712346792623576,floor n>=300
R1030,close/thr0.3,1067,-149149.21999999994,0.7957032840618854,161108.1200000006,-0.9257709667271853,floor n>=300
