ticker,cell,n,net,pf,dd,mar
GLD,RSI2/long,121,44945,1.667,17194,2.61
GLD,RSI2/both,186,31876,1.252,26307,1.21
GLD,DBL7/long,160,135185,2.328,27514,4.91
GLD,DONCH/20-10,149,1889,1.008,40557,0.05
GLD,PB20/long,219,59570,1.414,31966,1.86
GLD,PB20/both,322,60717,1.251,39123,1.55
TLT,RSI2/long,108,22909,1.495,5377,4.26
TLT,RSI2/both,190,34020,1.395,9130,3.73
TLT,DBL7/long,144,50736,1.516,11226,4.52
TLT,DONCH/20-10,149,40784,1.216,16976,2.4
TLT,PB20/long,208,30690,1.259,19962,1.54
TLT,PB20/both,328,25806,1.124,35785,0.72
IWM,RSI2/long,131,38120,1.393,19056,2.0
IWM,RSI2/both,196,99233,1.715,15145,6.55
IWM,DBL7/long,178,71057,1.432,42957,1.65
IWM,DONCH/20-10,151,-80654,0.771,92069,-0.88
IWM,PB20/long,240,44588,1.185,45300,0.98
IWM,PB20/both,328,10874,1.027,63276,0.17
USO,RSI2/long,93,30132,1.278,35209,0.86
USO,RSI2/both,200,45817,1.192,46254,0.99
USO,DBL7/long,121,55356,1.296,77473,0.71
USO,DONCH/20-10,148,49665,1.097,110679,0.45
USO,PB20/long,151,-65821,0.777,90795,-0.72
USO,PB20/both,292,-53132,0.906,120050,-0.44
QQQ,RSI2/long,155,70913,1.954,9249,7.67
QQQ,RSI2/both,191,88000,1.803,16421,5.36
QQQ,DBL7/long,195,110033,1.642,45523,2.42
QQQ,DONCH/20-10,144,-18925,0.942,110404,-0.17
QQQ,PB20/long,251,94341,1.452,25328,3.72
QQQ,PB20/both,305,63612,1.197,40565,1.57
