fam,cell,n,net,pf,dd,mar,floor
A-ORB,asia/or10,3447,-64429,0.857,89842,-0.72,300
A-ORB,asia/or15,3407,-68336,0.856,92990,-0.73,300
A-ORB,london/or10,3583,-76486,0.839,76433,-1.0,300
A-ORB,london/or15,3555,-98886,0.819,98833,-1.0,300
B-SMASH,long/1d,198,30634,1.354,12158,2.52,150
B-SMASH,long/3d,196,-584,0.998,53977,-0.01,150
B-SMASH,short/1d,55,1394,1.025,12324,0.11,150
B-SMASH,short/3d,55,71244,1.687,26077,2.73,150
B-CAP,buy/2d,206,60124,1.273,43275,1.39,150
B-CAP,buy/5d,194,238892,1.81,60265,3.96,150
C-SEG,16-18/up,2882,2958,1.01,17422,0.17,300
C-SEG,16-18/all,3501,-12366,0.969,27790,-0.44,300
C-SEG,18-24/up,2969,41700,1.077,32053,1.3,300
C-SEG,18-24/all,3604,41746,1.054,47485,0.88,300
C-SEG,00-03/up,2969,-2120,0.994,26805,-0.08,300
C-SEG,00-03/all,3604,42311,1.085,42616,0.99,300
C-SEG,03-06/up,2969,-26915,0.95,36314,-0.74,300
C-SEG,03-06/all,3604,-7414,0.99,32744,-0.23,300
C-SEG,06-0930/up,2972,11038,1.018,46648,0.24,300
C-SEG,06-0930/all,3611,-70293,0.924,98970,-0.71,300
