run,famKey,strategy,instrument,timeframe,verdict,source,stretch,n,years,pf,win_pct,evr,ryr,net,dd,wf_years_src,params
137,ORB,ORB_SIMPLE_1_0.py,NQ,5m,PASS,champion,pre,2698,14.56,1.395,47.8,0.206,38.2,190544,18168,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""flat_eod"": false, ""or_bars"": 1, ""stop_frac"": 1.75, ""target_R"": 4.5, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
143,ENGU-Q,ENGUQ_5M_1_0.py,ES,5m,PASS,champion,pre,310,15.06,3.335,31.3,1.604,33.0,215779,16614,optimize window,"{""buf_atr"": 0.15, ""ema_len"": 260, ""tl_len"": 27, ""stop_mult"": 0.9, ""trail_frac"": 3.0, ""min_brk"": 0.2, ""vol_mult"": 0.9, ""atr_len"": 11, ""act_R"": 3.0}"
144,ENGU-Q,ENGUQ_1M_1_0.py,ES,1m,PASS,champion,pre,457,15.06,2.112,35.0,0.723,21.9,216293,14192,optimize window,"{""buf_atr"": 0.85, ""ema_len"": 330, ""tl_len"": 64, ""stop_mult"": 1.7, ""trail_frac"": 3.5, ""min_brk"": 2.1, ""vol_mult"": 1.6, ""atr_len"": 14, ""act_R"": 1.0}"
146,ENGU-Q,ENGUQ_5M_1_0.py,NQ,5m,PASS,champion,pre,519,15.06,2.084,39.3,0.658,22.7,294615,22672,optimize window,"{""buf_atr"": 0.35, ""ema_len"": 30, ""tl_len"": 24, ""stop_mult"": 1.7, ""trail_frac"": 2.5, ""min_brk"": 0.7, ""vol_mult"": 1.2, ""atr_len"": 47, ""act_R"": 1.0}"
149,ENGU-Q,ENGUQ_1M_1_0.py,NQ,1m,PASS,champion,pre,1149,15.06,2.101,35.4,0.711,54.2,358219,26997,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 390, ""tl_len"": 48, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 30, ""act_R"": 2.5}"
152,ENGU-Q,ENGUQ_1M_1_0.py,NQ,1m,PASS,champion,pre,1154,15.06,1.756,37.3,0.474,36.3,234172,10827,optimize window,"{""buf_atr"": 0.85, ""ema_len"": 180, ""tl_len"": 73, ""stop_mult"": 1.1, ""trail_frac"": 2.0, ""regime_len"": 65, ""min_brk"": 1.7, ""vol_mult"": 0.9, ""atr_len"": 42, ""act_R"": 0.5}"
154,ORB,ORB_3_0_BE.py,NQ,5m,PASS,champion,pre,2787,15.06,1.42,41.6,0.245,45.4,184736,15690,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""target_R"": 4.5, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
157,ORB,ORB_3_0_BEAV.py,NQ,5m,PASS,champion,pre,2702,15.06,1.397,43.5,0.225,40.3,174480,14001,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 3, ""be_after_R"": 1.0, ""stop_frac"": 1.25, ""target_R"": 3.5, ""trade_mode"": ""Both"", ""atr_filter"": 0.2}"
158,ENGU-Q,ENGUQ_1M_1_0.py,NQ,1m,FAIL,champion,pre,431,15.06,2.071,23.7,0.818,23.4,154525,12457,optimize window,"{""buf_atr"": 0.3, ""vol_mult"": 1.0, ""ema_len"": 270, ""tl_len"": 45, ""stop_mult"": 1.6, ""trail_frac"": 4.0, ""regime_len"": 25, ""min_brk"": 2.7, ""breakeven_R"": 1.5, ""atr_len"": 8, ""act_R"": 1.5}"
161,TTIBS,TTIBS_1_0.py,NQ,5m,PASS,champion,pre,469,14.56,1.967,68.4,0.305,9.8,241965,17933,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 7, ""mon_drop"": 0.01, ""ibs_entry"": 0.4, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
