label,n,net,pf,dd,mar,win,evr,ryr,tpy,folds8,sh,so,avl
LEADER,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
er_len=20,1796,223323,1.694,39486,5.66,8.0,0.638,76.1,119.2,6,0.55,4.16,195
er_len=40,370,145743,2.464,23167,6.29,11.6,1.294,31.8,24.6,6,0.52,4.0,304
er_th=0.45,1192,250395,2.055,26028,9.62,8.5,0.966,76.4,79.1,7,0.62,5.12,218
limit_atr=0.3,834,253052,2.498,17717,14.28,9.7,1.353,74.9,55.4,7,0.67,6.07,224
limit_atr=0.4,826,258385,2.572,17043,15.16,9.7,1.42,77.9,54.8,7,0.68,6.31,220
tl_len=194,864,223280,2.283,16287,13.71,10.3,1.151,66.0,57.4,7,0.7,5.33,225
tl_len=202,838,254323,2.505,18562,13.7,9.8,1.358,75.6,55.6,7,0.67,6.12,223
vol_mult=0.3,842,256853,2.539,17583,14.61,9.7,1.389,77.7,55.9,7,0.67,6.25,220
vol_mult=0.5,826,258236,2.563,17583,14.69,9.9,1.408,77.2,54.8,7,0.68,6.3,222
stop_mult=0.3,904,249325,2.698,17089,14.59,8.2,1.559,93.5,60.0,6,0.66,7.65,177
stop_mult=0.5,765,269380,2.506,20455,13.17,11.1,1.338,68.0,50.8,7,0.7,5.58,263
act_R=0.5,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
act_R=1.5,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
trail_frac=3.5,919,223486,2.162,20861,10.71,10.3,1.042,63.6,61.0,7,0.61,4.99,233
buf_atr=0.8,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
buf_atr=0.9,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
min_brk=0.2,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
min_brk=0.4,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,7,0.68,6.27,221
ema_len=1260,832,255976,2.529,17568,14.57,9.9,1.378,76.1,55.2,7,0.67,6.18,223
ema_len=1340,834,255686,2.525,17583,14.54,9.7,1.377,76.2,55.4,7,0.67,6.2,223
atr_len=132,834,257537,2.552,17592,14.64,9.8,1.4,77.5,55.4,7,0.68,6.27,221
atr_len=140,836,257366,2.55,17576,14.64,9.8,1.398,77.6,55.5,7,0.68,6.27,220
regime_len=80,839,256611,2.517,17583,14.59,10.0,1.365,76.1,55.7,7,0.67,6.17,224
regime_len=90,821,269895,2.682,17583,15.35,10.1,1.512,82.4,54.5,7,0.71,6.8,217
breakeven_R=0.5,887,234842,2.697,16063,14.62,7.8,1.565,92.1,58.9,7,0.63,6.39,169
breakeven_R=1.5,805,253679,2.398,19115,13.27,11.2,1.242,66.4,53.4,7,0.66,5.91,254
