label,n,net,pf,dd,mar,win,evr,ryr,tpy,folds8,sh,so,avl
LEADER,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,7,0.93,3.17,95
lookback=23,5531,143479,1.321,18986,7.56,14.2,0.275,101.1,367.4,7,0.9,3.14,94
lookback=25,5435,145819,1.326,16438,8.87,14.4,0.279,100.6,361.0,7,0.92,3.13,96
band_mult_long=0.5,6565,129337,1.225,16735,7.73,12.6,0.196,85.6,436.0,6,0.74,2.49,100
band_mult_long=1.0,4819,113554,1.298,10695,10.62,15.5,0.252,80.5,320.1,7,0.8,2.63,94
band_mult_short=1.25,5991,157366,1.316,12813,12.28,13.8,0.272,108.2,397.9,6,0.92,3.23,97
band_mult_short=1.75,5182,116286,1.277,19233,6.05,14.3,0.238,81.8,344.2,7,0.8,2.64,94
exit_mode=vwap,2753,209634,1.363,13478,15.55,33.3,0.242,44.3,182.8,8,1.1,2.63,314
exit_mode=band,3342,191704,1.39,16325,11.74,25.8,0.289,64.2,222.0,8,1.09,3.11,198
side=Long Only,3745,97933,1.344,12131,8.07,14.3,0.295,73.3,248.7,6,0.84,2.82,89
side=Short Only,1803,48459,1.293,11966,4.05,14.4,0.251,30.0,119.8,5,0.45,1.6,107
window=all_day,9744,196464,1.276,23045,8.53,13.6,0.239,154.5,647.2,5,1.01,3.51,84
window=afternoon_block,7574,186814,1.327,17338,10.78,13.5,0.283,142.5,503.0,6,1.06,3.73,87
flat_eod=False,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,7,0.93,3.17,95
skip_holidays=False,5650,144386,1.314,16239,8.89,14.2,0.269,100.9,375.3,7,0.91,3.1,95
stop_mode=off,5504,161147,1.37,14661,10.99,14.5,0.317,115.8,365.6,7,1.02,3.51,92
stop_mode=atr,5504,161147,1.37,14661,10.99,14.5,0.317,115.8,365.6,7,1.02,3.51,92
stop_mode=fixed,5504,157646,1.359,14661,10.75,14.5,0.307,112.4,365.6,7,1.0,3.32,93
confirm_bars=2,3735,161109,1.421,18709,8.61,17.9,0.345,85.7,248.1,7,1.07,3.39,125
daytype_mode=skip_bot_short,5154,134453,1.323,18517,7.26,14.5,0.276,94.6,342.3,7,0.9,3.04,94
daytype_mode=skip_bot_all,4413,113187,1.327,12425,9.11,14.3,0.28,82.0,293.1,6,0.81,2.83,92
daytype_mode=skip_top_long,3905,118425,1.358,10621,11.15,14.9,0.305,79.1,259.4,7,0.85,2.9,99
daytype_mode=skip_top_all,3239,95482,1.362,11149,8.56,15.1,0.307,66.1,215.1,8,0.81,2.69,96
daytype_lo=0.2,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,7,0.93,3.17,95
daytype_lo=0.3,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,7,0.93,3.17,95
daytype_hi=0.65,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,7,0.93,3.17,95
daytype_hi=0.75,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,7,0.93,3.17,95
vol_skip_pct=81.0,5466,150881,1.34,16199,9.31,14.4,0.291,105.8,363.0,7,0.96,3.3,95
vol_skip_pct=83.0,5651,146383,1.315,16778,8.72,14.3,0.27,101.5,375.3,7,0.91,3.11,96
stop_k=0.75,5590,143579,1.316,17420,8.24,14.2,0.271,100.8,371.3,7,0.91,3.17,95
stop_k=1.25,5528,144849,1.321,17093,8.47,14.4,0.275,100.9,367.2,7,0.91,3.05,95
