rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
1,833,257557,2.553,17583,14.65,9.8,1.4,77.4,55.3,0.68,6.27,221,7,40,"{'er_len': 30, 'er_th': 0.5, 'limit_atr': 0.35, 'tl_len': 198, 'vol_mult': 0.4, 'stop_mult': 0.4, 'act_R': 1.0, 'trail_frac': 4.0, 'buf_atr': 0.85, 'min_brk': 0.3, 'ema_len': 1300, 'atr_len': 136, 'regime_len': 85, 'breakeven_R': 1.0}"
2,1741,196556,1.685,31014,6.34,7.9,0.631,72.9,115.6,0.55,3.55,179,5,18,"{'er_len': 40, 'er_th': 0.25, 'limit_atr': 0.55, 'tl_len': 274, 'vol_mult': 2.2, 'stop_mult': 0.5, 'act_R': 0.5, 'trail_frac': 3.5, 'buf_atr': 0.75, 'min_brk': 2.2, 'ema_len': 540, 'atr_len': 92, 'regime_len': 70, 'breakeven_R': 0.5}"
3,3831,254992,1.359,32884,7.75,21.4,0.282,71.8,254.3,0.83,3.25,236,7,29,"{'er_len': 60, 'er_th': 0.15, 'limit_atr': 0.55, 'tl_len': 174, 'vol_mult': 1.0, 'stop_mult': 0.4, 'act_R': 1.0, 'trail_frac': 1.5, 'buf_atr': 0.8, 'min_brk': 1.8, 'ema_len': 940, 'atr_len': 124, 'regime_len': 15, 'breakeven_R': 1.5}"
4,1081,115972,2.054,23364,4.96,7.2,0.978,70.2,71.8,0.32,4.58,110,6,38,"{'er_len': 60, 'er_th': 0.2, 'limit_atr': 0.85, 'tl_len': 58, 'vol_mult': 1.1, 'stop_mult': 0.4, 'act_R': 3.0, 'trail_frac': 4.0, 'buf_atr': 0.15, 'min_brk': 0.2, 'ema_len': 700, 'atr_len': 156, 'regime_len': 50, 'breakeven_R': 2.5}"
5,2037,273400,1.503,48135,5.68,13.2,0.437,59.1,135.2,0.6,3.04,307,6,28,"{'er_len': 20, 'er_th': 0.0, 'limit_atr': 0.7, 'tl_len': 282, 'vol_mult': 0.9, 'stop_mult': 0.6, 'act_R': 1.5, 'trail_frac': 3.5, 'buf_atr': 0.05, 'min_brk': 2.4, 'ema_len': 380, 'atr_len': 80, 'regime_len': 65, 'breakeven_R': 1.0}"
6,1903,248128,1.513,35651,6.96,12.9,0.447,56.5,126.3,0.53,3.09,292,6,19,"{'er_len': 20, 'er_th': 0.25, 'limit_atr': 0.65, 'tl_len': 286, 'vol_mult': 1.0, 'stop_mult': 0.5, 'act_R': 0.0, 'trail_frac': 3.5, 'buf_atr': 0.8, 'min_brk': 1.2, 'ema_len': 1460, 'atr_len': 136, 'regime_len': 60, 'breakeven_R': 1.5}"
7,1862,231724,1.486,38152,6.07,9.6,0.439,54.3,123.6,0.47,3.3,283,5,17,"{'er_len': 90, 'er_th': 0.05, 'limit_atr': 0.05, 'tl_len': 266, 'vol_mult': 2.2, 'stop_mult': 0.4, 'act_R': 0.5, 'trail_frac': 4.0, 'buf_atr': 0.55, 'min_brk': 0.6, 'ema_len': 460, 'atr_len': 84, 'regime_len': 25, 'breakeven_R': 0.0}"
8,1763,294757,1.533,34214,8.62,19.1,0.431,50.5,117.0,0.78,2.89,388,7,31,"{'er_len': 60, 'er_th': 0.15, 'limit_atr': 0.9, 'tl_len': 134, 'vol_mult': 1.6, 'stop_mult': 0.9, 'act_R': 3.0, 'trail_frac': 3.5, 'buf_atr': 0.8, 'min_brk': 1.4, 'ema_len': 1460, 'atr_len': 52, 'regime_len': 10, 'breakeven_R': 1.5}"
9,1274,187118,1.681,26508,7.06,13.0,0.593,50.1,84.6,0.59,3.77,248,6,33,"{'er_len': 30, 'er_th': 0.2, 'limit_atr': 0.4, 'tl_len': 250, 'vol_mult': 3.5, 'stop_mult': 0.5, 'act_R': 1.0, 'trail_frac': 4.0, 'buf_atr': 0.7, 'min_brk': 0.9, 'ema_len': 1380, 'atr_len': 48, 'regime_len': 90, 'breakeven_R': 0.0}"
10,4256,111393,1.193,29585,3.77,16.6,0.161,45.5,282.5,0.48,1.94,163,5,17,"{'er_len': 50, 'er_th': 0.15, 'limit_atr': 0.55, 'tl_len': 178, 'vol_mult': 1.9, 'stop_mult': 0.3, 'act_R': 1.5, 'trail_frac': 1.5, 'buf_atr': 0.65, 'min_brk': 1.4, 'ema_len': 460, 'atr_len': 80, 'regime_len': 30, 'breakeven_R': 3.0}"
11,1083,76626,1.627,36491,2.1,5.1,0.595,42.8,71.9,0.33,2.86,119,6,18,"{'er_len': 80, 'er_th': 0.15, 'limit_atr': 0.35, 'tl_len': 206, 'vol_mult': 3.5, 'stop_mult': 0.3, 'act_R': 0.0, 'trail_frac': 4.0, 'buf_atr': 0.75, 'min_brk': 1.8, 'ema_len': 1220, 'atr_len': 20, 'regime_len': 35, 'breakeven_R': 0.5}"
12,3507,120139,1.195,51868,2.32,12.4,0.17,39.7,232.8,0.43,1.31,201,5,23,"{'er_len': 60, 'er_th': 0.15, 'limit_atr': 0.25, 'tl_len': 262, 'vol_mult': 0.1, 'stop_mult': 0.5, 'act_R': 1.0, 'trail_frac': 2.0, 'buf_atr': 1.0, 'min_brk': 0.3, 'ema_len': 1580, 'atr_len': 108, 'regime_len': 30, 'breakeven_R': 0.5}"
13,3973,65257,1.157,46583,1.4,6.0,0.148,39.0,263.7,0.23,1.4,111,4,16,"{'er_len': 30, 'er_th': 0.15, 'limit_atr': 0.55, 'tl_len': 198, 'vol_mult': 2.9, 'stop_mult': 0.3, 'act_R': 0.5, 'trail_frac': 3.5, 'buf_atr': 0.05, 'min_brk': 1.7, 'ema_len': 860, 'atr_len': 148, 'regime_len': 0, 'breakeven_R': 0.5}"
14,1733,185066,1.416,25564,7.24,19.8,0.333,38.3,115.0,0.47,2.61,320,4,18,"{'er_len': 120, 'er_th': 0.0, 'limit_atr': 0.1, 'tl_len': 282, 'vol_mult': 3.3, 'stop_mult': 0.6, 'act_R': 1.0, 'trail_frac': 2.5, 'buf_atr': 0.6, 'min_brk': 2.9, 'ema_len': 540, 'atr_len': 64, 'regime_len': 60, 'breakeven_R': 3.0}"
15,2655,311373,1.278,50630,6.15,24.9,0.209,36.8,176.3,0.6,1.67,561,8,28,"{'er_len': 60, 'er_th': 0.0, 'limit_atr': 0.0, 'tl_len': 170, 'vol_mult': 0.8, 'stop_mult': 1.0, 'act_R': 2.5, 'trail_frac': 2.5, 'buf_atr': 0.9, 'min_brk': 1.3, 'ema_len': 1380, 'atr_len': 106, 'regime_len': 0, 'breakeven_R': 1.5}"
16,2215,100169,1.28,22822,4.39,11.7,0.247,36.3,147.0,0.38,1.91,183,6,37,"{'er_len': 20, 'er_th': 0.15, 'limit_atr': 0.15, 'tl_len': 170, 'vol_mult': 3.8, 'stop_mult': 0.5, 'act_R': 0.5, 'trail_frac': 3.5, 'buf_atr': 0.5, 'min_brk': 0.9, 'ema_len': 180, 'atr_len': 52, 'regime_len': 15, 'breakeven_R': 1.5}"
17,1667,68633,1.35,32246,2.13,9.5,0.317,35.0,110.7,0.29,2.23,130,4,18,"{'er_len': 100, 'er_th': 0.05, 'limit_atr': 0.3, 'tl_len': 82, 'vol_mult': 4.0, 'stop_mult': 0.4, 'act_R': 0.5, 'trail_frac': 4.0, 'buf_atr': 0.8, 'min_brk': 1.3, 'ema_len': 620, 'atr_len': 52, 'regime_len': 15, 'breakeven_R': 0.0}"
18,2465,160380,1.273,33190,4.83,26.0,0.202,33.0,163.6,0.6,1.89,322,6,27,"{'er_len': 80, 'er_th': 0.0, 'limit_atr': 0.75, 'tl_len': 146, 'vol_mult': 2.8, 'stop_mult': 0.9, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.4, 'min_brk': 2.3, 'ema_len': 1420, 'atr_len': 176, 'regime_len': 20, 'breakeven_R': 2.5}"
19,1505,222280,1.392,40669,5.47,19.5,0.315,31.5,99.9,0.66,1.8,468,8,17,"{'er_len': 30, 'er_th': 0.3, 'limit_atr': 0.95, 'tl_len': 118, 'vol_mult': 1.6, 'stop_mult': 1.4, 'act_R': 2.5, 'trail_frac': 4.0, 'buf_atr': 0.65, 'min_brk': 1.8, 'ema_len': 180, 'atr_len': 140, 'regime_len': 55, 'breakeven_R': 1.5}"
20,1334,310050,1.459,55676,5.57,30.6,0.318,28.2,88.6,0.68,2.28,730,7,29,"{'er_len': 30, 'er_th': 0.0, 'limit_atr': 0.85, 'tl_len': 242, 'vol_mult': 1.1, 'stop_mult': 1.0, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.0, 'min_brk': 3.0, 'ema_len': 380, 'atr_len': 32, 'regime_len': 50, 'breakeven_R': 2.5}"
21,1530,131295,1.314,26204,5.01,18.8,0.255,25.9,101.6,0.53,1.71,337,6,22,"{'er_len': 90, 'er_th': 0.15, 'limit_atr': 0.75, 'tl_len': 162, 'vol_mult': 0.2, 'stop_mult': 0.6, 'act_R': 1.0, 'trail_frac': 2.5, 'buf_atr': 0.3, 'min_brk': 1.7, 'ema_len': 1300, 'atr_len': 140, 'regime_len': 65, 'breakeven_R': 1.5}"
