rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
1,2733,205130,1.485,29542,6.94,7.2,0.45,81.7,181.4,0.59,4.03,167,7,14,"{'tl_len': 210, 'vol_mult': 0.0, 'stop_mult': 0.3, 'act_R': 0.5, 'trail_frac': 4.0, 'buf_atr': 0.35, 'min_brk': 0.1, 'ema_len': 860, 'atr_len': 128, 'regime_len': 90, 'cooldown_bars': 215, 'freeze_overnight': True, 'breakeven_R': 3.0}"
2,2115,245699,1.626,39455,6.23,11.8,0.553,77.6,140.4,0.68,4.06,210,7,16,"{'tl_len': 158, 'vol_mult': 2.0, 'stop_mult': 0.6, 'act_R': 2.5, 'trail_frac': 4.0, 'buf_atr': 0.9, 'min_brk': 1.6, 'ema_len': 1620, 'atr_len': 128, 'regime_len': 25, 'cooldown_bars': 195, 'freeze_overnight': False, 'breakeven_R': 1.5}"
3,5301,122730,1.207,44956,2.73,6.8,0.193,67.8,351.9,0.38,1.61,120,3,16,"{'tl_len': 122, 'vol_mult': 1.4, 'stop_mult': 0.7, 'act_R': 1.5, 'trail_frac': 4.0, 'buf_atr': 0.15, 'min_brk': 0.7, 'ema_len': 1620, 'atr_len': 112, 'regime_len': 40, 'cooldown_bars': 5, 'freeze_overnight': False, 'breakeven_R': 0.5}"
4,3926,232335,1.296,24502,9.48,14.4,0.253,66.0,260.6,0.72,2.95,234,6,16,"{'tl_len': 186, 'vol_mult': 0.2, 'stop_mult': 0.4, 'act_R': 1.5, 'trail_frac': 2.0, 'buf_atr': 0.4, 'min_brk': 2.9, 'ema_len': 340, 'atr_len': 48, 'regime_len': 20, 'cooldown_bars': 75, 'freeze_overnight': True, 'breakeven_R': 3.0}"
5,4349,153716,1.252,28816,5.33,12.3,0.221,63.8,288.7,0.4,1.52,160,4,15,"{'tl_len': 114, 'vol_mult': 0.4, 'stop_mult': 1.4, 'act_R': 2.0, 'trail_frac': 3.0, 'buf_atr': 0.95, 'min_brk': 1.5, 'ema_len': 300, 'atr_len': 140, 'regime_len': 90, 'cooldown_bars': 205, 'freeze_overnight': False, 'breakeven_R': 0.5}"
6,2073,165664,1.483,20368,8.13,14.1,0.415,57.1,137.6,0.56,3.36,193,6,12,"{'tl_len': 202, 'vol_mult': 3.4, 'stop_mult': 0.5, 'act_R': 3.0, 'trail_frac': 2.5, 'buf_atr': 0.05, 'min_brk': 0.7, 'ema_len': 1460, 'atr_len': 96, 'regime_len': 95, 'cooldown_bars': 215, 'freeze_overnight': False, 'breakeven_R': 2.0}"
7,4801,190581,1.211,33603,5.67,16.7,0.176,56.1,318.7,0.57,1.7,226,6,16,"{'tl_len': 78, 'vol_mult': 0.5, 'stop_mult': 1.0, 'act_R': 3.0, 'trail_frac': 3.0, 'buf_atr': 1.0, 'min_brk': 0.4, 'ema_len': 380, 'atr_len': 24, 'regime_len': 35, 'cooldown_bars': 5, 'freeze_overnight': False, 'breakeven_R': 1.0}"
8,4320,87392,1.21,47709,1.83,8.4,0.192,55.1,286.8,0.23,1.97,105,2,16,"{'tl_len': 50, 'vol_mult': 3.4, 'stop_mult': 0.4, 'act_R': 0.5, 'trail_frac': 4.0, 'buf_atr': 0.6, 'min_brk': 1.7, 'ema_len': 1380, 'atr_len': 120, 'regime_len': 0, 'cooldown_bars': 0, 'freeze_overnight': False, 'breakeven_R': 2.0}"
9,2755,196867,1.345,20645,9.54,15.4,0.292,53.4,182.9,0.71,2.4,245,6,13,"{'tl_len': 82, 'vol_mult': 1.3, 'stop_mult': 1.0, 'act_R': 3.0, 'trail_frac': 3.5, 'buf_atr': 0.45, 'min_brk': 2.7, 'ema_len': 1020, 'atr_len': 32, 'regime_len': 30, 'cooldown_bars': 140, 'freeze_overnight': True, 'breakeven_R': 1.0}"
10,2700,141206,1.321,23670,5.97,11.5,0.284,50.9,179.2,0.48,2.7,184,5,14,"{'tl_len': 182, 'vol_mult': 2.6, 'stop_mult': 0.4, 'act_R': 1.5, 'trail_frac': 3.5, 'buf_atr': 0.7, 'min_brk': 1.8, 'ema_len': 620, 'atr_len': 44, 'regime_len': 45, 'cooldown_bars': 85, 'freeze_overnight': False, 'breakeven_R': 3.0}"
11,3731,233636,1.246,37286,6.27,16.9,0.204,50.6,247.7,0.64,1.93,307,6,14,"{'tl_len': 250, 'vol_mult': 0.9, 'stop_mult': 0.8, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.75, 'min_brk': 2.6, 'ema_len': 180, 'atr_len': 112, 'regime_len': 90, 'cooldown_bars': 35, 'freeze_overnight': True, 'breakeven_R': 0.5}"
12,3484,129941,1.233,32363,4.02,11.8,0.206,47.6,231.3,0.51,1.36,181,4,13,"{'tl_len': 198, 'vol_mult': 0.5, 'stop_mult': 1.0, 'act_R': 3.0, 'trail_frac': 1.5, 'buf_atr': 0.85, 'min_brk': 1.4, 'ema_len': 940, 'atr_len': 28, 'regime_len': 90, 'cooldown_bars': 235, 'freeze_overnight': False, 'breakeven_R': 0.5}"
