rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
1,5548,146392,1.325,16345,8.96,14.3,0.279,102.6,368.5,0.93,3.17,95,7,2,"{'lookback': 24, 'band_mult_long': 0.75, 'band_mult_short': 1.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'morning', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'bandwidth', 'confirm_bars': 1, 'daytype_mode': 'off', 'daytype_lo': 0.25, 'daytype_hi': 0.7, 'vol_skip_pct': 82.0, 'stop_k': 1.0}"
2,3155,188125,1.534,14043,13.4,21.4,0.42,88.0,209.5,1.23,3.47,142,7,5,"{'lookback': 46, 'band_mult_long': 0.75, 'band_mult_short': 1.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 4, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.25, 'daytype_hi': 0.85, 'vol_skip_pct': 78.0, 'stop_k': 3.5}"
3,2721,95557,1.555,7211,13.25,14.1,0.476,86.1,180.7,0.96,3.78,74,6,2,"{'lookback': 117, 'band_mult_long': 0.75, 'band_mult_short': 2.25, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 1, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.35, 'daytype_hi': 0.95, 'vol_skip_pct': 56.0, 'stop_k': 2.75}"
4,4419,146543,1.343,18444,7.95,15.2,0.291,85.4,293.5,1.0,2.98,114,7,3,"{'lookback': 9, 'band_mult_long': 0.5, 'band_mult_short': 2.0, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.1, 'daytype_hi': 0.7, 'vol_skip_pct': 78.0, 'stop_k': 2.75}"
5,4844,125123,1.303,17002,7.36,16.1,0.254,81.7,321.7,0.81,2.7,102,5,5,"{'lookback': 16, 'band_mult_long': 1.25, 'band_mult_short': 0.75, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 2, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.25, 'daytype_hi': 0.75, 'vol_skip_pct': 63.0, 'stop_k': 1.5}"
6,2660,79525,1.518,10286,7.73,15.8,0.436,77.0,176.7,0.92,3.36,69,7,2,"{'lookback': 85, 'band_mult_long': 1.25, 'band_mult_short': 1.0, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 1, 'daytype_mode': 'off', 'daytype_lo': 0.3, 'daytype_hi': 0.6, 'vol_skip_pct': 77.0, 'stop_k': 3.25}"
7,3843,121488,1.344,13239,9.18,17.1,0.285,72.7,255.2,0.87,2.83,111,7,6,"{'lookback': 47, 'band_mult_long': 1.25, 'band_mult_short': 1.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'bandwidth', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.3, 'daytype_hi': 0.8, 'vol_skip_pct': 83.0, 'stop_k': 0.5}"
8,4251,175183,1.32,16381,10.69,19.9,0.256,72.3,282.3,0.95,2.58,161,7,6,"{'lookback': 80, 'band_mult_long': 1.25, 'band_mult_short': 1.0, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 4, 'daytype_mode': 'off', 'daytype_lo': 0.35, 'daytype_hi': 0.6, 'vol_skip_pct': 93.0, 'stop_k': 3.0}"
9,3754,168259,1.355,18605,9.04,19.2,0.287,71.5,249.3,0.95,2.59,156,5,8,"{'lookback': 108, 'band_mult_long': 0.75, 'band_mult_short': 0.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 4, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.25, 'daytype_hi': 0.9, 'vol_skip_pct': 62.0, 'stop_k': 0.75}"
10,6140,82447,1.194,29384,2.81,11.4,0.172,70.3,407.8,0.54,1.94,78,3,2,"{'lookback': 98, 'band_mult_long': 0.75, 'band_mult_short': 0.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 1, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.25, 'daytype_hi': 0.85, 'vol_skip_pct': 49.0, 'stop_k': 1.25}"
