rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
1,3025,98948,1.174,33328,2.97,17.8,0.143,28.8,200.9,0.45,0.85,228,5,1,"{'or_bars': 4, 'trade_mode': 'First-candle dir', 'stop_frac': 1.0, 'vpace_filter': 0.2, 'breakout_buf': 0.15, 'close_confirm': False, 'partial_exit_R': 2.0, 'trail_bars': 19, 'be_after_R': 0.1, 'atr_filter': 0.0, 'target_R': 5.5, 'flat_eod': False, 'skip_holidays': True}"
2,2351,171023,1.24,40725,4.2,31.9,0.163,25.5,156.1,0.67,1.35,446,6,1,"{'or_bars': 3, 'trade_mode': 'First-candle dir', 'stop_frac': 1.0, 'vpace_filter': 0.1, 'breakout_buf': 0.35, 'close_confirm': True, 'partial_exit_R': 6.0, 'trail_bars': 20, 'be_after_R': 0.6, 'atr_filter': 0.7, 'target_R': 3.5, 'flat_eod': True, 'skip_holidays': False}"
3,2170,121407,1.249,22079,5.5,28.8,0.177,25.5,144.1,0.54,0.99,316,5,1,"{'or_bars': 10, 'trade_mode': 'First-candle dir', 'stop_frac': 1.0, 'vpace_filter': 0.0, 'breakout_buf': 0.25, 'close_confirm': False, 'partial_exit_R': 4.5, 'trail_bars': 11, 'be_after_R': 0.2, 'atr_filter': 0.7, 'target_R': 0.0, 'flat_eod': False, 'skip_holidays': False}"
4,1958,120688,1.272,41041,2.94,31.7,0.186,24.2,130.0,0.55,0.87,331,2,1,"{'or_bars': 12, 'trade_mode': 'First-candle dir', 'stop_frac': 2.0, 'vpace_filter': 0.0, 'breakout_buf': 0.25, 'close_confirm': True, 'partial_exit_R': 4.5, 'trail_bars': 1, 'be_after_R': 0.1, 'atr_filter': 0.6, 'target_R': 3.0, 'flat_eod': False, 'skip_holidays': True}"
5,2714,107734,1.173,29639,3.63,28.4,0.124,22.3,180.3,0.47,1.29,321,5,2,"{'or_bars': 3, 'trade_mode': 'Both', 'stop_frac': 2.5, 'vpace_filter': 0.7, 'breakout_buf': 0.4, 'close_confirm': True, 'partial_exit_R': 0.0, 'trail_bars': 14, 'be_after_R': 1.5, 'atr_filter': 0.8, 'target_R': 1.5, 'flat_eod': True, 'skip_holidays': False}"
6,2894,166758,1.171,38046,4.38,35.1,0.111,21.4,192.2,0.58,0.96,519,5,2,"{'or_bars': 5, 'trade_mode': 'First-candle dir', 'stop_frac': 1.25, 'vpace_filter': 0.5, 'breakout_buf': 0.05, 'close_confirm': True, 'partial_exit_R': 2.0, 'trail_bars': 4, 'be_after_R': 0.4, 'atr_filter': 0.3, 'target_R': 2.5, 'flat_eod': False, 'skip_holidays': False}"
7,3669,300440,1.173,65012,4.62,49.6,0.087,21.3,243.7,0.74,1.18,937,4,1,"{'or_bars': 2, 'trade_mode': 'Both', 'stop_frac': 2.5, 'vpace_filter': 0.3, 'breakout_buf': 0.35, 'close_confirm': True, 'partial_exit_R': 2.0, 'trail_bars': 17, 'be_after_R': 2.7, 'atr_filter': 0.1, 'target_R': 2.5, 'flat_eod': False, 'skip_holidays': False}"
8,2411,283401,1.258,35474,7.99,49.1,0.131,21.0,160.1,0.84,1.5,896,6,2,"{'or_bars': 2, 'trade_mode': 'First-candle dir', 'stop_frac': 2.0, 'vpace_filter': 0.7, 'breakout_buf': 0.25, 'close_confirm': True, 'partial_exit_R': 3.0, 'trail_bars': 3, 'be_after_R': 0.0, 'atr_filter': 0.7, 'target_R': 5.5, 'flat_eod': True, 'skip_holidays': True}"
9,2594,252908,1.229,33181,7.62,48.2,0.119,20.5,172.3,0.75,1.39,821,6,2,"{'or_bars': 2, 'trade_mode': 'First-candle dir', 'stop_frac': 1.75, 'vpace_filter': 0.4, 'breakout_buf': 0.4, 'close_confirm': True, 'partial_exit_R': 6.0, 'trail_bars': 9, 'be_after_R': 2.7, 'atr_filter': 0.4, 'target_R': 6.0, 'flat_eod': True, 'skip_holidays': True}"
10,1769,202818,1.268,26749,7.58,38.3,0.166,19.5,117.5,0.75,1.56,692,6,2,"{'or_bars': 2, 'trade_mode': 'Short Only', 'stop_frac': 1.25, 'vpace_filter': 0.8, 'breakout_buf': 0.4, 'close_confirm': True, 'partial_exit_R': 5.0, 'trail_bars': 16, 'be_after_R': 1.9, 'atr_filter': 0.7, 'target_R': 7.0, 'flat_eod': True, 'skip_holidays': False}"
