rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
1,337,74078,1.932,7686,9.64,59.1,0.382,8.5,22.4,0.93,1.67,576,7,1,"{'length': 16, 'bb_mult': 1.5, 'kc_mult': 1.5, 'min_sq_bars': 3, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 2.75, 'eod_cutoff': 8, 'gate_tf_min': 30, 'gate_mode': 'sign', 'gate_bars': 14, 'gate_len': 20, 'gate_ratio': 1.25, 'gate_fired_k': 6, 'direction': 'long'}"
2,569,64376,1.365,19160,3.36,51.1,0.178,6.7,37.8,0.57,0.94,635,6,0,"{'length': 14, 'bb_mult': 2.25, 'kc_mult': 2.0, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 2.75, 'eod_cutoff': 8, 'gate_tf_min': 90, 'gate_mode': 'sq_on', 'gate_bars': 0, 'gate_len': 12, 'gate_ratio': 1.25, 'gate_fired_k': 1, 'direction': 'both'}"
3,104,46477,2.972,6031,7.71,52.9,0.929,6.4,6.9,0.32,1.82,481,5,0,"{'length': 32, 'bb_mult': 1.75, 'kc_mult': 1.5, 'min_sq_bars': 8, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 2.75, 'eod_cutoff': 1, 'gate_tf_min': 240, 'gate_mode': 'none', 'gate_bars': 13, 'gate_len': 28, 'gate_ratio': 1.4, 'gate_fired_k': 5, 'direction': 'long'}"
4,289,31321,1.669,5624,5.57,54.0,0.308,5.9,19.2,0.62,1.14,352,6,0,"{'length': 14, 'bb_mult': 1.5, 'kc_mult': 2.0, 'min_sq_bars': 2, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 3.25, 'eod_cutoff': 1, 'gate_tf_min': 150, 'gate_mode': 'rising', 'gate_bars': 12, 'gate_len': 32, 'gate_ratio': 1.05, 'gate_fired_k': 2, 'direction': 'long'}"
5,446,43297,1.37,22842,1.9,53.8,0.171,5.1,29.6,0.46,0.64,568,5,1,"{'length': 14, 'bb_mult': 1.75, 'kc_mult': 2.0, 'min_sq_bars': 3, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 2.0, 'eod_cutoff': 7, 'gate_tf_min': 30, 'gate_mode': 'rising', 'gate_bars': 3, 'gate_len': 26, 'gate_ratio': 1.0, 'gate_fired_k': 3, 'direction': 'long'}"
6,162,33351,1.961,6682,4.99,51.2,0.469,5.0,10.8,0.72,1.53,439,8,0,"{'length': 26, 'bb_mult': 1.5, 'kc_mult': 2.0, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 1.0, 'eod_cutoff': 7, 'gate_tf_min': 180, 'gate_mode': 'sq_on', 'gate_bars': 15, 'gate_len': 20, 'gate_ratio': 1.0, 'gate_fired_k': 5, 'direction': 'long'}"
7,320,39331,1.447,10751,3.66,48.4,0.231,4.9,21.3,0.49,0.89,533,6,1,"{'length': 20, 'bb_mult': 2.0, 'kc_mult': 1.5, 'min_sq_bars': 1, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.0, 'eod_cutoff': 3, 'gate_tf_min': 60, 'gate_mode': 'sq_on', 'gate_bars': 0, 'gate_len': 20, 'gate_ratio': 1.0, 'gate_fired_k': 3, 'direction': 'both'}"
8,193,29747,1.593,5535,5.37,43.5,0.335,4.3,12.8,0.52,1.19,460,8,0,"{'length': 24, 'bb_mult': 2.5, 'kc_mult': 2.0, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 1.0, 'eod_cutoff': 6, 'gate_tf_min': 120, 'gate_mode': 'none', 'gate_bars': 1, 'gate_len': 30, 'gate_ratio': 1.4, 'gate_fired_k': 5, 'direction': 'long'}"
9,205,25752,1.503,8258,3.12,49.3,0.255,3.5,13.6,0.42,0.82,493,5,1,"{'length': 28, 'bb_mult': 1.5, 'kc_mult': 1.0, 'min_sq_bars': 1, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 3.25, 'eod_cutoff': 1, 'gate_tf_min': 30, 'gate_mode': 'none', 'gate_bars': 13, 'gate_len': 24, 'gate_ratio': 1.5, 'gate_fired_k': 6, 'direction': 'both'}"
10,319,41557,1.284,17817,2.33,43.9,0.159,3.4,21.2,0.36,0.63,818,4,1,"{'length': 14, 'bb_mult': 2.0, 'kc_mult': 1.5, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 2, 'stop_atr': 2.0, 'eod_cutoff': 8, 'gate_tf_min': 60, 'gate_mode': 'none', 'gate_bars': 0, 'gate_len': 20, 'gate_ratio': 1.1, 'gate_fired_k': 4, 'direction': 'short'}"
