cell,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs
f20/s200/stop1.5,20572,-209931,0.937,234999,-0.89,38.5,-0.039,-52.6,1366.3,-0.64,-1.11,265,0,9
f20/s50/stop1.5,20721,-227381,0.933,249186,-0.91,38.1,-0.041,-56.9,1376.2,-0.66,-1.18,265,1,9
f10/s50/stop1.5,21626,-274476,0.926,291582,-0.94,41.4,-0.043,-62.2,1436.4,-0.82,-1.34,293,0,9
f20/s100/stop1.5,20707,-259629,0.923,277719,-0.93,38.2,-0.047,-65.1,1375.3,-0.8,-1.36,265,1,9
f10/s200/stop1.5,21508,-302605,0.917,307802,-0.98,41.9,-0.048,-68.9,1428.5,-0.95,-1.48,292,0,9
f40/s100/stop1.5,17951,-252670,0.913,256507,-0.99,33.5,-0.058,-69.3,1192.3,-0.79,-1.43,242,1,8
f40/s50/stop1.5,18174,-275338,0.906,284121,-0.97,33.4,-0.063,-75.9,1207.1,-0.85,-1.52,241,1,8
f10/s100/stop1.5,21558,-351836,0.905,357401,-0.98,41.3,-0.056,-79.9,1431.8,-1.11,-1.73,292,0,9
f40/s200/stop1.5,17764,-308948,0.893,312035,-0.99,33.8,-0.071,-83.3,1179.8,-0.98,-1.68,246,1,7
f20/s50/stop1.0,22538,-210310,0.921,213300,-0.99,29.0,-0.056,-83.9,1496.9,-0.79,-1.51,166,0,9
f10/s50/stop1.0,22901,-275754,0.903,281104,-0.98,33.7,-0.064,-97.3,1521.0,-1.06,-1.85,188,0,9
f20/s100/stop1.0,22529,-271815,0.898,272092,-1.0,28.8,-0.073,-108.5,1496.3,-1.05,-1.96,166,0,9
f40/s50/stop1.0,20945,-246294,0.897,250764,-0.98,23.7,-0.078,-109.0,1391.1,-0.91,-1.86,150,1,9
f10/s100/stop1.0,22850,-314237,0.889,317087,-0.99,33.3,-0.074,-112.2,1517.6,-1.23,-2.13,186,0,9
f20/s200/stop1.0,22511,-281927,0.894,282722,-1.0,29.0,-0.075,-112.8,1495.1,-1.09,-2.04,166,0,9
f10/s200/stop1.0,22864,-317997,0.887,321167,-0.99,33.4,-0.075,-114.4,1518.6,-1.26,-2.16,185,0,9
f40/s100/stop1.0,20817,-270107,0.888,274426,-0.98,23.8,-0.086,-118.4,1382.6,-1.02,-2.05,152,0,9
f20/s50/stop0.75,22901,-237578,0.892,238380,-1.0,23.0,-0.083,-126.6,1521.0,-1.05,-2.17,125,0,9
f40/s50/stop0.75,21748,-217894,0.891,233130,-0.93,18.8,-0.088,-127.4,1444.5,-0.91,-2.09,114,0,9
f20/s200/stop0.75,22850,-244829,0.887,245761,-1.0,23.0,-0.087,-132.4,1517.6,-1.12,-2.3,123,1,9
f40/s100/stop0.75,21684,-230478,0.885,245384,-0.94,18.9,-0.093,-134.0,1440.2,-0.98,-2.23,114,0,9
f10/s50/stop0.75,23074,-285328,0.878,288465,-0.99,27.6,-0.089,-135.8,1532.5,-1.28,-2.45,140,0,9
f10/s200/stop0.75,23049,-295596,0.87,299933,-0.99,27.4,-0.094,-144.0,1530.9,-1.37,-2.59,136,0,10
f20/s100/stop0.75,22865,-270875,0.876,271308,-1.0,22.9,-0.096,-145.3,1518.6,-1.24,-2.52,124,0,9
f40/s200/stop1.0,20733,-340283,0.859,343301,-0.99,23.8,-0.107,-147.8,1377.0,-1.32,-2.52,153,0,7
f10/s100/stop0.75,23056,-321661,0.861,323741,-0.99,27.2,-0.101,-154.7,1531.3,-1.47,-2.8,138,0,10
f40/s200/stop0.75,21633,-277067,0.862,280130,-0.99,18.8,-0.112,-160.8,1436.8,-1.22,-2.65,114,0,7
