cell,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8
P0 NQDIP_1_0 defaults,629,333424,1.74,40479,8.24,69.5,0.226,9.4,41.8,1.32,1.86,2346,8
P0b NQDIP_1_1 new legs OFF (parity),629,333424,1.74,40479,8.24,69.5,0.226,9.4,41.8,1.32,1.86,2346,8
"P1 NQDIP_1_1 defaults, 7 legs",1362,464694,1.553,59956,7.75,66.9,0.183,16.6,90.5,1.5,2.07,1864,8
IBS thr0.15/exit0.6/hold3,287,70715,1.569,11899,5.94,66.9,0.188,3.6,19.1,0.72,1.01,1309,
IBS thr0.15/exit0.6/hold5,284,75709,1.655,9808,7.72,66.9,0.217,4.1,18.9,0.81,1.16,1229,
IBS thr0.15/exit0.6/hold7,284,77561,1.681,10097,7.68,67.3,0.223,4.2,18.9,0.83,1.19,1225,
IBS thr0.15/exit0.7/hold3,280,82551,1.653,12193,6.77,68.2,0.208,3.9,18.6,0.82,1.16,1420,
IBS thr0.15/exit0.7/hold5,274,88928,1.725,10235,8.69,68.2,0.23,4.2,18.2,0.88,1.31,1410,
IBS thr0.15/exit0.7/hold7,273,86690,1.705,9322,9.3,68.5,0.222,4.0,18.1,0.85,1.25,1430,
IBS thr0.15/exit0.8/hold3,274,106469,1.888,11946,8.91,69.0,0.276,5.0,18.2,1.02,1.54,1410,
IBS thr0.15/exit0.8/hold5,265,115810,1.975,10238,11.31,69.1,0.302,5.3,17.6,1.07,1.66,1448,
IBS thr0.15/exit0.8/hold7,261,103191,1.816,14422,7.15,69.7,0.247,4.3,17.3,0.87,1.24,1600,
IBS thr0.2/exit0.6/hold3,367,65898,1.388,14761,4.46,65.9,0.132,3.2,24.4,0.6,0.8,1359,
IBS thr0.2/exit0.6/hold5,362,74238,1.476,13438,5.52,65.7,0.163,3.9,24.0,0.71,0.99,1257,
IBS thr0.2/exit0.6/hold7,362,76090,1.493,13763,5.53,66.0,0.168,4.0,24.0,0.73,1.01,1254,
IBS thr0.2/exit0.7/hold3,354,72603,1.412,15005,4.84,65.8,0.141,3.3,23.5,0.63,0.86,1455,
IBS thr0.2/exit0.7/hold5,344,90824,1.568,13241,6.86,66.0,0.193,4.4,22.8,0.82,1.19,1367,
IBS thr0.2/exit0.7/hold7,343,92732,1.591,13566,6.84,66.5,0.198,4.5,22.8,0.84,1.22,1363,
IBS thr0.2/exit0.8/hold3,341,83462,1.479,14725,5.67,64.8,0.169,3.8,22.6,0.7,1.01,1452,
IBS thr0.2/exit0.8/hold5,323,110636,1.722,12585,8.79,65.6,0.248,5.3,21.5,0.96,1.49,1381,
IBS thr0.2/exit0.8/hold7,319,103982,1.646,14477,7.18,66.8,0.215,4.5,21.2,0.81,1.16,1519,
IBS thr0.25/exit0.6/hold3,433,55532,1.267,19004,2.92,67.0,0.088,2.5,28.8,0.44,0.56,1457,
IBS thr0.25/exit0.6/hold5,429,74911,1.396,14019,5.34,67.1,0.13,3.7,28.5,0.65,0.86,1342,
IBS thr0.25/exit0.6/hold7,427,70065,1.367,14167,4.95,67.2,0.12,3.4,28.4,0.6,0.78,1362,
IBS thr0.25/exit0.7/hold3,418,71645,1.338,18082,3.96,67.5,0.11,3.1,27.8,0.55,0.71,1556,
IBS thr0.25/exit0.7/hold5,409,105041,1.562,11921,8.81,68.0,0.18,4.9,27.2,0.86,1.22,1428,
IBS thr0.25/exit0.7/hold7,406,104695,1.573,12897,8.12,68.2,0.182,4.9,27.0,0.87,1.22,1417,
