inst,mech,n,net,pf,dd,mar,folds_pos,wfe,cfg_last
NQ,RSI,165,144061,1.843,37526,3.84,7,1.64,"{'rsi_len': 2, 'thr': 25, 'sma': 100, 'exit': 5}"
NQ,DBL,131,154854,1.738,42831,3.62,7,1.52,"{'n': 5, 'sma': 250}"
NQ,PB,191,103599,1.315,53422,1.94,6,1.38,"{'ema': 10, 'sma': 250, 'hold': 20}"
NQ,CAP,132,75018,1.292,38013,1.97,6,0.81,"{'rng_mult': 1.25, 'close_q': 0.2, 'hold': 3}"
NQ,JOINT,136,129405,1.681,37526,3.45,7,1.19,"('RSI', 32)"
ES,RSI,140,83447,1.958,19882,4.2,4,1.4,"{'rsi_len': 2, 'thr': 15, 'sma': 150, 'exit': 5}"
ES,DBL,140,77709,1.59,30207,2.57,5,0.9,"{'n': 10, 'sma': 200}"
ES,PB,126,62276,1.513,28334,2.2,5,0.94,"{'ema': 50, 'sma': 100, 'hold': 10}"
ES,CAP,162,126972,1.619,29186,4.35,7,1.68,"{'rng_mult': 1.25, 'close_q': 0.25, 'hold': 3}"
ES,JOINT,168,120488,1.783,29186,4.13,7,1.38,"('RSI', 18)"
GLD,RSI,68,13691,1.318,11338,1.21,4,0.58,"{'rsi_len': 4, 'thr': 20, 'sma': 200, 'exit': 10}"
GLD,DBL,75,39447,1.691,21577,1.83,3,2.06,"{'n': 10, 'sma': 250}"
GLD,PB,158,9846,1.112,17621,0.56,4,0.52,"{'ema': 50, 'sma': 150, 'hold': 20}"
GLD,CAP,68,10328,1.189,22104,0.47,5,0.38,"{'rng_mult': 2.0, 'close_q': 0.33, 'hold': 5}"
GLD,JOINT,87,-21341,0.696,32811,-0.65,3,-0.58,"('RSI', 109)"
TLT,RSI,83,23853,1.685,9941,2.4,5,0.54,"{'rsi_len': 3, 'thr': 25, 'sma': 250, 'exit': 10}"
TLT,DBL,117,15333,1.214,14138,1.08,3,0.32,"{'n': 5, 'sma': 200}"
TLT,PB,158,1752,1.016,14434,0.12,2,0.02,"{'ema': 50, 'sma': 150, 'hold': 20}"
TLT,CAP,123,22289,1.231,37577,0.59,5,0.38,"{'rng_mult': 1.5, 'close_q': 0.25, 'hold': 2}"
TLT,JOINT,122,1443,1.015,21484,0.07,3,0.02,"('RSI', 79)"
IWM,RSI,83,1703,1.021,38172,0.04,5,0.03,"{'rsi_len': 3, 'thr': 20, 'sma': 150, 'exit': 5}"
IWM,DBL,121,18594,1.16,38924,0.48,5,0.23,"{'n': 5, 'sma': 100}"
IWM,PB,181,8699,1.055,47483,0.18,5,0.12,"{'ema': 20, 'sma': 250, 'hold': 5}"
IWM,CAP,141,3723,1.02,46973,0.08,4,0.03,"{'rng_mult': 1.25, 'close_q': 0.33, 'hold': 5}"
IWM,JOINT,134,32266,1.306,38172,0.85,6,0.31,"('RSI', 66)"
QQQ,RSI,94,56495,2.407,10356,5.46,5,0.71,"{'rsi_len': 4, 'thr': 20, 'sma': 150, 'exit': 5}"
QQQ,DBL,129,95529,2.029,10393,9.19,7,0.9,"{'n': 5, 'sma': 150}"
QQQ,PB,197,100894,1.727,26298,3.84,7,0.93,"{'ema': 10, 'sma': 250, 'hold': 10}"
QQQ,CAP,120,86225,1.785,10936,7.88,6,0.76,"{'rng_mult': 1.25, 'close_q': 0.2, 'hold': 5}"
QQQ,JOINT,132,76642,2.307,10936,7.01,6,0.69,"('RSI', 106)"
SPY,RSI,135,37355,1.607,27335,1.37,5,0.54,"{'rsi_len': 2, 'thr': 15, 'sma': 100, 'exit': 5}"
SPY,DBL,105,48621,1.75,19190,2.53,6,0.63,"{'n': 7, 'sma': 100}"
SPY,PB,144,50633,1.535,26882,1.88,6,0.64,"{'ema': 50, 'sma': 100, 'hold': 10}"
SPY,CAP,141,82991,1.74,22541,3.68,7,0.69,"{'rng_mult': 1.25, 'close_q': 0.25, 'hold': 5}"
SPY,JOINT,153,75953,1.863,22541,3.37,8,0.74,"('DBL', 4)"
EEM,RSI,61,19807,1.557,8045,2.46,5,0.47,"{'rsi_len': 4, 'thr': 25, 'sma': 100, 'exit': 10}"
EEM,DBL,92,39241,1.491,24652,1.59,4,0.62,"{'n': 7, 'sma': 100}"
EEM,PB,113,15860,1.203,17695,0.9,4,1.01,"{'ema': 50, 'sma': 100, 'hold': 20}"
EEM,CAP,96,10136,1.099,22554,0.45,3,0.18,"{'rng_mult': 2.0, 'close_q': 0.33, 'hold': 5}"
EEM,JOINT,98,15353,1.2,21121,0.73,5,0.27,"('RSI', 113)"
USO,RSI,111,27184,1.22,23130,1.18,4,1.69,"{'rsi_len': 2, 'thr': 25, 'sma': 100, 'exit': 5}"
USO,DBL,72,9221,1.066,47966,0.19,2,0.0,"{'n': 5, 'sma': 100}"
USO,PB,77,-24656,0.835,38611,-0.64,3,-0.78,"{'ema': 10, 'sma': 100, 'hold': 20}"
USO,CAP,137,-38178,0.861,87810,-0.43,2,-2.92,"{'rng_mult': 1.5, 'close_q': 0.25, 'hold': 5}"
USO,JOINT,88,-28631,0.808,48477,-0.59,4,-0.86,"('RSI', 32)"
ALL,POOLED-OOS,4387,1614553,1.375,479292,3.37,-1,0,
