inst,mech,n,net,pf,dd,mar,folds_pos,wfe,cfg_last
QQQ,RSI,158,73052,2.101,11151,6.55,7/12,0.6,"{'rsi_len': 5, 'thr': 25, 'sma': 150, 'exit': 5}"
QQQ,DBL,134,113336,2.539,9304,12.18,12/12,0.76,"{'n': 15, 'sma': 300}"
QQQ,PB,225,132868,1.784,32623,4.07,12/12,0.8,"{'ema': 5, 'sma': 300, 'hold': 10}"
QQQ,CAP,141,81191,1.752,16420,4.94,8/12,0.55,"{'rng_mult': 1.25, 'close_q': 0.2, 'hold': 5}"
QQQ,JOINT,115,58172,1.879,10955,5.31,7/12,0,"('RSI', 729)"
NQ,RSI,174,85049,2.181,15247,5.58,8/12,0.77,"{'rsi_len': 3, 'thr': 30, 'sma': 300, 'exit': 5}"
NQ,DBL,123,87360,2.367,11090,7.88,8/12,0.61,"{'n': 10, 'sma': 300}"
NQ,PB,171,72643,1.519,21021,3.46,9/12,0.57,"{'ema': 5, 'sma': 300, 'hold': 10}"
NQ,CAP,124,72062,1.893,11165,6.45,9/12,0.52,"{'rng_mult': 1.25, 'close_q': 0.2, 'hold': 4}"
NQ,JOINT,133,85275,2.377,11391,7.49,8/12,0,"('RSI', 381)"
BOOK,QQQ 4 mechanisms,658,403633,1.982,47204,8.55,11/14 yrs,0,PASS
BOOK,NQ 4 mechanisms (const notional),592,318905,1.915,34736,9.18,11/13 yrs,0,PASS
BOOK,"QQQ + NQ, 8 legs",1250,706799,1.945,69877,10.11,12/14 yrs,0,PASS
