leg,date,pnl
QQQ/RSI,2012-06-28,-767.23
QQQ/RSI,2012-07-16,-1744.92
QQQ/RSI,2012-07-27,388.99
QQQ/RSI,2012-08-27,1264.87
QQQ/RSI,2012-09-07,1695.59
QQQ/RSI,2012-09-14,1625.34
QQQ/RSI,2012-10-03,-1535.97
QQQ/RSI,2012-10-16,-1340.19
QQQ/RSI,2012-11-02,772.11
QQQ/RSI,2012-11-20,-936.85
QQQ/RSI,2012-12-12,2483.88
QQQ/RSI,2012-12-18,1725.18
QQQ/RSI,2013-01-02,2594.23
QQQ/RSI,2013-01-18,429.62
QQQ/RSI,2013-01-29,279.11
QQQ/RSI,2013-02-04,-123.93
QQQ/RSI,2013-02-06,683.93
QQQ/RSI,2013-02-28,443.12
QQQ/RSI,2013-03-21,-734.6
QQQ/RSI,2013-03-25,859.61
QQQ/RSI,2013-04-10,1497.14
QQQ/RSI,2013-04-23,313.63
QQQ/RSI,2013-05-29,843.35
QQQ/RSI,2013-06-10,348.55
QQQ/RSI,2013-06-18,1833.66
QQQ/RSI,2013-06-27,629.88
QQQ/RSI,2013-07-26,-287.09
QQQ/RSI,2013-08-23,1542.51
QQQ/RSI,2013-08-30,1299.08
QQQ/RSI,2013-10-07,-45.41
QQQ/RSI,2013-10-14,1711.26
QQQ/RSI,2013-11-14,1912.94
QQQ/RSI,2013-11-22,738.59
QQQ/RSI,2013-12-19,907.15
QQQ/RSI,2014-01-09,1099.29
QQQ/RSI,2014-01-15,1984.66
QQQ/RSI,2014-02-07,-584.91
QQQ/RSI,2014-03-13,1193.69
QQQ/RSI,2014-03-19,1744.22
QQQ/RSI,2014-04-02,1006.14
QQQ/RSI,2014-04-10,2368.4
QQQ/RSI,2014-04-17,1770.33
QQQ/RSI,2014-05-13,2368.42
QQQ/RSI,2014-06-19,693.9
QQQ/RSI,2014-07-21,831.65
QQQ/RSI,2014-08-12,549.5
QQQ/RSI,2014-09-19,2577.03
