year |  crown n    net $    PF | filter n   net $     PF | rest-of-crown PF
2010 |    104    -2,128  0.632 |     19   -1,647  0.048 |  0.881
2011 |    282     2,808  1.162 |     31    2,627  2.453 |  1.012
2012 |    298     1,904  1.094 |     48      883  1.280 |  1.060
2013 |    315      -370  0.978 |     68        7  1.002 |  0.972
2014 |    276     8,878  1.452 |     40    1,667  1.571 |  1.431
2015 |    290       541  1.018 |     25    2,949  2.612 |  0.916
2016 |    364     5,055  1.153 |     49      382  1.071 |  1.169
2017 |    326     1,062  1.035 |     74    1,188  1.169 |  0.995
2018 |    304    38,439  1.800 |     34   14,603  3.652 |  1.560
2019 |    364     6,410  1.133 |     25    1,658  1.500 |  1.106
2020 |    265    38,135  1.472 |     23   17,124  4.612 |  1.276
2021 |    313    37,763  1.337 |     29   14,235  3.592 |  1.221
2022 |    274    82,286  1.563 |     21   21,448  3.720 |  1.440
2023 |    322    37,580  1.330 |     37   14,579  2.694 |  1.219
2024 |    290    65,173  1.480 |     34   27,808  3.893 |  1.296
2025 |    268    41,949  1.293 |     45    5,933  1.248 |  1.302
2026 |    169    33,285  1.290 |     13   14,545  2.999 |  1.175
filter: losing years 1 of 17 | ex-top-10 net $84,374 PF 1.814 | ex-top-20 PF 1.457 | rest of the crown (not compressed) PF 1.256
