base      gate tf/len/r  |     n     net $     PF |  PF<24  PF24+ sealPF | 
#304      30/16/0.85     |   603    89,918  1.583 |  1.711  1.349  1.308 |
#304      30/16/1.00     |  1089   151,674  1.553 |  1.613  1.461  1.426 |
#304      30/16/1.15     |  1661   209,211  1.496 |  1.559  1.391  1.277 | <- run 321 pick
#304      30/20/0.85     |   345    43,228  1.478 |  1.522  1.414  1.238 |
#304      30/20/1.00     |   709   104,970  1.600 |  1.784  1.334  1.060 |
#304      30/20/1.15     |  1187   174,626  1.598 |  1.691  1.460  1.356 |
#304      30/24/0.85     |   196     8,448  1.211 |  1.430  0.768  2.141 |
#304      30/24/1.00     |   492    46,445  1.398 |  1.445  1.324  1.707 |
#304      30/24/1.15     |   890   164,680  1.825 |  1.917  1.689  1.956 |
#304      60/16/0.85     |   534   101,300  2.031 |  2.042  2.013  1.424 |
#304      60/16/1.00     |   998   162,948  1.837 |  1.924  1.680  1.577 |
#304      60/16/1.15     |  1439   209,175  1.676 |  1.687  1.655  1.845 |
#304      60/20/0.85     |   289    55,634  2.149 |  2.770  1.254  1.222 |
#304      60/20/1.00     |   615   139,997  2.351 |  2.460  2.184  1.985 | <- textbook
#304      60/20/1.15     |   996   188,869  2.006 |  1.998  2.022  1.728 |
#304      60/24/0.85     |   128    25,022  2.101 |  2.513  1.638  1.230 |
#304      60/24/1.00     |   360    65,813  2.118 |  2.438  1.679  1.358 |
#304      60/24/1.15     |   638   113,309  2.015 |  2.121  1.801  1.738 |
#304      120/16/0.85    |   457    69,956  1.802 |  1.723  1.924  2.114 |
#304      120/16/1.00    |   851   117,349  1.666 |  1.553  1.863  2.728 |
#304      120/16/1.15    |  1375   175,982  1.621 |  1.567  1.725  2.245 |
#304      120/20/0.85    |   213     7,998  1.185 |  1.107  1.315  1.497 |
#304      120/20/1.00    |   503    61,498  1.701 |  1.432  2.153  3.219 |
#304      120/20/1.15    |   875    96,649  1.532 |  1.270  2.016  2.963 |
#304      120/24/0.85    |    93     6,309  1.384 |  1.028  2.265  1.674 |
#304      120/24/1.00    |   259    24,255  1.547 |  1.386  1.912  1.785 |
#304      120/24/1.15    |   551    68,026  1.727 |  1.327  2.867  2.451 |
  #304: 25 of 27 cells PF > raw base 1.357; 2024+ PF > raw in 21 of 27; hourly cells full PF 1.676-2.351, 2024+ 1.254-2.184; textbook ranks 1 of 27 on full PF

#243      30/16/0.85     |   576   115,423  1.895 |  1.839  2.007  1.736 |
#243      30/16/1.00     |  1026   168,544  1.678 |  1.736  1.600  1.361 |
#243      30/16/1.15     |  1547   232,662  1.627 |  1.660  1.576  1.439 | <- run 321 pick
#243      30/20/0.85     |   335    65,155  1.818 |  1.591  2.214  1.744 |
#243      30/20/1.00     |   675   111,002  1.687 |  1.729  1.624  1.169 |
#243      30/20/1.15     |  1111   168,200  1.641 |  1.667  1.603  1.510 |
#243      30/24/0.85     |   191    10,192  1.270 |  1.385  0.971  4.300 |
#243      30/24/1.00     |   470    38,529  1.353 |  1.265  1.510  2.029 |
#243      30/24/1.15     |   844   135,752  1.693 |  1.687  1.702  1.902 |
#243      60/16/0.85     |   515    88,503  1.877 |  1.866  1.896  1.341 |
#243      60/16/1.00     |   943   131,790  1.674 |  1.790  1.486  1.496 |
#243      60/16/1.15     |  1351   173,344  1.585 |  1.653  1.476  1.614 |
#243      60/20/0.85     |   279    48,625  2.032 |  2.567  1.238  1.391 |
#243      60/20/1.00     |   586   124,443  2.233 |  2.295  2.140  1.999 | <- textbook
#243      60/20/1.15     |   940   160,841  1.899 |  1.875  1.939  1.571 |
#243      60/24/0.85     |   122    23,189  2.122 |  2.286  1.890  1.856 |
#243      60/24/1.00     |   343    60,317  2.070 |  2.352  1.680  1.387 |
#243      60/24/1.15     |   586   101,182  2.004 |  2.103  1.819  1.766 |
#243      120/16/0.85    |   439    55,383  1.689 |  1.468  2.066  2.268 |
#243      120/16/1.00    |   812    97,193  1.588 |  1.462  1.823  2.694 |
#243      120/16/1.15    |  1299   145,170  1.544 |  1.558  1.518  1.811 |
#243      120/20/0.85    |   202     5,338  1.134 |  0.987  1.370  1.779 |
#243      120/20/1.00    |   480    58,942  1.729 |  1.365  2.408  3.521 |
#243      120/20/1.15    |   836    89,043  1.529 |  1.317  1.876  2.246 |
#243      120/24/0.85    |    89     5,758  1.375 |  0.881  3.019  2.603 |
#243      120/24/1.00    |   252    23,818  1.548 |  1.327  2.108  2.257 |
#243      120/24/1.15    |   532    65,906  1.739 |  1.357  2.708  2.119 |
  #243: 23 of 27 cells PF > raw base 1.398; 2024+ PF > raw in 24 of 27; hourly cells full PF 1.585-2.233, 2024+ 1.238-2.140; textbook ranks 1 of 27 on full PF

